項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,365,-,-,53,-,53,-,56,-,53,-,52,-,50,-,49,-
0,0,0,0,0,世帯人員,3.3,-,-,3.11,-,3.21,-,3.19,-,3.43,-,3.34,-,3.33,-,3.46,-
0,0,0,0,0,有業人員,1.71,-,-,1.59,-,1.72,-,1.52,-,1.7,-,1.76,-,1.85,-,1.84,-
0,0,0,0,0,世帯主平均年齢,49.4,-,-,55,-,51,-,47.7,-,46.8,-,47.6,-,49.8,-,48.1,-
1,0,0,0,0,受取,1412099,-,8.5,569922,-,985435,-,1079842,-,1249918,-,1414008,-,1724281,-,2891051,-
1,1,0,0,0,実収入,701538,100,4.2,129800,100,355798,100,475894,100,579237,100,696924,100,886316,100,1805028,100
1,2,0,0,0,経常収入,675758,96.3,2,121468,93.6,333984,93.9,452507,95.1,553887,95.6,669422,96.1,860116,97,1757296,97.4
1,3,0,0,0,勤め先収入,639589,91.2,2.4,71277,54.9,285339,80.2,404994,85.1,525289,90.7,650570,93.3,837712,94.5,1718590,95.2
1,4,0,0,0,世帯主収入,523450,74.6,0.1,62711,48.3,253692,71.3,372555,78.3,451349,77.9,534563,76.7,659987,74.5,1342137,74.4
1,6,0,0,0,うち男,499359,71.2,0.3,46955,36.2,216200,60.8,350431,73.6,430728,74.4,522265,74.9,641111,72.3,1299719,72
1,5,0,0,0,定期収入,421611,60.1,0.2,62244,48,251360,70.6,366486,77,438155,75.6,516497,74.1,601275,67.8,716023,39.7
1,5,0,0,0,臨時収入,6025,0.9,6.6,338,0.3,1739,0.5,2918,0.6,5663,1,6981,1,11378,1.3,13149,0.7
1,5,0,0,0,賞与,95814,13.7,-0.6,129,0.1,594,0.2,3150,0.7,7531,1.3,11084,1.6,47334,5.3,612965,34
1,4,0,0,0,世帯主の配偶者の収入,101297,14.4,14.6,7512,5.8,24783,7,29325,6.2,67578,11.7,99435,14.3,142198,16,341883,18.9
1,6,0,0,0,うち女,96503,13.8,11.3,7512,5.8,22810,6.4,29137,6.1,66915,11.6,96775,13.9,135483,15.3,320452,17.8
1,4,0,0,0,他の世帯員収入,14843,2.1,10.2,1053,0.8,6864,1.9,3114,0.7,6362,1.1,16572,2.4,35527,4,34570,1.9
1,3,0,0,0,事業・内職収入,6722,1,-10.6,1153,0.9,4286,1.2,12069,2.5,8014,1.4,3688,0.5,4363,0.5,13596,0.8
1,4,0,0,0,家賃収入,3346,0.5,-1.5,948,0.7,3655,1,4242,0.9,4169,0.7,1976,0.3,1759,0.2,6703,0.4
1,4,0,0,0,他の事業収入,1910,0.3,-26.3,183,0.1,396,0.1,6817,1.4,2780,0.5,682,0.1,632,0.1,1987,0.1
1,4,0,0,0,内職収入,1467,0.2,-3.9,23,0,235,0.1,1011,0.2,1065,0.2,1030,0.1,1972,0.2,4905,0.3
1,3,0,0,0,他の経常収入,29447,4.2,-2.8,49038,37.8,44359,12.5,35444,7.4,20584,3.6,15165,2.2,18042,2,25110,1.4
1,4,0,0,0,財産収入,1363,0.2,-11.7,860,0.7,661,0.2,1005,0.2,1538,0.3,1340,0.2,333,0,3939,0.2
1,4,0,0,0,社会保障給付,26967,3.8,-5.9,42585,32.8,43430,12.2,33799,7.1,18742,3.2,13194,1.9,17582,2,20915,1.2
1,5,0,0,0,公的年金給付,16490,2.4,-18.4,38916,30,34397,9.7,19071,4,7524,1.3,3630,0.5,7294,0.8,5866,0.3
1,5,0,0,0,他の社会保障給付,10477,1.5,24.2,3669,2.8,9033,2.5,14728,3.1,11218,1.9,9564,1.4,10288,1.2,15049,0.8
1,4,0,0,0,仕送り金,1117,0.2,995.1,5593,4.3,268,0.1,640,0.1,304,0.1,631,0.1,127,0,256,0
1,2,0,0,0,特別収入,25780,3.7,139.1,8332,6.4,21814,6.1,23387,4.9,25351,4.4,27502,3.9,26199,3,47732,2.6
