項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,301,-,1122,-,4914,-,1803,-,1860,-
0,0,0,0,0,調査世帯数,365,-,12,-,37,-,177,-,69,-,70,-
0,0,0,0,0,世帯人員,3.3,-,3.15,-,3.3,-,3.34,-,3.33,-,3.17,-
0,0,0,0,0,有業人員,1.71,-,1.99,-,1.69,-,1.67,-,1.69,-,1.82,-
0,0,0,0,0,世帯主平均年齢,49.4,-,55.5,-,48.5,-,49.3,-,47,-,51.9,-
1,0,0,0,0,受取,1412099,-,2130156,-,1748472,-,1434895,-,1504469,-,935127,-
1,1,0,0,0,実収入,701538,100,935443,100,905528,100,711808,100,745184,100,465045,100
1,2,0,0,0,経常収入,675758,96.3,904895,96.7,877731,96.9,685334,96.3,718877,96.5,443131,95.3
1,3,0,0,0,勤め先収入,639589,91.2,870331,93,833797,92.1,650340,91.4,688041,92.3,402276,86.5
1,4,0,0,0,世帯主収入,523450,74.6,682108,72.9,674011,74.4,543331,76.3,574373,77.1,301096,64.7
1,6,0,0,0,うち男,499359,71.2,662199,70.8,640688,70.8,519235,72.9,546604,73.4,286929,61.7
1,5,0,0,0,定期収入,421611,60.1,528850,56.5,551613,60.9,430806,60.5,456249,61.2,267384,57.5
1,5,0,0,0,臨時収入,6025,0.9,6162,0.7,3095,0.3,6834,1,5355,0.7,6154,1.3
1,5,0,0,0,賞与,95814,13.7,147097,15.7,119303,13.2,105692,14.8,112769,15.1,27559,5.9
1,4,0,0,0,世帯主の配偶者の収入,101297,14.4,144568,15.5,142506,15.7,91903,12.9,105225,14.1,87230,18.8
1,6,0,0,0,うち女,96503,13.8,144568,15.5,116658,12.9,89684,12.6,101409,13.6,87230,18.8
1,4,0,0,0,他の世帯員収入,14843,2.1,43655,4.7,17281,1.9,15106,2.1,8442,1.1,13950,3
1,3,0,0,0,事業・内職収入,6722,1,11434,1.2,13484,1.5,6834,1,5177,0.7,3977,0.9
1,4,0,0,0,家賃収入,3346,0.5,10577,1.1,4279,0.5,3941,0.6,657,0.1,2818,0.6
1,4,0,0,0,他の事業収入,1910,0.3,-,-,490,0.1,2025,0.3,3968,0.5,1012,0.2
1,4,0,0,0,内職収入,1467,0.2,857,0.1,8715,1,868,0.1,552,0.1,147,0
1,3,0,0,0,他の経常収入,29447,4.2,23130,2.5,30450,3.4,28161,4,25659,3.4,36878,7.9
1,4,0,0,0,財産収入,1363,0.2,4641,0.5,451,0,1706,0.2,1368,0.2,465,0.1
1,4,0,0,0,社会保障給付,26967,3.8,18351,2,28101,3.1,24963,3.5,24246,3.3,35396,7.6
1,5,0,0,0,公的年金給付,16490,2.4,13740,1.5,9473,1,14841,2.1,13729,1.8,28280,6.1
1,5,0,0,0,他の社会保障給付,10477,1.5,4611,0.5,18628,2.1,10122,1.4,10516,1.4,7116,1.5
1,4,0,0,0,仕送り金,1117,0.2,138,0,1897,0.2,1491,0.2,45,0,1018,0.2
1,2,0,0,0,特別収入,25780,3.7,30548,3.3,27797,3.1,26474,3.7,26307,3.5,21914,4.7
1,3,0,0,0,受贈金,1726,0.2,163,0,1624,0.2,2200,0.3,1851,0.2,694,0.1
1,3,0,0,0,他の特別収入,24054,3.4,30385,3.2,26172,2.9,24273,3.4,24456,3.3,21220,4.6
1,1,0,0,0,実収入以外の受取(繰入金を除く),555528,-,776720,-,615122,-,583585,-,585483,-,372568,-
1,2,0,0,0,預貯金引出,410576,-,577568,-,443285,-,416714,-,448064,-,308098,-
1,2,0,0,0,保険金,5429,-,19722,-,1081,-,6678,-,2774,-,4312,-
1,3,0,0,0,個人・企業年金保険金,4057,-,19722,-,1081,-,4650,-,2694,-,2726,-
1,3,0,0,0,他の保険金,1373,-,-,-,-,-,2028,-,80,-,1586,-
1,2,0,0,0,有価証券売却,247,-,-,-,91,-,409,-,220,-,-,-
1,2,0,0,0,土地家屋借入金,7839,-,-,-,-,-,14736,-,-,-,-,-
1,2,0,0,0,他の借入金,821,-,-,-,-,-,1678,-,16,-,170,-
1,2,0,0,0,クレジット購入借入金,123030,-,179237,-,170155,-,128683,-,133939,-,59679,-
1,2,0,0,0,土地家屋売却,6686,-,-,-,-,-,13288,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,901,-,193,-,510,-,1398,-,471,-,309,-
1,1,0,0,0,繰入金,155032,-,417992,-,227823,-,139503,-,173802,-,97513,-
2,0,0,0,0,支払,1412099,-,2130156,-,1748472,-,1434895,-,1504469,-,935127,-
2,1,0,0,0,実支出,505201,-,669191,-,611259,-,524956,-,527155,-,338819,-
2,2,0,0,0,生計支出,365283,-,461473,-,408674,-,382639,-,377179,-,265240,-
2,3,0,0,0,消費支出,343451,100,461473,100,406023,100,354964,100,335381,100,265240,100
2,4,1,0,0,食料,93467,27.2,123418,26.7,101250,24.9,97692,27.5,91663,27.3,75005,28.3
2,5,1,1,0,穀類,7385,2.2,8050,1.7,6991,1.7,7682,2.2,7119,2.1,6986,2.6
2,6,1,1,1,米類,1953,0.6,1670,0.4,1760,0.4,2002,0.6,1793,0.5,2146,0.8
2,6,1,1,2,パン,3033,0.9,3549,0.8,3018,0.7,3183,0.9,2962,0.9,2621,1
2,6,1,1,3,麺類,1790,0.5,2061,0.4,1538,0.4,1841,0.5,1791,0.5,1772,0.7
2,6,1,1,4,他の穀類,608,0.2,771,0.2,675,0.2,655,0.2,573,0.2,448,0.2
2,5,1,2,0,魚介類,5954,1.7,7432,1.6,6463,1.6,6130,1.7,5688,1.7,5237,2
2,6,1,2,1,生鮮魚介,3586,1,4512,1,3907,1,3754,1.1,3308,1,3099,1.2
2,6,1,2,2,塩干魚介,998,0.3,1107,0.2,1058,0.3,1019,0.3,993,0.3,896,0.3
2,6,1,2,3,魚肉練製品,526,0.2,652,0.1,520,0.1,526,0.1,568,0.2,467,0.2
2,6,1,2,4,他の魚介加工品,844,0.2,1161,0.3,978,0.2,830,0.2,820,0.2,774,0.3
2,5,1,3,0,肉類,9625,2.8,10642,2.3,10195,2.5,10412,2.9,8889,2.7,7828,3
2,6,1,3,1,生鮮肉,7936,2.3,8483,1.8,8415,2.1,8679,2.4,7159,2.1,6406,2.4
2,6,1,3,2,加工肉,1689,0.5,2159,0.5,1780,0.4,1732,0.5,1730,0.5,1422,0.5
2,5,1,4,0,乳卵類,4750,1.4,5753,1.2,5760,1.4,4841,1.4,4914,1.5,3580,1.3
2,6,1,4,1,牛乳,1425,0.4,1617,0.4,1937,0.5,1443,0.4,1376,0.4,1066,0.4
2,6,1,4,2,乳製品,2443,0.7,3062,0.7,2960,0.7,2471,0.7,2685,0.8,1738,0.7
2,6,1,4,3,卵,882,0.3,1074,0.2,863,0.2,927,0.3,854,0.3,776,0.3
2,5,1,5,0,野菜・海藻,10478,3.1,12584,2.7,11692,2.9,10908,3.1,10351,3.1,8424,3.2
2,6,1,5,1,生鮮野菜,7478,2.2,8941,1.9,8285,2,7886,2.2,7274,2.2,5896,2.2
2,6,1,5,2,乾物・海藻,797,0.2,846,0.2,970,0.2,794,0.2,860,0.3,643,0.2
2,6,1,5,3,大豆加工品,1137,0.3,1383,0.3,1332,0.3,1129,0.3,1223,0.4,923,0.3
2,6,1,5,4,他の野菜・海藻加工品,1066,0.3,1414,0.3,1106,0.3,1100,0.3,994,0.3,963,0.4
2,5,1,6,0,果物,3012,0.9,3491,0.8,4002,1,3117,0.9,3072,0.9,2041,0.8
2,6,1,6,1,生鮮果物,2643,0.8,3074,0.7,3511,0.9,2739,0.8,2605,0.8,1869,0.7
2,6,1,6,2,果物加工品,370,0.1,417,0.1,491,0.1,378,0.1,467,0.1,171,0.1
2,5,1,7,0,油脂・調味料,4410,1.3,5306,1.1,4467,1.1,4622,1.3,4424,1.3,3664,1.4
2,6,1,7,1,油脂,462,0.1,553,0.1,419,0.1,500,0.1,427,0.1,414,0.2
2,6,1,7,2,調味料,3948,1.1,4753,1,4048,1,4122,1.2,3997,1.2,3250,1.2
2,5,1,8,0,菓子類,7524,2.2,8514,1.8,7917,1.9,7763,2.2,7995,2.4,6064,2.3
2,5,1,9,0,調理食品,12695,3.7,15670,3.4,13801,3.4,13001,3.7,12507,3.7,11016,4.2
2,6,1,9,1,主食的調理食品,5611,1.6,6721,1.5,6035,1.5,5845,1.6,5492,1.6,4714,1.8
2,6,1,9,2,他の調理食品,7084,2.1,8949,1.9,7766,1.9,7156,2,7015,2.1,6302,2.4
2,5,1,10,0,飲料,5670,1.7,5784,1.3,6249,1.5,5802,1.6,5692,1.7,4909,1.9
2,6,1,10,1,茶類,1197,0.3,1308,0.3,1363,0.3,1226,0.3,1155,0.3,1046,0.4
