項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,367,-,-,52,-,52,-,56,-,54,-,53,-,52,-,48,-
0,0,世帯人員,3.31,-,-,3.16,-,3.1,-,3.24,-,3.49,-,3.47,-,3.35,-,3.35,-
0,0,有業人員,1.73,-,-,1.57,-,1.48,-,1.37,-,1.85,-,1.92,-,1.9,-,2.01,-
0,0,世帯主平均年齢,49.5,-,-,57.6,-,49.8,-,44.5,-,47.2,-,48.2,-,50,-,49.1,-
0,0,消費支出,397492,-,19,333115,-,259950,-,344648,-,323064,-,434872,-,489794,-,593032,-
0,0,公共的料金,116568,29.3,11.2,103097,30.9,88040,33.9,109578,31.8,105695,32.7,110528,25.4,135032,27.6,163176,27.5
1,0,公共料金等,61471,15.5,0.1,52008,15.6,48148,18.5,54405,15.8,54870,17,64111,14.7,61288,12.5,95051,16
1,1,米,1755,0.4,-12.4,2630,0.8,1392,0.5,1344,0.4,1880,0.6,1992,0.5,1897,0.4,1159,0.2
1,1,食塩,22,0,-15.4,29,0,7,0,12,0,20,0,16,0,40,0,27,0
1,1,学校給食,1281,0.3,-30.9,967,0.3,628,0.2,1613,0.5,1146,0.4,1861,0.4,1236,0.3,1515,0.3
1,1,公営家賃,2216,0.6,-32.9,3710,1.1,2649,1,3825,1.1,1518,0.5,989,0.2,1204,0.2,1628,0.3
1,1,電気代,9705,2.4,2.2,8223,2.5,7301,2.8,9192,2.7,9234,2.9,11254,2.6,10789,2.2,11903,2
1,1,都市ガス,3610,0.9,14.8,3101,0.9,3234,1.2,3203,0.9,3895,1.2,3239,0.7,3670,0.7,4917,0.8
1,1,上下水道料,6253,1.6,19.7,6274,1.9,5116,2,4673,1.4,4880,1.5,8190,1.9,6820,1.4,7781,1.3
1,1,医科診療代,3955,1,12.5,2986,0.9,1926,0.7,2839,0.8,4478,1.4,2734,0.6,3978,0.8,8700,1.5
1,1,歯科診療代,2003,0.5,33.6,2057,0.6,583,0.2,1464,0.4,3179,1,1603,0.4,1755,0.4,3385,0.6
1,1,出産入院料,57,0,...,-,-,-,-,402,0.1,-,-,-,-,-,-,-,-
1,1,他の入院料,994,0.3,3.1,541,0.2,-,-,1914,0.6,-,-,4511,1,-,-,-,-
1,1,鉄道運賃,2849,0.7,0,3651,1.1,949,0.4,1580,0.5,2462,0.8,1122,0.3,2371,0.5,7761,1.3
1,1,鉄道通学定期代,427,0.1,-20.2,579,0.2,-,-,563,0.2,433,0.1,82,0,969,0.2,354,0.1
1,1,鉄道通勤定期代,5826,1.5,41.4,1870,0.6,4646,1.8,3750,1.1,3643,1.1,6804,1.6,3917,0.8,16048,2.7
