項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,ローン返済世帯／実数（円）,ローン返済世帯／構成比（％）,ローン返済世帯／40歳未満／実数（円）,ローン返済世帯／40歳未満／構成比（％）,ローン返済世帯／40～49歳／実数（円）,ローン返済世帯／40～49歳／構成比（％）,ローン返済世帯／50歳以上／実数（円）,ローン返済世帯／50歳以上／構成比（％）,ローン返済のない世帯／実数（円）,ローン返済のない世帯／構成比（％）,ローン返済のない世帯／40歳未満／実数（円）,ローン返済のない世帯／40歳未満／構成比（％）,ローン返済のない世帯／40～49歳／実数（円）,ローン返済のない世帯／40～49歳／構成比（％）,ローン返済のない世帯／50歳以上／実数（円）,ローン返済のない世帯／50歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3749,-,729,-,1610,-,1410,-,6251,-,1273,-,1367,-,3611,-
0,0,0,0,0,調査世帯数,365,-,141,-,30,-,59,-,52,-,224,-,42,-,48,-,135,-
0,0,0,0,0,世帯人員,3.3,-,3.58,-,3.81,-,3.76,-,3.26,-,3.13,-,3.1,-,3.66,-,2.93,-
0,0,0,0,0,有業人員,1.71,-,1.72,-,1.55,-,1.63,-,1.91,-,1.71,-,1.58,-,1.65,-,1.77,-
0,0,0,0,0,世帯主平均年齢,49.4,-,47.1,-,35.7,-,44.4,-,56,-,50.9,-,33.4,-,44.6,-,59.4,-
1,0,0,0,0,受取,1412099,-,1735214,-,1383083,-,1809103,-,1844723,-,1225602,-,1214276,-,1368482,-,1178432,-
1,1,0,0,0,実収入,701538,100,850930,100,732040,100,845675,100,922332,100,610871,100,629235,100,699583,100,571456,100
1,2,0,0,0,経常収入,675758,96.3,815674,95.9,692705,94.6,810232,95.8,889491,96.4,591078,96.8,611046,97.1,678266,97,552027,96.6
1,3,0,0,0,勤め先収入,639589,91.2,780847,91.8,665192,90.9,774986,91.6,852321,92.4,554104,90.7,593769,94.4,661308,94.5,500291,87.5
1,4,0,0,0,世帯主収入,523450,74.6,632656,74.3,542399,74.1,638260,75.5,676551,73.4,457548,74.9,470873,74.8,563604,80.6,413367,72.3
1,6,0,0,0,うち男,499359,71.2,615631,72.3,530746,72.5,614787,72.7,665106,72.1,429256,70.3,440074,69.9,545192,77.9,382812,67
1,5,0,0,0,定期収入,421611,60.1,492630,57.9,419140,57.3,492244,58.2,532566,57.7,379044,62,382302,60.8,455840,65.2,349783,61.2
1,5,0,0,0,臨時収入,6025,0.9,8516,1,8636,1.2,9071,1.1,7798,0.8,4502,0.7,7060,1.1,4072,0.6,3643,0.6
1,5,0,0,0,賞与,95814,13.7,131511,15.5,114623,15.7,136945,16.2,136187,14.8,74002,12.1,81511,13,103692,14.8,59941,10.5
1,4,0,0,0,世帯主の配偶者の収入,101297,14.4,134624,15.8,122685,16.8,133182,15.7,143644,15.6,81112,13.3,119548,19,97201,13.9,61812,10.8
1,6,0,0,0,うち女,96503,13.8,132708,15.6,113155,15.5,133182,15.7,143644,15.6,74417,12.2,99439,15.8,91231,13,59736,10.5
1,4,0,0,0,他の世帯員収入,14843,2.1,13567,1.6,108,0,3545,0.4,32126,3.5,15444,2.5,3348,0.5,503,0.1,25112,4.4
1,3,0,0,0,事業・内職収入,6722,1,9274,1.1,827,0.1,7193,0.9,15335,1.7,5414,0.9,206,0,502,0.1,9131,1.6
1,4,0,0,0,家賃収入,3346,0.5,1951,0.2,-,-,-,-,5083,0.6,4270,0.7,-,-,-,-,7420,1.3
1,4,0,0,0,他の事業収入,1910,0.3,3875,0.5,106,0,7130,0.8,1826,0.2,722,0.1,60,0,40,0,1221,0.2
1,4,0,0,0,内職収入,1467,0.2,3449,0.4,721,0.1,62,0,8426,0.9,423,0.1,146,0,462,0.1,489,0.1
1,3,0,0,0,他の経常収入,29447,4.2,25553,3,26686,3.6,28053,3.3,21835,2.4,31560,5.2,17071,2.7,16457,2.4,42605,7.5
1,4,0,0,0,財産収入,1363,0.2,1263,0.1,15,0,1600,0.2,1660,0.2,1396,0.2,160,0,727,0.1,2123,0.4
1,4,0,0,0,社会保障給付,26967,3.8,24092,2.8,26545,3.6,26452,3.1,19690,2.1,28454,4.7,16905,2.7,14406,2.1,38041,6.7
1,5,0,0,0,公的年金給付,16490,2.4,7705,0.9,-,-,4510,0.5,15181,1.6,21660,3.5,3046,0.5,4132,0.6,35061,6.1
1,5,0,0,0,他の社会保障給付,10477,1.5,16386,1.9,26545,3.6,21942,2.6,4509,0.5,6794,1.1,13859,2.2,10274,1.5,2980,0.5
1,4,0,0,0,仕送り金,1117,0.2,199,0,126,0,-,-,485,0.1,1710,0.3,6,0,1324,0.2,2441,0.4
1,2,0,0,0,特別収入,25780,3.7,35256,4.1,39335,5.4,35443,4.2,32841,3.6,19792,3.2,18188,2.9,21316,3,19430,3.4
1,3,0,0,0,受贈金,1726,0.2,1328,0.2,1662,0.2,1546,0.2,937,0.1,1955,0.3,3679,0.6,2906,0.4,952,0.2
1,3,0,0,0,他の特別収入,24054,3.4,33928,4,37673,5.1,33897,4,31904,3.5,17838,2.9,14509,2.3,18411,2.6,18478,3.2
1,1,0,0,0,実収入以外の受取(繰入金を除く),555528,-,731072,-,547291,-,789157,-,771915,-,458930,-,440061,-,466774,-,466735,-
1,2,0,0,0,預貯金引出,410576,-,553255,-,410165,-,572063,-,611575,-,330557,-,335563,-,337129,-,330590,-
1,2,0,0,0,保険金,5429,-,1581,-,360,-,565,-,3501,-,7671,-,253,-,1621,-,12482,-
1,3,0,0,0,個人・企業年金保険金,4057,-,567,-,-,-,-,-,1578,-,6130,-,-,-,-,-,10639,-
1,3,0,0,0,他の保険金,1373,-,1015,-,360,-,565,-,1923,-,1541,-,253,-,1621,-,1843,-
1,2,0,0,0,有価証券売却,247,-,210,-,67,-,-,-,479,-,289,-,384,-,72,-,330,-
