項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7504,-,-,4001,-,-
世帯人員(人),2.95,-,-,3.31,-,-
有業人員(人),1.34,-,-,1.79,-,-
世帯主の配偶者のうち女の有業率（％）,39.9,-,-,54.7,-,-
世帯主の年齢 (歳),59.7,-,-,49.8,-,-
実収入,-,-,-,609535,4,4
経常収入,-,-,-,579127,0.4,0.4
勤め先収入,-,-,-,536881,0.1,0.1
世帯主収入,-,-,-,431902,-1.5,-1.5
世帯主収入うち男,-,-,-,410324,-1.9,-1.9
定期収入,-,-,-,352079,-0.8,-0.8
臨時収入,-,-,-,4675,9.3,9.3
賞与,-,-,-,75148,-4.8,-4.8
世帯主の配偶者の収入,-,-,-,89812,7.6,7.6
世帯主の配偶者の収入うち女,-,-,-,87666,6.5,6.5
他の世帯員収入,-,-,-,15168,4.1,4.1
事業・内職収入,-,-,-,3548,-17.6,-17.6
他の経常収入,-,-,-,38698,6.1,6.1
特別収入,-,-,-,30408,234.8,234.8
実収入以外の受取(繰入金を除く),-,-,-,443539,-0.8,-
預貯金引出,-,-,-,343470,-2.2,-
実支出,-,-,-,416707,-3.8,-
消費支出,277926,-5.3,-5.3,305811,-5.6,-5.6
食料,76440,1.6,0.2,79496,2.7,1.3
穀類,6670,5.1,5,6933,6.8,6.7
米,1929,3.9,3.8,1886,6.1,6
パン,2591,-2,-1.7,2758,-1.6,-1.3
麺類,1654,17.2,16,1779,20.9,19.7
他の穀類,496,14,14.9,511,17.2,18.1
魚介類,6224,5.8,6.2,5308,10,10.4
生鮮魚介,3552,6.1,7.2,3061,10.5,11.6
塩干魚介,1099,5.3,5.2,923,10.4,10.3
魚肉練製品,690,4.1,3,566,6,4.8
他の魚介加工品,884,6.8,6.3,758,10.7,10.1
肉類,8102,11.4,10.3,8693,14.1,13
生鮮肉,6583,12,10.5,7035,15,13.4
加工肉,1519,8.8,10,1659,10.2,11.4
乳卵類,4107,7.8,7.5,4103,9.9,9.6
牛乳,1323,4.8,3.9,1267,7.7,6.7
乳製品,1946,8.7,8.9,2004,10.5,10.7
卵,838,10.6,10.2,832,11.5,11.1
野菜・海藻,9237,8.8,5.1,8472,11.9,8.1
生鮮野菜,6213,10.5,5.5,5802,13.6,8.5
乾物・海藻,748,3.9,1.8,658,7.7,5.5
大豆加工品,1147,4.9,4.3,1037,6.9,6.3
他の野菜・海藻加工品,1128,6.7,5.6,974,10.9,9.8
果物,3024,5.4,-0.6,2378,7.5,1.4
生鮮果物,2726,4.7,-1.6,2100,6.1,-0.3
果物加工品,298,12,11.6,278,18.8,18.3
油脂・調味料,3907,9.9,10.6,3915,12,12.7
油脂,415,10.7,11.7,394,12.3,13.3
調味料,3492,9.8,10.4,3522,12,12.6
菓子類,6260,3.9,1.8,6887,4.2,2.1
調理食品,10757,3.5,2.8,11111,4.4,3.7
主食的調理食品,4490,3.1,1.1,4699,4.2,2.2
他の調理食品,6266,3.7,4,6411,4.5,4.8
飲料,4864,3.5,4,5188,4.6,5.1
茶類,1112,1.6,2.3,1116,1.3,2
コーヒー・ココア,984,4.1,5.5,1061,5.6,7
他の飲料,2768,4.1,4.1,3011,5.5,5.5
酒類,3700,16.2,15.4,3849,23.1,22.2
外食,9587,-24.7,-26.2,12657,-21.6,-23.2
一般外食,8853,-25.4,-27.1,11406,-22.5,-24.3
学校給食,734,-13.6,-11.4,1251,-11.7,-9.4
住居,17365,1.6,-0.2,18824,-2.4,-4.1
家賃地代,8180,1.1,1.1,11595,1.7,1.7
設備修繕・維持,9185,2.1,-1.3,7229,-8.3,-11.3
設備材料,3085,11.9,10.5,2520,9.7,8.3
工事その他のサービス,6100,-2.3,-6.1,4709,-15.8,-19.1
光熱・水道,21836,-0.5,1.9,21696,-0.7,1.7
電気代,10671,-1.4,2.2,10633,-0.9,2.7
ガス代,4729,-2.5,-0.8,4742,-3.6,-1.9
他の光熱,1181,-3.9,5.7,901,-5.9,3.5
