項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,689,-,-,99,-,100,-,101,-,104,-,97,-,97,-,91,-
0,0,0,0,0,世帯人員,2.94,-,-,2.41,-,2.49,-,2.8,-,3.09,-,3.14,-,3.3,-,3.34,-
0,0,0,0,0,有業人員,1.32,-,-,0.66,-,0.85,-,1.12,-,1.43,-,1.62,-,1.72,-,1.84,-
0,0,0,0,0,世帯主平均年齢,59.4,-,-,71.5,-,69.5,-,61.6,-,55.1,-,52.5,-,51.8,-,53.6,-
0,0,0,0,0,平均年間収入(万円),763,-,-,248,-,381,-,494,-,638,-,805,-,1023,-,1749,-
2,2,0,0,0,生計支出,331138,-,0.3,205273,-,242570,-,265140,-,347528,-,331618,-,380812,-,547601,-
2,3,0,0,0,消費支出,319428,100,-2.2,205273,100,242570,100,265140,100,312328,100,331618,100,379620,100,501208,100
2,4,1,0,0,食料,90238,28.2,2.6,69966,34.1,76552,31.6,78879,29.7,88246,28.3,93169,28.1,99684,26.3,125282,25
2,5,1,1,0,穀類,7116,2.2,5.1,6299,3.1,6509,2.7,6505,2.5,7146,2.3,7418,2.2,7973,2.1,7923,1.6
2,6,1,1,1,米類,1941,0.6,4,1866,0.9,1925,0.8,1909,0.7,1816,0.6,2000,0.6,2107,0.6,1954,0.4
2,6,1,1,2,パン,2918,0.9,-4.1,2505,1.2,2514,1,2536,1,3039,1,3056,0.9,3334,0.9,3431,0.7
2,6,1,1,3,麺類,1692,0.5,21.9,1483,0.7,1603,0.7,1519,0.6,1774,0.6,1795,0.5,1867,0.5,1789,0.4
2,6,1,1,4,他の穀類,565,0.2,19.7,446,0.2,466,0.2,542,0.2,518,0.2,568,0.2,665,0.2,749,0.1
2,5,1,2,0,魚介類,6797,2.1,8.2,6766,3.3,7142,2.9,6383,2.4,6427,2.1,6360,1.9,6574,1.7,7919,1.6
2,6,1,2,1,生鮮魚介,3992,1.2,7.6,3860,1.9,4105,1.7,3600,1.4,3900,1.2,3804,1.1,3887,1,4779,1
2,6,1,2,2,塩干魚介,1157,0.4,7.9,1185,0.6,1301,0.5,1108,0.4,1145,0.4,1049,0.3,1020,0.3,1286,0.3
2,6,1,2,3,魚肉練製品,649,0.2,8.7,764,0.4,725,0.3,670,0.3,565,0.2,584,0.2,590,0.2,652,0.1
