"種別大","種別中","種別小","種別細","単価[円]","対象数[人][世帯]","支給総額[円]","備考"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,,,"64人",,"小･中･高生同一単価"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"学童服","11400",,"729600","小･中･高生同一単価"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"運動衣","4100",,"262400","小･中･高生同一単価"
"生活保護世帯の援護","夏休み中の学童・生徒に対する夏季健全育成費",,,"3300","81人","267300","小･中･高生同一単価"
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季",,,"1470世帯","7716000",
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","施設入所世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季",,,"1470世帯","7708000",
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","施設入所世帯","5000",,,
"生活保護世帯の援護","出産世帯に対する祝品",,,,"0世帯",,"5,000円相当の祝品を支給"
"生活保護世帯の援護","修学旅行支度金",,"小学生","4300","0人","0",
"生活保護世帯の援護","修学旅行支度金",,"中学生・高校生","8500","0人","0",
"生活保護世帯の援護","高校学習支援金・就職支度金",,,"51500","10人","515000",
"その他の援護","原爆被爆者に対する見舞金",,,"12000","82人","984000",

"令和3年度港区行政資料集　法外援護","Ver202103",,,,,,
