"科目","金額[百万円]"
"年度","2018"
"期間（自）","20180401"
"期間（至）","20190331"
"経常費用","188980"
"経常費用 業務費用","89413"
"経常費用 業務費用 人件費","20974"
"経常費用 業務費用 人件費 職員給与費","17441"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1028"
"経常費用 業務費用 人件費 退職手当引当金繰入額","966"
"経常費用 業務費用 人件費 その他","1540"
"経常費用 業務費用 物件費等","58965"
"経常費用 業務費用 物件費等 物件費","44804"
"経常費用 業務費用 物件費等 維持補修費","3261"
"経常費用 業務費用 物件費等 減価償却費","10869"
"経常費用 業務費用 物件費等 その他","31"
"経常費用 業務費用 その他の業務費用","9474"
"経常費用 業務費用 その他の業務費用 支払利息","32"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","592"
"経常費用 業務費用 その他の業務費用 その他","8850"
"経常費用 移転費用","99567"
"経常費用 移転費用 補助金等","77654"
"経常費用 移転費用 社会保障給付","21632"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","282"
"経常収益","18386"
"経常収益 使用料及び手数料","8245"
"経常収益 その他","10142"
"純経常行政コスト","-170594"
"臨時損失","20"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","20"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","0"
"臨時利益","1"
"臨時利益 資産売却益","1"
"臨時利益 その他","1"
"純行政コスト","-170613"

"連結会計財務書類（行政コスト計算書）(平成30年4月1日から平成31年3月31日)","Ver201903"
