年度,"給水人口
（人）",
,,
明32,"83,212",
明33,"246,274",
明34,"317,760",
明35,"772,351",
明36,"799,519",
明37,"876,994",
明38,"925,578",
明39,"1,016,464",
明40,"1,108,845",
明41,"1,191,413",
明42,"1,254,401",
明43,"1,323,096",
明44,"1,369,754",
大1,"1,430,435",
大2,"1,476,092",
大3,"1,532,052",
大4,"1,556,968",
大5,"1,630,047",
大6,"1,669,811",
大7,"1,722,268",
大8,"1,766,418",
大9,"1,822,044",
大10,"1,571,255",
大11,"1,722,243",
大12,"989,596",
大13,"1,688,980",
大14,"1,809,927",
昭1,"1,775,144",
昭2,"1,809,584",
昭3,"1,776,564",
昭4,"1,969,981",
昭5,"2,047,516",
昭6,"2,125,137",
昭7,"3,537,477",
昭8,"3,801,242",
昭9,"4,054,378",
昭10,"4,762,632",
昭11,"5,068,282",
昭12,"5,348,547",
昭13,"5,620,207",
昭14,"5,837,499",
昭15,"6,278,625",
昭16,,
昭17,,
昭18,"5,869,091",
昭19,,
昭20,"2,405,707",
昭21,"2,061,706",
昭22,"2,616,532",
昭23,"3,204,339",
昭24,"3,863,489",
昭25,"4,192,590",
昭26,"4,651,144",
昭27,"4,911,270",
昭28,"5,169,359",
昭29,"5,331,107",
昭30,"5,626,700",
昭31,"5,975,136",
昭32,"6,399,882",
昭33,"6,561,970",
昭34,"6,769,511",
昭35,"7,011,594",
昭36,"7,289,159",
昭37,"7,510,970",
昭38,"7,738,662",
昭39,"7,893,587",
昭40,"8,004,297",
昭41,"8,055,701",
昭42,"8,161,326",
昭43,"8,294,824",
昭44,"8,367,701",
昭45,"8,466,050",
昭46,"8,546,873",
昭47,"8,572,354",
昭48,"8,869,973",
昭49,"9,863,400",
昭50,"10,511,577",
昭51,"10,518,937",
昭52,"10,612,535",
昭53,"10,617,016",
昭54,"10,584,996",
昭55,"10,599,533",
昭56,"10,605,623",
昭57,"10,778,517",
昭58,"10,863,735",
昭59,"10,919,200",
昭60,"10,982,415",
昭61,"11,026,368",
昭62,"11,019,037",
昭63,"11,006,337",
平1,"10,979,350",
平2,"10,969,985",
平3,"10,986,331",
平4,"10,960,317",
平5,"10,906,902",
平6,"10,879,882",
平7,"10,865,048",
平8,"10,903,178",
平9,"10,959,404",
平10,"11,187,290",
平11,"11,269,208",
平12,"11,574,334",
平13,"11,687,027",
平14,"11,969,840",
平15,"12,075,282",
平16,"12,163,770",
平17,"12,233,540",
平18,"12,355,739",
平19,"12,490,382",
平20,"12,621,900",
平21,"12,733,449",
平22,"12,820,416",
平23,"12,852,602",
平24,"12,887,553",
平25,"12,961,889",
平26,"13,058,338",
平27,"13,174,321",
平28,"13,309,895",
平29,"13,430,499",
平30,"13,545,141",
令1,"13,659,482",
令2,"13,702,572",
令3,"13,666,183",
令4,"13,695,575",
