"地区","自治体コード","施設名","ふりがな","英語名称","分類","住所","電話番号1","電話番号2","一時受入人員可能数[人]","長期受入人員可能数[人]","構造","緯度","経度"
"芝地区","131032","御成門小学校","おなりもんしょうがっこう","Onarimon Elementary School","区民避難所(地域防災拠点)","東京都港区芝公園三丁目2番4号","03-3431-2766",,"2104","1271","鉄骨鉄筋コンクリート造","35.660982","139.749524"
"芝地区","131032","芝小学校","しばしょうがっこう","Shiba Elementary School","区民避難所(地域防災拠点)","東京都港区芝二丁目21番3号","03-3456-3072",,"855","513","鉄骨鉄筋コンクリート造","35.651298","139.750139"
"芝地区","131032","札の辻スクエア(産業振興センター)","ふだのつじすくえあ(さんぎょうしんこうせんたー)",,"区民避難所(地域防災拠点)","東京都港区芝五丁目36番4号","03-6435-3670",,"672","407","鉄筋コンクリート造","35.645114","139.744617"
"芝地区","131032","赤羽小学校","あかばねしょうがっこう","Akabane Elementary School","区民避難所(地域防災拠点)","東京都港区三田一丁目4番52号","03-3451-1988",,"1597","964","鉄筋コンクリート造","35.653237","139.74248"
"芝地区","131032","御成門中学校","おなりもんちゅうがっこう","Onarimon Junior High School","区民避難所(地域防災拠点)","東京都港区西新橋三丁目25番30号","03-3436-3568",,"2536","1528","鉄骨鉄筋コンクリート造","35.66164","139.750329"
"芝地区","131032","生涯学習センター","しょうがいがくしゅうせんたー","Lifelong Learning Center","区民避難所(地域防災拠点)","東京都港区西新橋三丁目16番3号","03-3431-1606",,"838","504","鉄骨造","35.665575","139.757085"
"芝地区","131032","エコプラザ","えこぷらざ","Eco Plaza","区民避難所(地域防災拠点)","東京都港区浜松町一丁目13番1号","03-5404-7764",,"556","335","鉄骨鉄筋コンクリート造","35.658866","139.756851"
"芝地区","131032","福祉プラザさくら川","ふくしぷらざさくらがわ","Welfare Plaza Sakuragawa","区民避難所(地域防災拠点)","東京都港区浜松町六丁目19番2号","03-3433-0180",,"144","86","鉄骨鉄筋コンクリート造","35.661172","139.753823"
"芝地区","131032","神明子ども中高生プラザ・神明いきいきプラザ","しんめいこどもちゅうこうせいぷらざ・しんめいいきいきぷらざ","Shimmei Kids-to-Teens Hall/Shimmei Iki-iki Plaza","区民避難所(地域防災拠点)","東京都港区浜松町一丁目6番7号","03-5733-5199","03-3436-2500","852","511","鉄骨鉄筋コンクリート造","35.65877","139.757557"
"芝地区","131032","虎ノ門いきいきプラザ","とらのもんいきいきぷらざ","Toranomon Iki-iki Plaza","区民避難所(地域防災拠点)","東京都港区虎ノ門一丁目21番10号","03-3539-2941",,"132","79","鉄骨鉄筋コンクリート造","35.667859","139.748668"
"高輪地区","131032","三田いきいきプラザ","みたいきいきぷらざ","Mita Iki-iki Plaza","区民避難所(地域防災拠点)","東京都港区芝四丁目1番17号","03-3452-9421",,"332","199","鉄筋コンクリート造","35.648781","139.749768"
"麻布地区","131032","麻布小学校","あざぶしょうがっこう","Azabu Elementary School","区民避難所(地域防災拠点)","東京都港区麻布台一丁目5番15号","03-3583-0014",,"1435","865","鉄筋コンクリート造","35.661832","139.738648"
