最終処分量,汚泥（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,その他（千t）,合計（千t）
昭和57年度,206,17,88,92,403
昭和62年度,187,22,92,72,373
平成04年度,88,18,104,158,368
平成09年度,,,,,172
平成10年度,31,10,58,42,141
平成11年度,26,30,59,57,172
平成12年度,22,25,50,49,146
平成13年度,28,35,58,63,184
平成14年度,284,12,38,35,369
平成15年度,34,161,22,141,358
平成16年度,16,10,37,182,245
平成17年度,29,4,20,100,153
平成18年度,22,135,3,48,208
平成19年度,23,52,6,89,170
平成20年度,50,86,15,49,200
平成21年度,17,69,5,7,98
平成22年度,30,100,5,12,147
平成23年度,18,220,5,9,252
平成24年度,18,208,3,9,238
平成25年度,11,74,11,9,105
