,排 出 量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理（内、処 理 量）（千t）,中間処理（内、処理後量）（千t）,中間処理（内、処理後 再生利用量）（千t）,中間処理（内、処理後 最終処分量）（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,9355,11,46,9298,8245,7792,452,7803,1053,499,
燃え殻,0,,0,0,0,0,0,0,,0,
汚泥,2460,0,4,2455,1728,1677,50,1677,727,55,
汚泥（内、上水汚泥）,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,
汚泥（内、建設汚泥）,2285,0,4,2281,1675,1628,47,1628,605,51,
汚泥（内、その他の汚泥）,175,,0,175,52,49,3,49,122,3,
廃油,6,,0,6,1,0,0,0,5,0,
廃酸,0,,,0,0,0,,0,0,,
廃アルカリ,1,,,1,0,0,,0,1,,
廃プラスチック類,82,0,2,81,29,25,4,25,51,6,
ゴムくず,0,,,0,0,0,,0,0,,
金属くず,68,3,0,64,64,55,9,58,,9,
ガラス・陶磁器くず,245,,5,240,240,187,53,187,0,58,
鉱さい,4,,,4,4,4,0,4,,0,
がれき,5799,7,19,5772,5762,5570,192,5577,10,211,
がれき（内、コンクリート塊）,3652,3,0,3649,3648,3613,35,3616,1,35,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,1002,4,0,998,989,987,2,991,9,2,
がれき（内、その他のがれき類）,1145,0,19,1126,1125,971,155,971,0,174,
石綿含有産業破棄物,34,,6,28,28,20,9,20,,14,
ばいじん,0,,0,0,0,0,0,0,,0,
紙くず,30,0,0,30,8,7,0,7,22,0,
木くず,301,0,0,300,69,66,3,66,232,3,
繊維くず,6,,,6,1,1,0,1,4,0,
動植物性残さ,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,
動物の死体,,,,,,,,,,,
政令13号物,0,,,0,0,,,,,,
混合廃棄物,311,,5,306,306,175,131,175,,136,
その他,0,,,0,0,0,0,0,,0,
特別管理産業廃棄物,9,,6,4,3,2,1,2,0,7,
廃油,0,,,0,0,0,,0,0,,
廃酸,0,,,0,0,0,,0,0,,
廃アルカリ,0,,,0,,,,,0,,
感染性廃棄物,,,,,,,,,,,
特定有害廃棄物,9,,6,3,3,2,1,2,0,7,
特定有害廃棄物（内、廃PCB等）,0,,,0,0,0,,0,,,
特定有害廃棄物（内、廃石綿等）,9,,6,3,3,2,1,2,,7,
特定有害廃棄物（内、その他の）,0,,,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,,,,,,,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,0,,,0,0,0,0,0,,0,
特定有害廃棄物（内、その他のば い じ ん）,0,,,0,0,0,,0,,,
特定有害廃棄物（内、その他の廃 油）,,,,,,,,,,,
特定有害廃棄物（内、その他の汚泥）,0,,,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,0,,,0,,,,,0,,
特定有害廃棄物（内、その他の廃アルカリ）,0,,,0,,,,,0,,
