,排 出 量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理（内、処 理 量）（千t）,中間処理（内、処理後量）（千t）,中間処理（内、処理後 再生利用量）（千t）,中間処理（内、処理後 最終処分量）（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,42,0,,42,27,27,0,27,15,0,
燃え殻,,,,,,,,,,,
汚泥,,,,,,,,,,,
汚泥（内、上水汚泥）,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,
汚泥（内、建設汚泥）,,,,,,,,,,,
汚泥（内、その他の汚泥）,,,,,,,,,,,
廃油,,,,,,,,,,,
廃酸,,,,,,,,,,,
廃アルカリ,,,,,,,,,,,
廃プラスチック類,0,,,0,0,0,,0,,,
ゴムくず,,,,,,,,,,,
金属くず,,,,,,,,,,,
ガラス・陶磁器くず,,,,,,,,,,,
鉱さい,,,,,,,,,,,
がれき,0,0,,,,,,0,,,
がれき（内、コンクリート塊）,0,0,,,,,,0,,,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,,,,,,,,,,,
がれき（内、その他のがれき類）,,,,,,,,,,,
石綿含有産業破棄物,,,,,,,,,,,
ばいじん,,,,,,,,,,,
紙くず,,,,,,,,,,,
木くず,1,,,1,0,0,0,0,0,0,
繊維くず,,,,,,,,,,,
動植物性残さ,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,
動物のふん尿,41,,,41,27,27,,27,15,,
動物の死体,,,,,,,,,,,
政令13号物,,,,,,,,,,,
混合廃棄物,,,,,,,,,,,
その他,,,,,,,,,,,
特別管理産業廃棄物,,,,,,,,,,,
廃油,,,,,,,,,,,
廃酸,,,,,,,,,,,
廃アルカリ,,,,,,,,,,,
感染性廃棄物,,,,,,,,,,,
特定有害廃棄物,,,,,,,,,,,
特定有害廃棄物（内、廃PCB等）,,,,,,,,,,,
特定有害廃棄物（内、廃石綿等）,,,,,,,,,,,
特定有害廃棄物（内、その他の）,,,,,,,,,,,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,,,,,,,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃 油）,,,,,,,,,,,
特定有害廃棄物（内、その他の汚泥）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃酸）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃アルカリ）,,,,,,,,,,,
