,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量（内、自己中間処理後量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後再生利用量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後自己最終処分量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託処理量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託直接最終処分量）（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量（内、自己未処理再生利用量）（千t）,自己未処理量（内、自己未処理自己最終処分量）（千t）,自己未処理量（内、自己未処理委託処理量）（千t）,自己未処理量（内、自己未処理委託直接最終処分量）（千t）,委託処理量（千t）,委託処理量（内、委託中間処理量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後再生利用量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後最終処分量）（千t）,委託処理量（内、委託直接最終処分量）（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,9364,9,9355,275,265,95,0,170,0,11,9079,11,0,9022,46,9238,9192,8150,7698,452,46,1043,498,7803,1053,499,
燃え殻,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
汚泥,2460,,2460,7,7,7,,,,,2453,0,,2449,4,2453,2448,1721,1671,50,5,727,55,1677,727,55,
汚泥（内、上水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、建設汚泥）,2285,,2285,7,7,7,,,,,2278,0,,2274,4,2278,2274,1669,1622,47,4,605,51,1628,605,51,
汚泥（内、その他の汚泥）,175,,175,,,,,,,,175,,,175,0,175,175,52,49,3,0,122,3,49,122,3,
廃油,6,0,6,,,,,,,,6,,,6,0,6,6,1,0,0,0,5,0,0,5,0,
廃酸,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
廃アルカリ,1,,1,,,,,,,,1,,,1,,1,1,0,0,0,,1,0,0,1,0,
廃プラスチック類,82,0,82,2,2,0,,2,,,80,0,,79,2,82,80,29,24,4,2,51,6,25,51,6,
ゴムくず,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
金属くず,77,9,68,1,1,0,,0,,,67,3,,64,0,64,64,64,55,9,0,,9,58,,9,
ガラス・陶磁器くず,245,0,245,3,3,1,0,2,,0,241,,,237,5,243,239,239,185,53,5,,58,187,0,58,
鉱さい,4,,4,,,,,,,,4,,,4,,4,4,4,4,0,,,0,4,,0,
がれき,5799,,5799,259,249,84,,165,0,10,5539,7,,5513,19,5698,5678,5678,5487,192,19,,211,5577,10,211,
がれき（内、コンクリート塊）,3652,,3652,127,126,22,,104,,1,3525,3,,3522,0,3626,3626,3626,3590,35,0,,35,3616,1,35,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,1002,,1002,117,108,46,,62,,9,885,4,,881,0,943,943,943,941,2,0,,2,991,9,2,
がれき（内、その他のがれき類）,1145,,1145,16,16,16,,0,0,0,1129,0,,1110,19,1129,1110,1110,955,155,19,,174,971,0,174,
石綿含有産業破棄物,34,,34,,,,,,,,34,,0,28,6,34,28,28,20,9,6,,14,20,,14,
ばいじん,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
紙くず,30,0,30,1,1,1,,0,,0,28,0,,28,0,28,28,6,6,0,0,22,0,7,22,0,
木くず,301,0,301,2,1,1,0,1,,0,299,0,,299,0,300,300,68,66,3,0,231,3,66,232,3,
繊維くず,6,,6,0,0,,,0,,,6,,,6,0,6,6,1,1,0,0,4,0,1,4,0,
動植物性残さ,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物の死体,,,,,,,,,,,,,,,,,,,,,,,,,,,
政令13号物,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
混合廃棄物,311,0,311,,,,,,,,311,,,306,5,311,306,306,175,131,5,,136,175,,136,
その他,0,0,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特別管理産業廃棄物,9,,9,,,,,,,,9,,0,4,6,9,4,3,2,1,6,0,7,2,0,7,
廃油,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
廃酸,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
廃アルカリ,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
感染性廃棄物,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物,9,,9,,,,,,,,9,,0,3,6,9,3,3,2,1,6,0,7,2,0,7,
特定有害廃棄物（内、廃PCB等）,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,,,0,,,
特定有害廃棄物（内、廃石綿等）,9,,9,,,,,,,,9,,0,3,6,9,3,3,2,1,6,,7,2,,7,
特定有害廃棄物（内、その他の）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特定有害廃棄物（内、その他のば い じ ん）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特定有害廃棄物（内、その他の廃 油）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の汚泥）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物（内、その他の廃アルカリ）,0,,0,,,,,,,,0,,,0,,0,0,0,0,,,0,,0,0,,
