,排 出 量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理（内、処 理 量）（千t）,中間処理（内、処理後量）（千t）,中間処理（内、処理後 再生利用量）（千t）,中間処理（内、処理後 最終処分量）（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,24592,15,61,24516,9365,8679,685,8694,15152,747,
燃え殻,3,,0,3,3,2,0,2,0,0,
汚泥,16462,1,6,16455,1886,1736,150,1737,14569,156,
汚泥（内、上水汚泥）,468,,,468,28,2,26,2,441,26,
汚泥（内、下水汚泥）,13066,,0,13066,71,8,62,8,12995,62,
汚泥（内、建設汚泥）,2285,0,4,2281,1675,1628,47,1628,605,51,
汚泥（内、その他の汚泥）,643,1,2,640,112,97,14,99,528,16,
廃油,31,,0,31,5,5,0,5,26,0,
廃酸,34,,,34,7,7,0,7,27,0,
廃アルカリ,33,,,33,3,3,0,3,31,0,
廃プラスチック類,311,0,9,302,209,182,27,182,93,36,
ゴムくず,0,,0,0,0,0,0,0,0,0,
金属くず,147,3,0,143,143,130,13,133,,13,
ガラス・陶磁器くず,680,2,5,673,648,514,134,516,25,139,
鉱さい,46,,1,45,45,45,1,45,,1,
がれき,5868,7,19,5842,5831,5628,203,5635,10,223,
がれき（内、コンクリート塊）,3701,3,0,3698,3697,3652,45,3656,1,45,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,1019,4,0,1015,1006,1003,3,1007,9,3,
がれき（内、その他のがれき類）,1148,0,19,1129,1128,972,156,972,0,175,
石綿含有産業破棄物,40,,6,34,34,25,9,25,,15,
ばいじん,6,,1,5,5,3,2,3,,3,
紙くず,49,0,0,49,23,22,0,22,26,0,
木くず,349,0,0,349,104,101,3,101,245,3,
繊維くず,6,,,6,2,1,0,1,4,0,
動植物性残さ,49,1,,48,24,24,0,25,24,0,
動物系固形不要物,,,,,,,,,,,
動物のふん尿,41,,,41,27,27,,27,15,,
動物の死体,,,,,,,,,,,
政令13号物,0,,,0,0,,,,,,
混合廃棄物,336,,5,331,331,191,140,191,,145,
その他,12,,2,10,10,10,0,10,,2,
特別管理産業廃棄物,89,0,7,82,26,23,3,23,56,10,
廃油,4,,,4,1,1,0,1,4,0,
廃酸,21,,,21,6,6,,6,15,,
廃アルカリ,2,,,2,0,0,,0,2,,
感染性廃棄物,37,0,1,35,6,4,2,4,29,3,
特定有害廃棄物,25,,6,19,13,12,1,12,6,7,
特定有害廃棄物（内、廃PCB等）,3,,,3,3,3,0,3,,0,
特定有害廃棄物（内、廃石綿等）,9,,6,3,3,2,1,2,,7,
特定有害廃棄物（内、その他の）,13,,0,13,7,7,0,7,6,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,1,,,1,0,0,0,0,1,0,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,0,,,0,0,0,0,0,,0,
特定有害廃棄物（内、その他のば い じ ん）,7,,,7,7,7,0,7,,0,
特定有害廃棄物（内、その他の廃 油）,2,,,2,0,0,0,0,2,0,
特定有害廃棄物（内、その他の汚泥）,0,,0,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,1,,,1,0,0,0,0,1,0,
特定有害廃棄物（内、その他の廃アルカリ）,2,,,2,0,0,0,0,2,0,
