,排 出 量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理（内、処 理 量）（千t）,中間処理（内、処理後量）（千t）,中間処理（内、処理後 再生利用量）（千t）,中間処理（内、処理後 最終処分量）（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,1242,4,12,1226,673,581,93,584,553,105,
燃え殻,0,,0,0,0,0,0,0,,0,
汚泥,437,1,2,434,52,44,9,45,382,11,
汚泥（内、上水汚泥）,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,
汚泥（内、建設汚泥）,,,,,,,,,,,
汚泥（内、その他の汚泥）,437,1,2,434,52,44,9,45,382,11,
廃油,15,,0,15,3,3,0,3,12,0,
廃酸,32,,,32,6,6,0,6,26,0,
廃アルカリ,27,,,27,2,2,0,2,25,0,
廃プラスチック類,85,,6,79,52,47,5,47,28,11,
ゴムくず,0,,0,0,0,0,,0,0,0,
金属くず,24,0,0,24,24,23,1,23,,1,
ガラス・陶磁器くず,414,2,0,412,387,313,74,315,25,74,
鉱さい,42,,1,41,41,40,1,40,,1,
がれき,36,,0,36,36,36,0,36,,0,
がれき（内、コンクリート塊）,24,,,24,24,24,0,24,,0,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,12,,,12,12,12,,12,,,
がれき（内、その他のがれき類）,0,,0,0,0,0,0,0,,0,
石綿含有産業破棄物,0,,,0,0,0,0,0,,0,
ばいじん,5,,1,4,4,2,2,2,,3,
紙くず,18,,0,18,15,15,0,15,3,0,
木くず,19,,,19,12,11,0,11,8,0,
繊維くず,0,,,0,0,0,,0,0,,
動植物性残さ,49,1,,48,24,24,0,25,24,0,
動物系固形不要物,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,
動物の死体,,,,,,,,,,,
政令13号物,,,,,,,,,,,
混合廃棄物,1,,0,1,1,1,0,1,,1,
その他,2,,2,0,0,0,0,0,,2,
特別管理産業廃棄物,34,,0,34,14,14,0,14,21,0,
廃油,2,,,2,0,0,0,0,2,0,
廃酸,20,,,20,6,6,,6,14,,
廃アルカリ,2,,,2,0,0,,0,2,,
感染性廃棄物,0,,,0,0,0,,0,0,,
特定有害廃棄物,10,,0,10,7,7,0,7,3,0,
特定有害廃棄物（内、廃PCB等）,0,,,0,0,0,0,0,,0,
特定有害廃棄物（内、廃石綿等）,0,,,0,0,,0,,,0,
特定有害廃棄物（内、その他の）,10,,0,10,7,7,0,7,3,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,0,,,0,0,0,,0,0,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,7,,,7,7,7,0,7,,0,
特定有害廃棄物（内、その他の廃 油）,1,,,1,0,0,0,0,1,0,
特定有害廃棄物（内、その他の汚泥）,0,,0,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,0,,,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃アルカリ）,2,,,2,0,0,0,0,2,0,
