,がれき類（千t）,汚泥（千t）,混合廃棄物（千t）,ガラス・陶磁器くず（千t）,その他（千t）,合計（千t）,
昭和57年,1332,1611,,25,230,3198,
昭和62年,1852,2206,,377,87,4522,
平成04年度,2205,3219,,410,236,6070,
平成09年度,1016,1430,,496,308,3250,
平成10年度,1190,1746,216,139,152,3443,
平成11年度,335,699,264,157,283,1738,
平成12年度,242,1497,220,119,240,2317,
平成13年度,271,1340,211,134,266,2222,
平成14年度,437,1555,223,26,229,2470,
平成15年度,26,815,135,215,301,1493,
平成16年度,32,915,191,91,348,1576,
平成17年度,126,594,80,79,302,1181,
平成18年度,228,500,254,252,172,1405,
平成19年度,273,253,222,233,183,1164,
平成20年度,136,332,129,181,252,1030,
平成21年度,187,231,122,174,125,839,
平成22年度,151,222,103,203,107,786,
平成23年度,99,181,118,316,317,1031,
平成24年度,105,200,144,317,111,877,
平成25年度,223,156,145,139,85,747,
