,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量（内、自己中間処理後量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後再生利用量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後自己最終処分量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託処理量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託直接最終処分量）（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量（内、自己未処理再生利用量）（千t）,自己未処理量（内、自己未処理自己最終処分量）（千t）,自己未処理量（内、自己未処理委託処理量）（千t）,自己未処理量（内、自己未処理委託直接最終処分量）（千t）,委託処理量（千t）,委託処理量（内、委託中間処理量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後再生利用量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後最終処分量）（千t）,委託処理量（内、委託直接最終処分量）（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,24738,146,24592,14226,460,107,62,263,29,13766,10367,15,1,10290,61,10642,10553,9167,8572,595,90,1386,685,8694,15152,747,
燃え殻,3,0,3,0,0,,,0,,0,3,,,3,0,3,3,3,2,0,0,,0,2,0,0,
汚泥,16466,4,16462,13841,139,9,62,39,29,13702,2622,1,0,2614,6,2688,2654,1786,1727,59,35,868,94,1737,14569,156,
汚泥（内、上水汚泥）,469,1,468,467,43,,,21,23,423,2,0,,2,,45,22,5,2,3,23,17,26,2,441,26,
汚泥（内、下水汚泥）,13066,,13066,13061,69,,62,7,,12992,5,,,5,0,13,13,9,8,1,0,4,1,8,12995,62,
汚泥（内、建設汚泥）,2285,,2285,7,7,7,,,,,2278,0,,2274,4,2278,2274,1669,1622,47,4,605,51,1628,605,51,
汚泥（内、その他の汚泥）,646,3,643,307,20,3,,12,6,287,336,1,0,333,2,353,345,103,95,9,8,242,16,99,528,16,
廃油,34,3,31,1,,,,,,1,30,0,,30,0,30,30,5,5,0,0,24,0,5,26,0,
廃酸,35,1,34,2,0,,,0,,2,32,,,32,,32,32,7,7,0,,25,0,7,27,0,
廃アルカリ,33,0,33,0,0,,,0,,0,33,,,33,,33,33,3,3,0,,30,0,3,31,0,
廃プラスチック類,333,22,311,12,3,0,,2,,9,299,0,,290,9,301,292,208,181,27,9,84,36,182,93,36,
ゴムくず,0,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
金属くず,206,59,147,8,8,7,,0,,,139,3,,135,0,136,136,136,122,13,0,,13,133,,13,
ガラス・陶磁器くず,697,17,680,80,55,1,0,54,,25,600,2,,593,5,652,647,647,513,134,5,,139,516,25,139,
鉱さい,46,,46,,,,,,,,46,,,45,1,46,45,45,45,1,1,,1,45,,1,
がれき,5868,0,5868,259,249,84,,165,0,10,5609,7,,5582,19,5767,5748,5748,5544,203,19,,223,5635,10,223,
がれき（内、コンクリート塊）,3701,0,3701,127,126,22,,104,,1,3575,3,,3571,0,3675,3675,3675,3630,45,0,,45,3656,1,45,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,1019,,1019,117,108,46,,62,,9,902,4,,898,0,960,960,960,957,3,0,,3,1007,9,3,
がれき（内、その他のがれき類）,1148,,1148,16,16,16,,0,0,0,1132,0,,1113,19,1132,1113,1113,957,156,19,,175,972,0,175,
石綿含有産業破棄物,40,,40,,,,,,,,40,,0,34,6,40,34,34,25,9,6,,14,25,,15,
ばいじん,6,,6,,,,,,,,6,,,5,1,6,5,5,3,2,1,,3,3,,3,
紙くず,75,26,49,2,1,1,,0,,0,47,0,,47,0,47,47,21,21,0,0,26,0,22,26,0,
木くず,349,0,349,3,1,1,0,1,,1,346,0,,346,0,347,347,103,100,3,0,244,3,101,245,3,
繊維くず,6,,6,0,0,,,0,,0,6,,,6,0,6,6,2,1,0,0,4,0,1,4,0,
動植物性残さ,62,13,49,5,0,,,0,,5,44,1,,43,,43,43,24,24,0,,19,0,25,24,0,
動物系固形不要物,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物のふん尿,41,,41,,,,,,,,41,,,41,,41,41,27,27,,,15,,27,15,,
動物の死体,,,,,,,,,,,,,,,,,,,,,,,,,,,
政令13号物,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
混合廃棄物,336,0,336,,,,,,,,336,,,331,5,336,331,331,191,140,5,,145,191,,145,
その他,12,1,12,,,,,,,,12,,,10,2,12,10,10,10,0,2,,2,10,,2,
特別管理産業廃棄物,89,0,89,12,3,3,,0,,9,76,0,0,70,7,76,70,23,20,3,7,46,10,23,56,10,
廃油,5,0,4,,,,,,,,4,,,4,,4,4,1,1,0,,4,0,1,4,0,
廃酸,21,,21,12,3,3,,0,,9,8,,,8,,9,9,3,3,0,,5,0,6,15,0,
廃アルカリ,2,,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
感染性廃棄物,37,0,37,,,,,,,,37,0,,35,1,37,35,6,4,2,1,29,3,4,29,3,
特定有害廃棄物,25,0,25,0,,,,,,0,25,0,0,19,6,25,19,13,12,1,6,6,7,12,6,7,
特定有害廃棄物（内、廃PCB等）,3,,3,,,,,,,,3,,,3,,3,3,3,3,0,,,0,3,,0,
特定有害廃棄物（内、廃石綿等）,9,,9,,,,,,,,9,,0,3,6,9,3,3,2,1,6,,7,2,,7,
特定有害廃棄物（内、その他の）,13,0,13,0,,,,,,0,13,0,,13,0,13,13,7,7,0,0,6,0,7,6,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,1,,1,,,,,,,,1,,,1,,1,1,0,0,0,,1,0,0,1,0,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特定有害廃棄物（内、その他のば い じ ん）,7,,7,,,,,,,,7,,,7,,7,7,7,7,0,,,0,7,,0,
特定有害廃棄物（内、その他の廃 油）,2,0,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
特定有害廃棄物（内、その他の汚泥）,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,1,0,1,0,,,,,,0,1,0,,1,,1,1,0,0,0,,1,0,0,1,0,
特定有害廃棄物（内、その他の廃アルカリ）,2,,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
