業  種,標本抽出方法等,,,,,,,,,,,,,,,
（A）農業，林業,事業所母集団DBから標本抽出,,,,,,,,,,,,,,,
（D）建設業,"事業所母集団DBから抽出／・資本金1,000万円以上は全数、未満は無作為抽出／ただし、多量排出事業者は全数抽出／また、都外大手企業（ゼネコン）についは、（社）日本建設業団体連合会会員名簿及び日本土木工業協会会員名簿より全数抽出",,,,,,,,,,,,,,,
（E）製造業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（F）電気・水道業,（上水道、下水道業）既存の資料から全数抽出／（上水道、下水道業以外の業種）事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（G）情報通信業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（H）運輸業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（I）卸売，小売業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（K）不動産業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（L）学術，専門,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（M）宿泊，飲食業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（N）生活，娯楽業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（O）教育，学習,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（P）医療，福祉,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
（R）サービス業,事業所母集団DBから抽出／・従業者数30人以上は全数、5人以上30人未満は無作為抽出／ただし、多量排出事業者は全数抽出,,,,,,,,,,,,,,,
