処分先,合計（千t）,燃え殻（千t）,汚泥（千t）,汚泥（内、上水汚泥）（千t）,汚泥（内、下水汚泥）（千t）,汚泥（内、建設汚泥）（千t）,汚泥（内、その他の汚泥）（千t）,廃油（千t）,廃酸（千t）,廃アルカリ（千t）,廃プラスチック類（千t）,ゴムくず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,鉱さい（千t）,がれき類（千t）,がれき類（内、コンクリート塊）（千t）,がれき類（内、アスファルト･コンクリート塊）（千t）,がれき類（内、その他のがれき類）（千t）,石綿含有産業廃棄物（千t）,ばいじん（千t）,紙くず（千t）,木くず（千t）,繊維くず（千t）,動植物性残さ（千t）,動物系固形不要物（千t）,動物のふん尿（千t）,動物の死体（千t）,政令13号物（千t）,混合廃棄物（千t）,その他（千t）,,処分先,特別管理産業廃棄物（千t）,特別管理産業廃棄物（内、廃油）（千t）,特別管理産業廃棄物（内、廃酸）（千t）,特別管理産業廃棄物（内、廃アルカリ）（千t）,特別管理産業廃棄物（内、感染性廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃ＰＣＢ等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃石綿等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、指定下水道汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、鉱さい）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、燃え殻）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、ばいじん）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃油）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃酸）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃アルカリ）（千t）,,
新潟県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新潟県,,,,,,,,,,,,,,,,,,,
富山県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,富山県,,,,,,,,,,,,,,,,,,,
石川県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石川県,,,,,,,,,,,,,,,,,,,
福井県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福井県,,,,,,,,,,,,,,,,,,,
山梨県,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,山梨県,,,,,,,,,,,,,,,,,,,
長野県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長野県,,,,,,,,,,,,,,,,,,,
岐阜県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岐阜県,,,,,,,,,,,,,,,,,,,
静岡県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,静岡県,,,,,,,,,,,,,,,,,,,
愛知県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛知県,,,,,,,,,,,,,,,,,,,
三重県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三重県,,,,,,,,,,,,,,,,,,,
滋賀県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滋賀県,,,,,,,,,,,,,,,,,,,
京都府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都府,,,,,,,,,,,,,,,,,,,
大阪府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大阪府,,,,,,,,,,,,,,,,,,,
兵庫県,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,兵庫県,0,,,,,0,,,0,,,,,,,0,0,,
奈良県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奈良県,,,,,,,,,,,,,,,,,,,
和歌山県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,和歌山県,,,,,,,,,,,,,,,,,,,
鳥取県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳥取県,,,,,,,,,,,,,,,,,,,
島根県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,島根県,,,,,,,,,,,,,,,,,,,
岡山県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡山県,,,,,,,,,,,,,,,,,,,
広島県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,広島県,,,,,,,,,,,,,,,,,,,
山口県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口県,,,,,,,,,,,,,,,,,,,
徳島県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徳島県,,,,,,,,,,,,,,,,,,,
香川県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,香川県,,,,,,,,,,,,,,,,,,,
愛媛県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛媛県,,,,,,,,,,,,,,,,,,,
高知県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高知県,,,,,,,,,,,,,,,,,,,
福岡県,0,,0,0,,,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,福岡県,0,0,0,,,0,,,0,,,,,,,0,,,
佐賀県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐賀県,,,,,,,,,,,,,,,,,,,
長崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長崎県,,,,,,,,,,,,,,,,,,,
熊本県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊本県,,,,,,,,,,,,,,,,,,,
大分県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大分県,,,,,,,,,,,,,,,,,,,
宮崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮崎県,,,,,,,,,,,,,,,,,,,
鹿児島県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹿児島県,,,,,,,,,,,,,,,,,,,
沖縄県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沖縄県,,,,,,,,,,,,,,,,,,,
北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海道,,,,,,,,,,,,,,,,,,,
東北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東北,,,,,,,,,,,,,,,,,,,
関東,13537,2,13535,468,13065,,1,0,,,0,,,0,,0,0,0,,,0,,,,,,,,,0,0,,関東,0,0,0,0,,0,0,,0,,,,,,,0,,,
甲信越,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,甲信越,,,,,,,,,,,,,,,,,,,
東海・中部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東海・中部,,,,,,,,,,,,,,,,,,,
近畿,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,近畿,0,,,,,0,,,0,,,,,,,0,0,,
中国・四国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中国・四国,,,,,,,,,,,,,,,,,,,
九州・沖縄,0,,0,0,,,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,九州・沖縄,0,0,0,,,0,,,0,,,,,,,0,,,
