,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量（内、自己中間処理後量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後再生利用量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後自己最終処分量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託処理量）（千t）,自己中間処理量（内、自己中間処理後量内、自己中間処理後委託直接最終処分量）（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量（内、自己未処理再生利用量）（千t）,自己未処理量（内、自己未処理自己最終処分量）（千t）,自己未処理量（内、自己未処理委託処理量）（千t）,自己未処理量（内、自己未処理委託直接最終処分量）（千t）,委託処理量（千t）,委託処理量（内、委託中間処理量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後再生利用量）（千t）,委託処理量（内、委託中間処理量内、委託中間処理後最終処分量）（千t）,委託処理量（内、委託直接最終処分量）（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,1348,106,1242,423,83,12,,65,6,340,819,4,0,803,12,885,868,655,568,87,17,213,104,584,553,105,
燃え殻,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
汚泥,439,2,437,307,20,3,,12,6,287,131,1,0,128,2,147,139,44,41,3,7,95,10,45,382,11,
汚泥（内、上水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、建設汚泥）,,,,,,,,,,,,,,,,,,,,,,,,,,,
汚泥（内、その他の汚泥）,439,2,437,307,20,3,,12,6,287,131,1,0,128,2,147,139,44,41,3,7,95,10,45,382,11,
廃油,16,1,15,1,,,,,,1,14,,,14,0,14,14,3,3,0,0,11,0,3,12,0,
廃酸,33,1,32,2,0,,,0,,2,30,,,30,,30,30,6,6,0,,23,0,6,26,0,
廃アルカリ,27,,27,0,0,,,0,,0,26,,,26,,26,26,2,2,0,,25,0,2,25,0,
廃プラスチック類,90,5,85,10,1,,,1,,9,76,0,,70,6,76,70,52,47,5,6,18,11,47,28,11,
ゴムくず,0,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,
金属くず,65,41,24,7,7,7,,,,,17,0,,17,0,17,17,17,15,1,0,,1,23,,1,
ガラス・陶磁器くず,431,17,414,77,52,,,52,,25,337,2,,335,0,387,387,387,313,74,0,,74,315,25,74,
鉱さい,42,,42,,,,,,,,42,,,41,1,42,41,41,40,1,1,,1,40,,1,
がれき,36,,36,,,,,,,,36,,,36,0,36,36,36,36,0,0,,0,36,,0,
がれき（内、コンクリート塊）,24,,24,,,,,,,,24,,,24,,24,24,24,24,0,,,0,24,,0,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,12,,12,,,,,,,,12,,,12,,12,12,12,12,,,,,12,,,
がれき（内、その他のがれき類）,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
石綿含有産業破棄物,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
ばいじん,5,,5,,,,,,,,5,,,4,1,5,4,4,2,2,1,,3,2,,3,
紙くず,44,26,18,0,0,,,0,,0,18,,,18,0,18,18,15,15,0,0,3,0,15,3,0,
木くず,19,0,19,1,0,,,0,,1,18,,,18,0,18,18,12,11,0,0,7,0,11,8,0,
繊維くず,0,,0,0,,,,,,0,0,,,0,,0,0,0,0,,,0,,0,0,,
動植物性残さ,62,13,49,5,0,,,0,,5,44,1,,43,,43,43,24,24,0,,19,0,25,24,0,
動物系固形不要物,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物の死体,,,,,,,,,,,,,,,,,,,,,,,,,,,
政令13号物,,,,,,,,,,,,,,,,,,,,,,,,,,,
混合廃棄物,1,,1,,,,,,,,1,,,1,0,1,1,1,1,0,0,,1,1,,1,
その他,2,0,2,,,,,,,,2,,,0,2,2,0,0,0,0,2,,2,0,,2,
特別管理産業廃棄物,34,0,34,12,3,3,,0,,9,22,0,,22,0,22,22,11,11,0,0,11,0,14,21,0,
廃油,2,0,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
廃酸,20,,20,12,3,3,,0,,9,8,,,8,,8,8,3,3,0,,4,0,6,14,0,
廃アルカリ,2,,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
感染性廃棄物,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物,10,0,10,0,,,,,,0,10,0,,10,0,10,10,7,7,0,0,3,0,7,3,0,
特定有害廃棄物（内、廃PCB等）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,,0,0,,0,
特定有害廃棄物（内、廃石綿等）,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,,0,0,,0,
特定有害廃棄物（内、その他の）,10,0,10,0,,,,,,0,10,0,,10,0,10,10,7,7,0,0,3,0,7,3,0,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,0,,0,,,,,,,,0,,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,7,,7,,,,,,,,7,,,7,,7,7,7,7,0,,,0,7,,0,
特定有害廃棄物（内、その他の廃 油）,1,0,1,,,,,,,,1,,,1,,1,1,0,0,0,,1,0,0,1,0,
特定有害廃棄物（内、その他の汚泥）,0,,0,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
特定有害廃棄物（内、その他の廃酸）,0,0,0,0,,,,,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,
特定有害廃棄物（内、その他の廃アルカリ）,2,,2,,,,,,,,2,,,2,,2,2,0,0,0,,2,0,0,2,0,
