,排 出 量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理（内、処 理 量）（千t）,中間処理（内、処理後量）（千t）,中間処理（内、処理後 再生利用量）（千t）,中間処理（内、処理後 最終処分量）（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,
合計,68,0,0,68,56,42,15,42,12,15,
燃え殻,,,,,,,,,,,
汚泥,3,,,3,1,0,0,0,2,0,
汚泥（内、上水汚泥）,,,,,,,,,,,
汚泥（内、下水汚泥）,,,,,,,,,,,
汚泥（内、建設汚泥）,,,,,,,,,,,
汚泥（内、その他の汚泥）,3,,,3,1,0,0,0,2,0,
廃油,0,,,0,0,0,,0,0,,
廃酸,0,,,0,0,0,,0,,,
廃アルカリ,0,,,0,0,0,,0,0,,
廃プラスチック類,14,0,0,14,8,6,3,6,5,3,
ゴムくず,0,,,0,0,0,,0,,,
金属くず,14,0,,14,14,12,2,12,,2,
ガラス・陶磁器くず,5,0,0,5,5,4,1,4,,1,
鉱さい,,,,,,,,,,,
がれき,10,,,10,10,7,3,7,,3,
がれき（内、コンクリート塊）,4,,,4,4,3,1,3,,1,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,4,,,4,4,3,1,3,,1,
がれき（内、その他のがれき類）,3,,,3,3,1,1,1,,1,
石綿含有産業破棄物,0,,0,0,0,0,0,0,,0,
ばいじん,,,,,,,,,,,
紙くず,1,,,1,0,0,0,0,1,0,
木くず,6,,,6,3,3,0,3,3,0,
繊維くず,,,,,,,,,,,
動植物性残さ,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,
動物のふん尿,,,,,,,,,,,
動物の死体,,,,,,,,,,,
政令13号物,,,,,,,,,,,
混合廃棄物,14,,0,14,14,8,6,8,,6,
その他,0,,,0,0,0,0,0,,0,
特別管理産業廃棄物,,,,,,,,,,,
廃油,,,,,,,,,,,
廃酸,,,,,,,,,,,
廃アルカリ,,,,,,,,,,,
感染性廃棄物,,,,,,,,,,,
特定有害廃棄物,,,,,,,,,,,
特定有害廃棄物（内、廃PCB等）,,,,,,,,,,,
特定有害廃棄物（内、廃石綿等）,,,,,,,,,,,
特定有害廃棄物（内、その他の）,,,,,,,,,,,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,,,,,,,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃 油）,,,,,,,,,,,
特定有害廃棄物（内、その他の汚泥）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃酸）,,,,,,,,,,,
特定有害廃棄物（内、その他の廃アルカリ）,,,,,,,,,,,
