一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
1,千代田区神田松永町13,35.699863,139.775238,JGD2011,首都高速1号上野線,C,2011-12-20,2011-12-21,2,4,6,1.2,69,68
2,千代田区三番町6丁目1,35.690112,139.745313,JGD2011,都道401号麹町竹平線,B,2011-12-20,2011-12-21,4,4,4.6,1.2,68,64
3,千代田区神田錦町1丁目25,35.690552,139.763611,JGD2011,都道402号錦町有楽町線,C,2011-12-20,2011-12-21,4,5,4.3,1.2,67,67
4,千代田区神田小川町3丁目7-16,35.694157,139.761414,JGD2011,区道千第101号,C,2011-12-20,2011-12-21,5,4,4.9,1.2,65,62
5,千代田区九段北1丁目8-10,35.697880,139.751633,JGD2011,区道千第303号,C,2011-12-20,2011-12-21,5,6,4.3,1.2,65,64
6,千代田区神田神保町2-15,35.695442,139.757939,JGD2011,都道301号線,c,2011-07-12,2011-07-19,4,6,8.8,1.5,70,67
7,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道20号,c,2011-07-26,2011-07-28,3,6,6.9,1.5,67,64
8,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道401号線,b,2011-07-12,2011-07-14,4,4,1.7,1.5,66,62
9,千代田区飯田橋4-5-14,35.700638,139.747498,JGD2011,都道8号線,c,2011-07-12,2011-07-14,4,5,4.4,1.5,71,69
10,千代田区平河町2-5-1,35.680439,139.738847,JGD2011,区道220号,b,2011-07-12,2011-07-14,6,2,1.9,1.5,64,59
11,千代田区九段南3-8-14,35.692982,139.742935,JGD2011,都道302号線,c,2011-09-13,2011-09-15,4,5,4.5,1.5,68,65
12,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道302号線,c,2011-09-13,2011-09-15,4,6,6,1.5,69,65
