"年度[西暦]","款","予算現額[千円]","収入済額[千円]"
"2015","後期高齢者医療保険料",,"2871052"
"2015","使用料及び手数料",,"0"
"2015","繰入金",,"1738265"
"2015","繰越金",,"102714"
"2015","諸収入",,"113562"
"2015","歳入合計",,"4825592"
"2016","後期高齢者医療保険料",,"3045375"
"2016","使用料及び手数料",,"0"
"2016","繰入金",,"1755922"
"2016","繰越金",,"135966"
"2016","諸収入",,"136557"
"2016","歳入合計",,"5073820"
"2017","後期高齢者医療保険料",,"3127714"
"2017","使用料及び手数料",,"0"
"2017","繰入金",,"1862396"
"2017","繰越金",,"163182"
"2017","諸収入",,"130401"
"2017","歳入合計",,"5283693"
"2018","後期高齢者医療保険料","3252272","3282408"
"2018","使用料及び手数料","1","0"
"2018","繰入金","1924288","1910224"
"2018","繰越金","59070","59070"
"2018","諸収入","117539","120907"
"2018","歳入合計","5353170","5372610"
"2019","後期高齢者医療保険料","3440550","3425415"
"2019","使用料及び手数料","1","7"
"2019","繰入金","1937839","1934033"
"2019","繰越金","113014","113015"
"2019","諸収入","120372","122407"
"2019","歳入合計","5611776","5594877"

"令和2年度港区行政資料集　後期高齢者医療会計歳入決算","Ver202003",,
