款名,予算現額（円）,支出済額（円）,翌年度繰越額（円）,不用額（円）,予算現額に対する支出済額の割合（％）
１　議会費,6209000000,5644025355,0,564974645,90.9
２　総務費,198673306000,184575196991,0,14098109009,92.9
３　徴税費,69681138000,67287014144,0,2394123856,96.6
４　生活文化費,28427000000,25078248853,0,3348751147,88.2
５　スポーツ振興費,80944169000,74940580452,0,6003588548,92.6
６　都市整備費,135585450000,118548488127,3600458000,13436503873,87.4
７　環境費,49084081000,42349355742,103327000,6631398258,86.3
８　福祉保健費,1271455427000,1210517262494,0,60938164506,95.2
９　産業労働費,502730961000,406367556142,83800000,96279604858,80.8
１０　土木費,583055295000,486557132475,23198645000,73299517525,83.4
１１　港湾費,101519426000,78884335452,9530540000,13104550548,77.7
１２　教育費,787042315000,770290037313,0,16752277687,97.9
１３　学務費,199858021000,184934697611,0,14923323389,92.5
１４　警察費,643518951000,626541541545,117170000,16860239455,97.4
１５　消防費,249426530000,245992673070,0,3433856930,98.6
１６　公債費,425063000000,425018413280,0,44586720,100.0
１７　諸支出金,1711520215000,1645350712577,0,66169502423,96.1
１８　予備費,5000000000,0,0,5000000000,0
計,7048794285000,6598877271623,36633940000,413283073377,93.6
