款名,予算現額(円),収入済額(円),予算現額に対する収入済額の増減(円),予算現額に対する収入済額の割合(%),
 １　 都　  　　　税,5223756560000 ,5273011580340 ,49255020340 ,100.9 ,
 ２　 地 方 譲 与 税,242491165000 ,245133152889 ,2641987889 ,101.1 ,
 ３   助 成 交 付 金,30459000 ,29933000 ,-526000 ,98.3 ,
 ４   地方特例交付金,5404982000 ,5219250000 ,-185732000 ,96.6 ,
 ５   特 別 交 付 金,3108160000 ,2817070000 ,-291090000 ,90.6 ,
 ６　 分担金及負担金,15454709000 ,10758353520 ,-4696355480 ,69.6 ,
 ７   使用料及手数料,88911351000 ,83834737675 ,-5076613325 ,94.3 ,
 ８   国 庫 支 出 金,406334659000 ,365066894717 ,-41267764283 ,89.8 ,
 ９   財  産  収  入,48483593000 ,49607586961 ,1123993961 ,102.3 ,
10   寄    附    金,61000000 ,37731685 ,-23268315 ,61.9 ,
11   繰    入    金,367985610000 ,120656825436 ,-247328784564 ,32.8 ,
12   諸    収    入,403229508000 ,514520769322 ,111291261322 ,127.6 ,
13   都          債,240923175000 ,112605947606 ,-128317227394 ,46.7 ,
14   繰    越    金,180818204000 ,180818204526 ,526 ,100.0 ,
計,7226993135000 ,6964118037677 ,-262875097323 ,96.4 ,
,, ,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
