区分１,区分２,都道府県（団体）,都道府県（％）,市区町村（団体）,市区町村（％）,市区町村指定都市（団体）,市区町村指定都市（％）,市区町村指定都市を除く市区町村（団体）,市区町村指定都市を除く市区町村（％）,※指定都市・特別区及び３万人以上の市（団体）,※指定都市・特別区及び３万人以上の市（％）
作成済,,42,89.4,1119,63.9,17,94.4,1102,63.6,628,84.1
作成済,基準モデル,2,4.3,80,4.6,3,16.7,77,4.4,66,8.8
作成済,改訂モデル,37,78.7,857,49.0,14,77.8,843,48.7,544,72.8
作成済,総務省モデル,1,2.1,166,9.5,0,-,166,9.6,14,1.9
作成済,その他のモデル,2,4.3,16,0.9,0,-,16,0.9,4,0.5
作成中,,5,10.6,474,27.1,1,5.6,473,27.3,112,15.0
作成中,基準モデル,0,-,33,1.9,0,-,33,1.9,11,1.5
作成中,改訂モデル,5,10.6,429,24.5,1,5.6,428,24.7,100,13.4
作成中,総務省モデル,0,-,11,0.6,0,-,11,0.6,0,-
作成中,その他のモデル,0,-,1,0.1,0,-,1,0.1,1,0.1
着手済（作成済＋作成申）,,47,100.0,1593,91.0,18,100.0,1575,90.9,740,99.1
未作成,,0,-,157,0.9,0,-,157,9.1,7,0.9
計,,47,100.0,1750,100.0,18,100.0,1732,100.0,747,100.0
