区分１,区分２,２０男女平等参画センター（千円）,１９男女平等参画センター（千円）,２０区民センター（千円）,１９区民センター（千円）,２０福祉会館（千円）,１９福祉会館（千円）
行政コスト,人件貴,20095,27592,58369,68132,306050,308520
行政コスト,退職給与引当金繰入額,2231,3786,637,733,36118,41527
行政コスト,指定管理委託費,4330,4295,71827,66952,,
行政コスト,維持管理費,30036,32539,208644,183131,330006,364722
行政コスト,減価償却費,18555,18555,239963,239032,110401,111724
行政コスト,支払利息,,,2892,3244,,
行政コスト,計,75247,86767,582332,561224,782575,826493
収入,使用料,7521,7293,33914,33396,26396,25687
収入,国庫（都）支出金,,,,,3796,
収入,その他収入,,,,,8931,9886
収入,計,7521,7293,33914,33396,39123,35573
純行政コス卜,,67726,79474,548418,527828,743452,790920
１人（件）あたりの純行政コスト（算出分母＝延べ利用者数）（％）,,0.7,0.9,1.3,12.1,1.8,2.0
指標,人件費コス卜比率（％）,26.7,31.8,10.0,12.1,39.1,37.3
指標,一般財源充当率（％）,86.2,88.7,90.1,89.6,93.8,94.7
指標,受益者負担率（％）,10.0,8.4,5.8,6.0,3.4,3.1
