"年度[西暦]","請求内容","請求件数[件]","決定区分 公開[件]","決定区分 一部公開[件]","決定区分 非公開[件]","決定区分 不存在[件]","決定区分 存否応答拒否[件]","請求者区分 区内 個人[件]","請求者区分 区内 法人等[件]","請求者区分 区外 個人[件]","請求者区分 区外 法人等[件]","取下げ[件]"
"2018","飲食店等営業許可情報","42","4","39","0","0","0","0","8","1","33","0"
"2018","その他","123","43","69","3","17","1","26","17","41","39","3"
"2018","合計","165","47","108","3","17","1","26","25","42","72","3"
"2019","飲食店等営業許可情報","55","2","53","0","2","0","0","5","4","46","1"
"2019","その他","160","65","76","3","24","0","39","31","36","53","5"
"2019","合計","215","67","129","3","26","0","39","36","40","99","6"
"2020","飲食店等営業許可情報","52","7","46","0","2","0","0","6","4","42","0"
"2020","その他","187","77","84","10","55","0","43","52","54","38","4"
"2020","合計","239","84","130","10","57","0","43","58","58","80","4"
"2021","飲食店等営業許可情報","70","17","53","0","0","0","0","2","7","61","0"
"2021","その他","173","90","76","7","49","3","50","40","45","38","0"
"2021","合計","243","107","129","7","49","3","50","42","52","99","0"
"2022","飲食店等営業許可情報","83","19","67","0","5","0","3","4","10","66","0"
"2022","その他","248","89","141","12","64","0","119","31","40","58","2"
"2022","合計","331","108","208","12","69","0","122","35","50","124","2"

"令和5年度港区行政資料集　情報公開制度実施状況","Ver202303",,,,,,,,,,,
