"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","発生日","旧名称","緯度","経度"
"202404","大森真帆麻布十番内科クリニック","東京都港区麻布十番一丁目5番9号","高橋ビル2階","03-6455-4317","2024/4/1","大森真帆麻布十番クリニック","35.656973","139.733409"
"202404","ＵＢＥ株式会社　本社医務室","東京都港区芝浦一丁目2番1号","シーバンスN館","03-5419-6124","2024/3/26","ＵＢＥ株式会社東京本部医務室","35.649921","139.756897"
"202404","ＢＢＣｌｉｎｉｃ表参道","東京都港区南青山五丁目6番24号","Barbizon23 2階","03-6427-4190","2024/4/1","レカルカクリニック表参道","35.663553","139.712078"
"202405","東京ペインクリニック","東京都港区港南二丁目6番3号","シントミビル2階","03-6433-3296","2024/5/24","肩こり・腰の痛みクリニック　品川院","35.628695","139.74265"
"202405","表参道イーグルクリニック","東京都港区南青山三丁目18番11号","ヴァンセットビル2階202","03-6630-6239","2024/5/1","どすこい膝クリニック","35.664675","139.713596"
"202406","田町三田こころみクリニック・内科・心療内科・糖尿病内科","東京都港区芝浦三丁目13番1号","矢島ビル501号","03-6435-1553","2024/4/16","田町三田こころみクリニック・心療内科・精神科","35.643246","139.749097"
"202406","ＴＨＥ　Ｎ　にじいろクリニック新橋","東京都港区新橋二丁目10番3号","ブラザービル4階","03-3501-0022","2021/7/5","にじいろクリニック新橋","35.667279","139.755888"
"202406","医療法人星敬会　ＤＡＩＬＹ　ＳＫＩＮ　ＣＬＩＮＩＣ　表参道院","東京都港区南青山五丁目11番2号","SANWA南青山Bidg.8階","03-6433-5300","2024/6/19","医療法人星敬会　ＲＥＮＡＴＡ　ＣＬＩＮＩＣ　表参道院","35.669439","139.716711"
"202406","ＴＣＢ　東京中央美容外科　ＢＳクリニック　六本木院","東京都港区六本木五丁目1番3号","ゴトウビルディング1st8階","03-6804-5841","2024/6/3","ＴＣＢ　東京中央美容外科　六本木院","35.662680","139.732751"
"202407","エニキュアメンタルクリニック","東京都港区西麻布三丁目22番7号","西麻布KY101","03-6680-7321","2024/7/30","ポケセラメンタルクリニック","35.659011","139.72486"
"202407","美容皮膚科タカミクリニック　本院","東京都港区南青山三丁目18番5号","モンテプラザ南青山2階・3階・4階","03-5414-6000","2024/7/1","医療法人社団美高会タカミクリニックモンテプラザ","35.664880","139.713616"
"202407","美容皮膚科タカミクリニック　ニキビ治療院","東京都港区南青山三丁目18番20号","南青山松本ビル3階・4階・5階","03-5414-6000","2024/7/1","医療法人社団美高会　タカミクリニック南青山","35.665409","139.713058"
"202407","アリシア　クリニック　表参道院","東京都港区南青山五丁目6番24号","南青山ステラハウス3階",,"2024/7/1","じぶんクリニック表参道院","35.663853","139.711861"
"202407","Ｒｅ：Ｂｏｒｎ　Ｃｌｉｎｉｃ　麻布院","東京都港区南麻布一丁目3番2号","Espace TeTe1階","03-6722-6972","2024/7/25","Ｔｏｋｙｏ　Ｒｅ：Ｂｏｒｎ　Ｃｌｉｎｉｃ　麻布院","35.651717","139.733314"

"診療所名称変更一覧(令和6年7月31日現在)","Ver202407",,,,,,,
