地域階層,地域コード,地域,産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,個人業主及び無給家族従業者／総数（人）,個人業主及び無給家族従業者／うち男（人）,常用労働者／常用雇用者／正社員・正職員等／総数（人）,常用労働者／常用雇用者／正社員・正職員等／うち男（人）,常用労働者／常用雇用者／ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等／総数（人）,常用労働者／常用雇用者／ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等／うち男（人）,常用労働者／出向・派遣受入者／総数（人）,常用労働者／出向・派遣受入者／うち男（人）,臨時雇用者／総数（人）,臨時雇用者／うち男（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／うち製造品出荷額（万円）,製造品出荷額等／うち加工賃収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）
0,13000,東京都,0,000,総数,10789,252315,179241,449,345,189563,152503,52365,19953,12789,8985,2094,1130,118607886,412015690,778488531,683787377,42948339,330509343,342451889
0,13000,東京都,1,090,食料品製造業,729,29610,14951,57,41,12318,9091,16058,5261,1227,605,428,157,9435778,42881713,72258490,65521662,1134329,25898544,27391859
0,13000,東京都,2,091,畜産食料品製造業,49,2093,1321,-,-,1141,949,869,313,83,59,7,-,816181,9693372,14718849,14157303,322575,4187330,4707544
0,13000,東京都,2,092,水産食料品製造業,73,1625,773,17,12,581,426,845,256,182,79,16,2,562523,2791083,3903102,3752359,54672,947750,1035780
0,13000,東京都,2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,25,587,280,-,-,295,226,293,55,-,-,4,2,158032,991840,1328224,585570,3332,302934,311890
0,13000,東京都,2,094,調味料製造業,26,871,443,1,1,509,336,348,106,17,2,21,-,304934,1537902,2488228,2205766,34662,826277,886556
0,13000,東京都,2,095,糖類製造業,4,110,86,-,-,108,89,5,-,-,-,1,-,80842,1092035,1475548,1441878,33670,342708,371862
0,13000,東京都,2,096,精穀・製粉業,22,423,331,-,-,348,285,64,40,17,12,2,-,182822,4325008,5013196,4788324,61541,616761,647861
0,13000,東京都,2,097,パン・菓子製造業,216,9888,5258,21,15,4922,3536,4760,1591,185,116,305,116,3605428,8222826,18242613,17059500,170015,8964162,9314644
0,13000,東京都,2,098,動植物油脂製造業,19,622,460,-,-,550,430,88,48,6,4,-,-,386189,2541092,3570790,2378908,173457,876704,960640
0,13000,東京都,2,099,その他の食料品製造業,295,13391,5999,18,13,3864,2814,8786,2852,737,333,72,37,3338827,11686555,21517940,19152054,280405,8833918,9155082
0,13000,東京都,1,100,飲料・たばこ・飼料製造業,45,1198,881,2,2,829,680,234,87,135,114,19,10,538386,5612908,11064513,10542775,469374,2406783,2721133
0,13000,東京都,2,101,清涼飲料製造業,11,508,409,1,1,305,257,69,39,133,112,5,-,236187,3792830,4972158,4531217,439941,936034,1125133
0,13000,東京都,2,102,酒類製造業,12,374,267,1,1,311,256,63,11,1,1,2,2,194075,1605617,5521606,5475725,305,1145589,1266766
0,13000,東京都,2,103,茶・コーヒー製造業（清涼飲料を除く）,10,128,65,-,-,78,50,50,15,-,-,1,1,33857,118430,313689,291263,19126,175790,179864
0,13000,東京都,2,104,製氷業,4,79,70,-,-,68,63,10,6,1,1,7,3,38829,40015,127738,126450,-,81224,81224
0,13000,東京都,2,106,飼料・有機質肥料製造業,8,109,70,-,-,67,54,42,16,-,-,4,4,35438,56016,129322,118120,10002,68146,68146
0,13000,東京都,1,110,繊維工業,416,4610,1766,48,33,2990,1546,1560,188,20,1,105,25,1280332,2691965,5275372,3410044,1562284,2385018,2398017
0,13000,東京都,2,111,製糸業、紡績業、化学繊維・ねん糸製造業,2,20,12,-,-,15,11,5,1,-,-,-,-,x,x,x,x,x,x,x
0,13000,東京都,2,112,織物業,13,147,42,3,1,79,38,65,3,-,-,3,1,32574,76844,131049,111208,18476,50190,50190
0,13000,東京都,2,113,ニット生地製造業,5,33,21,-,-,25,20,8,1,-,-,-,-,11320,42858,66497,65622,-,21888,21888
0,13000,東京都,2,114,染色整理業,31,336,200,5,4,259,166,72,30,-,-,-,-,101419,84395,276018,43700,216494,177475,177475
0,13000,東京都,2,115,綱・網・レース・繊維粗製品製造業,10,123,61,4,2,90,54,29,5,-,-,2,2,x,x,x,x,x,x,x
0,13000,東京都,2,116,外衣・シャツ製造業（和式を除く）,163,1676,594,19,13,1165,519,483,64,17,-,25,11,479014,1424935,2510524,1719112,594876,1002896,1005707
0,13000,東京都,2,117,下着類製造業,3,20,4,-,-,12,4,8,-,-,-,-,-,3952,7093,12428,10308,2120,4940,4940
0,13000,東京都,2,118,和装製品・その他の衣服・繊維製身の回り品製造業,68,672,243,6,5,421,206,245,32,-,-,4,2,170838,319386,668748,392457,262329,325709,327382
0,13000,東京都,2,119,その他の繊維製品製造業,121,1583,589,11,8,924,528,645,52,3,1,71,9,439311,654864,1438263,938577,434157,724884,725968
0,13000,東京都,1,120,木材・木製品製造業（家具を除く）,59,588,452,1,1,485,388,100,62,2,1,-,-,217553,410782,848691,774000,46633,403739,405461
0,13000,東京都,2,121,製材業、木製品製造業,22,188,147,1,1,160,127,27,19,-,-,-,-,64246,131101,265799,235282,21857,124719,124719
0,13000,東京都,2,122,造作材・合板・建築用組立材料製造業,13,164,136,-,-,143,121,20,15,1,-,-,-,73156,140228,268364,237095,18996,116913,118635
0,13000,東京都,2,123,木製容器製造業（竹、とうを含む）,9,100,65,-,-,56,42,43,22,1,1,-,-,28592,80539,162441,156253,1080,75835,75835
0,13000,東京都,2,129,その他の木製品製造業(竹、とうを含む),15,136,104,-,-,126,98,10,6,-,-,-,-,51559,58914,152087,145370,4700,86272,86272
0,13000,東京都,1,130,家具・装備品製造業,235,3439,2550,21,15,2869,2307,422,168,214,123,40,28,1604109,7009332,10951367,9938043,307063,4320056,4066799
0,13000,東京都,2,131,家具製造業,135,2469,1881,17,12,2062,1697,266,115,211,120,20,17,1229444,6158672,9142063,8251549,239752,3435899,3178915
0,13000,東京都,2,132,宗教用具製造業,9,53,35,1,1,45,33,7,1,-,-,-,-,18083,27906,58176,49226,5164,28027,28027
0,13000,東京都,2,133,建具製造業,31,197,139,-,-,178,134,16,2,3,3,-,-,62899,162981,305046,275670,26697,131544,131544
0,13000,東京都,2,139,その他の家具・装備品製造業,60,720,495,3,2,584,443,133,50,-,-,20,11,293683,659773,1446082,1361598,35450,724586,728313
0,13000,東京都,1,140,パルプ・紙・紙加工品製造業,428,6231,4096,28,18,4679,3620,1464,431,91,56,81,20,2384880,8436802,13520532,10113218,1050048,4501937,4746654
0,13000,東京都,2,141,パルプ製造業,2,31,14,-,-,25,13,6,1,-,-,-,-,x,x,x,x,x,x,x
0,13000,東京都,2,142,紙製造業,5,192,147,-,-,173,145,25,12,11,5,1,1,105673,860681,1372220,1120583,x,389081,478829
0,13000,東京都,2,143,加工紙製造業,10,340,276,-,-,291,248,49,28,-,-,-,-,185079,578157,1004302,922407,26650,374669,396055
0,13000,東京都,2,144,紙製品製造業,111,1779,1111,4,4,1394,1003,349,83,32,21,16,3,686156,1911570,3324522,2482232,297554,1266392,1316220
0,13000,東京都,2,145,紙製容器製造業,235,3101,2018,17,11,2205,1739,841,248,42,24,57,13,1101692,4310862,6470207,4702066,379427,1937997,2008898
0,13000,東京都,2,149,その他のパルプ・紙・紙加工品製造業,65,788,530,7,3,591,472,194,59,6,6,7,3,x,x,x,x,x,x,x
0,13000,東京都,1,150,印刷・同関連業,1890,42450,30725,34,27,35415,27794,5865,2401,1592,885,317,184,19936483,35067760,77385977,61227019,14791140,37130970,39329121
0,13000,東京都,2,151,印刷業,1296,29995,21749,14,11,25255,19721,4274,1775,841,577,180,73,14098344,29715177,62277556,53246705,7797269,28370752,30261773
0,13000,東京都,2,152,製版業,165,6288,4847,-,-,5532,4480,502,223,315,186,5,5,3381259,3184402,8616177,7951006,565496,4843520,5054585
0,13000,東京都,2,153,製本業、印刷物加工業,406,4963,3476,19,15,4020,3074,874,350,56,42,126,100,1800773,1677307,4994497,23147,4943417,3014283,3078910
0,13000,東京都,2,159,印刷関連サービス業,23,1204,653,1,1,608,519,215,53,380,80,6,6,656107,490874,1497747,6161,1484958,902415,933853
0,13000,東京都,1,160,化学工業,200,10696,6522,2,2,8122,5656,1572,429,1177,594,56,18,5909617,18435919,37571432,33778176,510933,16834769,17961396
0,13000,東京都,2,161,化学肥料製造業,1,4,3,-,-,4,3,-,-,-,-,-,-,x,x,x,x,-,x,x
0,13000,東京都,2,162,無機化学工業製品製造業,25,427,332,-,-,343,294,73,29,14,12,5,4,x,x,x,x,x,x,x
0,13000,東京都,2,163,有機化学工業製品製造業,11,339,270,1,1,245,208,68,36,25,25,12,2,203343,579678,946704,762826,134109,326050,340265
0,13000,東京都,2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,42,1562,1113,-,-,1234,972,202,87,248,171,2,1,761573,2105850,3713332,3465411,19643,1422380,1501833
0,13000,東京都,2,165,医薬品製造業,34,2882,1580,-,-,1736,1139,665,153,497,296,3,2,1664707,3456812,9580779,8828102,238571,5176108,5734378
0,13000,東京都,2,166,化粧品・歯磨・その他の化粧用調整品製造業,48,4041,2183,1,1,3373,2124,400,50,297,34,31,8,2223956,5388295,13301089,12434630,62462,7210131,7398345
0,13000,東京都,2,169,その他の化学工業,39,1441,1041,-,-,1187,916,164,74,96,56,3,1,842319,4783744,7305638,5668405,41072,2164566,2422634
0,13000,東京都,1,170,石油製品・石炭製品製造業,17,337,286,-,-,282,240,20,14,35,32,1,1,215730,1961481,2974870,2570575,25748,936156,940599
0,13000,東京都,2,172,潤滑油・グリース製造業（石油精製業によらないもの）,4,123,107,-,-,116,103,5,2,2,2,-,-,82980,583615,718385,667102,25748,122080,126523
0,13000,東京都,2,174,舗装材料製造業,13,214,179,-,-,166,137,15,12,33,30,1,1,132750,1377866,2256485,1903473,-,814076,814076
0,13000,東京都,1,180,プラスチック製品製造業（別掲を除く）,619,8019,4835,25,20,5547,4152,2320,590,142,87,70,27,2999700,5560173,11760312,9478296,1456664,5665664,5758590
0,13000,東京都,2,181,プラスチック板・棒・管・継手・異形押出製品製造業,82,1089,717,2,2,828,635,239,61,23,22,20,17,433305,683533,1545098,1298185,132279,784265,800333
0,13000,東京都,2,182,プラスチックフィルム・シート・床材・合成皮革製造業,81,793,440,5,4,558,377,218,49,12,10,19,4,290214,488234,1063470,673124,322393,531257,532739
0,13000,東京都,2,183,工業用プラスチック製品製造業,232,3190,1954,7,5,2237,1690,901,236,57,34,12,4,1176549,2049318,4386405,3598457,472616,2142171,2173098
0,13000,東京都,2,184,発泡・強化プラスチック製品製造業,38,506,328,2,2,345,269,141,46,18,11,2,1,206392,287960,732768,588151,33380,410618,412168
0,13000,東京都,2,185,プラスチック成形材料製造業（廃プラスチックを含む）,17,184,132,-,-,162,121,21,10,1,1,-,-,80785,375982,601217,439364,23625,200135,209890
0,13000,東京都,2,189,その他のプラスチック製品製造業,169,2257,1264,9,7,1417,1060,800,188,31,9,17,1,812455,1675146,3431354,2881015,472371,1597218,1630362
0,13000,東京都,1,190,ゴム製品製造業,205,2694,1811,17,13,1972,1556,660,208,45,34,10,8,1111709,1904670,3863525,3585315,175976,1768495,1845627
0,13000,東京都,2,191,タイヤ・チューブ製造業,3,212,207,-,-,185,181,17,17,10,9,-,-,242447,372762,640622,640622,-,253152,275683
