産業分類階層,産業コード,産業中分類,現金給与総額／平成28年／実数（万円）,現金給与総額／平成28年／構成比（％）,現金給与総額／平成28年／増減数（万円）,現金給与総額／平成28年／増減率（％）,現金給与総額／平成26年／実数（万円）,現金給与総額／平成26年／構成比（％）,原材料使用額等／平成28年／実数（万円）,原材料使用額等／平成28年／構成比（％）,原材料使用額等／平成28年／増減数（万円）,原材料使用額等／平成28年／増減率（％）,原材料使用額等／平成26年／実数（万円）,原材料使用額等／平成26年／構成比（％）
0,00,総数,118607886,100,-10680234,-8.3,129288120,100,412015690,100,-52070848,-11.2,464086538,100
1,09,食料品,9435778,8,294972,3.2,9140806,7.1,42881713,10.4,892170,2.1,41989543,9
1,10,飲料・飼料等,538386,0.5,-297949,-35.6,836335,0.6,5612908,1.4,41835,0.8,5571073,1.2
1,11,繊維工業,1280332,1.1,-210225,-14.1,1490557,1.2,2691965,0.7,-456893,-14.5,3148858,0.7
1,12,木材・木製品,217553,0.2,-67998,-23.8,285551,0.2,410782,0.1,-454537,-52.5,865319,0.2
1,13,家具・装備品,1604109,1.4,-87768,-5.2,1691877,1.3,7009332,1.7,845309,13.7,6164023,1.3
1,14,紙・紙加工品,2384880,2,-169872,-6.6,2554752,2,8436802,2,319081,3.9,8117721,1.7
1,15,印刷・同関連業,19936483,16.8,-2866274,-12.6,22802757,17.6,35067760,8.5,-12939122,-27,48006882,10.3
1,16,化学工業,5909617,5,-700428,-10.6,6610045,5.1,18435919,4.5,2462697,15.4,15973222,3.4
1,17,石油・石炭,215730,0.2,39131,22.2,176599,0.1,1961481,0.5,92537,5,1868944,0.4
1,18,プラスチック,2999700,2.5,34159,1.2,2965541,2.3,5560173,1.3,-492148,-8.1,6052321,1.3
1,19,ゴム製品,1111709,0.9,-243618,-18,1355327,1,1904670,0.5,-923126,-32.6,2827796,0.6
1,20,皮革・同製品,1168436,1,-29443,-2.5,1197879,0.9,4391945,1.1,-3745,-0.1,4395690,0.9
1,21,窯業・土石,2016994,1.7,105667,5.5,1911327,1.5,9738606,2.4,-339831,-3.4,10078437,2.2
1,22,鉄鋼業,1310984,1.1,-89593,-6.4,1400577,1.1,10339164,2.5,-1861043,-15.3,12200207,2.6
1,23,非鉄金属,1111818,0.9,105105,10.4,1006713,0.8,5730421,1.4,98337,1.7,5632084,1.2
1,24,金属製品,7283380,6.1,-106238,-1.4,7389618,5.7,12194790,3,-1452396,-10.6,13647186,2.9
1,25,はん用機械,3626237,3.1,42949,1.2,3583288,2.8,8938567,2.2,1230648,16,7707919,1.7
1,26,生産用機械,7937772,6.7,227415,2.9,7710357,6,20650204,5,3158057,18.1,17492147,3.8
1,27,業務用機械,6717200,5.7,-32214,-0.5,6749414,5.2,16662714,4,-474407,-2.8,17137121,3.7
1,28,電子・デバイス,5455816,4.6,1526451,38.8,3929365,3,22791703,5.5,1279360,5.9,21512343,4.6
1,29,電気機械,13824158,11.7,-3915959,-22.1,17740117,13.7,44703191,10.8,-1912210,-4.1,46615401,10
1,30,情報通信機械,5581770,4.7,-4165381,-42.7,9747151,7.5,31514313,7.6,-38591257,-55,70105570,15.1
1,31,輸送用機械,12991013,11,80184,0.6,12910829,10,83044931,20.2,3024677,3.8,80020254,17.2
1,32,その他,3948031,3.3,-153307,-3.7,4101338,3.2,11341636,2.8,-5614841,-33.1,16956477,3.7
,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,
付表4　産業中分類別現金給与総額及び原材料使用額等（従業者4人以上）,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
