地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,生産額（万円）,在庫額／製造品／年初（万円）,在庫額／製造品／年末（万円）,在庫額／半製品及び仕掛品／年初（万円）,在庫額／半製品及び仕掛品／年末（万円）,在庫額／原材料及び燃料／年初（万円）,在庫額／原材料及び燃料／年末（万円）,有形固定資産額／年初現在高／土地（万円）,有形固定資産額／年初現在高／土地以外（万円）,有形固定資産額／取得額／土地（万円）,有形固定資産額／取得額／土地以外／計（万円）,有形固定資産額／取得額／土地以外／建物等（万円）,有形固定資産額／取得額／土地以外／機械等（万円）,有形固定資産額／取得額／土地以外／備品等（万円）,有形固定資産額／除却額／土地（万円）,有形固定資産額／除却額／土地以外（万円）,有形固定資産額／減価償却額（万円）,有形固定資産額／建設仮勘定／増（万円）,有形固定資産額／建設仮勘定／減（万円）,有形固定資産額／建設仮勘定／差引増減（万円）,有形固定資産額／投資総額（万円）
0,13000,東京都,0,00,総数,1347,575097890,17608927,17633367,44018267,46875545,21151094,21032484,52816970,92046374,3796641,22455281,7894987,10046612,4513682,1403836,2438220,14824264,10936561,10932355,4206,26256128
0,13000,東京都,1,09,食料品製造業,173,56241729,729005,773673,242172,266796,1281328,1363174,6071149,11454729,45664,2219243,765417,1315680,138146,320320,178833,1562607,999079,948617,50462,2315369
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,7,10359495,x,x,x,x,436212,442505,458873,2209839,x,x,x,x,x,24506,x,293128,114733,84886,29847,1777181
0,13000,東京都,1,11,繊維工業,16,1072205,59439,63411,31957,37450,73820,73332,359680,193872,5145,69866,57873,4611,7382,210,218,22464,20773,26600,-5827,69184
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,1,x,-,-,-,-,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
0,13000,東京都,1,13,家具・装備品製造業,15,8261947,110639,91913,1519187,1975248,1315886,1336205,848957,1358537,-,245771,58197,81662,105912,-,73422,184078,32655,44225,-11570,234201
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,34,5835617,292642,277028,70324,69458,178765,179518,886235,1924107,9744,398359,128931,252950,16478,332,24529,228237,x,x,x,x
0,13000,東京都,1,15,印刷・同関連業,276,52403037,543557,495331,1346381,1103561,367642,341309,14653917,12860908,321054,1968932,549396,1222263,197273,589704,307050,1907105,576313,644194,-67881,2222105
0,13000,東京都,1,16,化学工業,59,28728547,1145439,1122070,1359423,1306092,1448351,1400982,4442186,9410311,16077,1135936,417623,451639,266674,1429,179285,1049927,694046,639985,54061,1206074
0,13000,東京都,1,17,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
0,13000,東京都,1,18,プラスチック製品製造業（別掲を除く）,39,3164404,138855,141625,73790,83581,65727,63745,638626,707510,-,125458,40534,54393,30531,120,49158,105487,21325,23221,-1896,123562
0,13000,東京都,1,19,ゴム製品製造業,11,1647223,63465,142097,51638,38595,46484,24490,575524,967868,40619,143849,11807,117395,14647,4496,8687,142721,x,x,x,x
0,13000,東京都,1,20,なめし革・同製品・毛皮製造業,21,2379982,183284,184447,78802,74522,108504,109961,298637,197124,17696,103700,91782,6097,5821,1317,5054,42319,52842,-,52842,174238
0,13000,東京都,1,21,窯業・土石製品製造業,23,5950270,472251,485852,110024,104571,195255,190003,1555852,1968880,22315,320686,35751,220329,64606,3397,25240,188037,223106,237915,-14809,328192
0,13000,東京都,1,22,鉄鋼業,16,9565949,453448,401541,609315,573423,228096,216673,1700027,2585171,-,377677,47800,251174,78703,5716,86293,438365,x,x,x,x
0,13000,東京都,1,23,非鉄金属製造業,17,4521213,322836,285677,285819,334417,193985,201505,685716,514702,6834,136751,42989,79743,14019,-,14753,86741,26983,18409,8574,152159
0,13000,東京都,1,24,金属製品製造業,85,9191588,446961,452199,316863,350291,303193,342872,2109444,2036004,89875,321179,87008,194412,39759,23550,12515,311035,122870,68734,54136,465190
0,13000,東京都,1,25,はん用機械器具製造業,48,10834436,220477,258504,930542,995962,425243,561345,1496878,2169501,34846,488492,172378,272503,43611,12969,32170,279394,165671,170485,-4814,518524
0,13000,東京都,1,26,生産用機械器具製造業,103,20886512,740205,616021,2063744,2262319,1016897,1023137,3741422,4531440,373579,4532803,2427928,1609351,495524,202044,109478,786607,436062,539924,-103862,4802520
0,13000,東京都,1,27,業務用機械器具製造業,90,21055373,1836579,2301486,1820199,1976342,2474802,2146431,2858213,3568678,14120,634283,127035,173537,333711,-,342165,430909,68954,75199,-6245,642158
0,13000,東京都,1,28,電子部品・デバイス・電子回路製造業,57,27256630,831922,838448,1373573,1337744,1002805,1111439,1319823,6399042,105641,3665312,645285,2298173,721854,937,74080,2214118,3381787,3404663,-22876,3748077
0,13000,東京都,1,29,電気機械器具製造業,118,58702047,3559096,2686993,12047829,10824882,3330119,3504590,3339327,8970448,8590,2015542,956392,305564,753586,101396,559713,1286985,737673,1355833,-618160,1405972
0,13000,東京都,1,30,情報通信機械器具製造業,31,50447201,715498,632096,3736085,6327769,851327,822642,671964,4735076,x,735419,247018,40406,447995,40085,145843,937142,1227143,686939,540204,x
0,13000,東京都,1,31,輸送用機械器具製造業,59,176056115,3932522,4630781,15423917,16316181,5199332,4997344,2919612,11483999,1382475,2047299,694798,705165,647336,29082,54180,2082537,1542404,1359087,183317,3613091
0,13000,東京都,1,32,その他の製造業,46,9805490,662041,621669,471854,462379,575975,541302,1173826,1739451,1336,278618,115525,84527,78566,42226,35866,236062,45762,39176,6586,286540
1,13100,区部,0,00,総数,787,147154641,5940680,6104874,5254285,5036049,6300171,6063305,33165325,36770639,548381,7724421,2962386,3660934,1101101,1196953,872618,4888342,2082519,1911457,171062,8443864
1,13100,区部,1,09,食料品製造業,82,15965886,428918,429759,71449,74284,629005,747756,2526143,3532097,10078,529318,225174,257620,46524,300681,108464,401937,331479,307196,24283,563679
1,13100,区部,1,10,飲料・たばこ・飼料製造業,1,x,x,x,-,-,x,x,x,x,-,x,x,x,-,-,-,x,-,-,-,x
1,13100,区部,1,11,繊維工業,11,525073,37089,33887,10688,11964,59926,59240,231365,102662,3140,63641,54001,3360,6280,-,57,12960,20773,26600,-5827,60954
1,13100,区部,1,12,木材・木製品製造業（家具を除く）,1,x,-,-,-,-,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
1,13100,区部,1,13,家具・装備品製造業,9,1085207,30034,22007,18088,21894,42546,39552,304757,122101,-,7270,1400,1938,3932,-,5145,13449,-,-,-,7270
1,13100,区部,1,14,パルプ・紙・紙加工品製造業,25,4785328,255435,240731,54390,50149,161721,161765,705583,1553977,9744,341543,127228,199058,15257,332,21496,193425,166721,259940,-93219,258068
1,13100,区部,1,15,印刷・同関連業,234,42805064,471118,421458,1229657,998854,267663,232002,13833440,11747442,252152,1500446,368811,953391,178244,589704,286912,1666947,441523,443060,-1537,1751061
1,13100,区部,1,16,化学工業,36,22087102,832020,840515,783156,788806,872864,841856,3918029,7006086,9763,737963,239870,277598,220495,1429,147447,748727,599489,535396,64093,811819
1,13100,区部,1,17,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
