産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
0,0000,総数,10789,252315,179241,254717,181441,449,118607886,412015690,778488531,683787377,42948339,2857575,79847,48815393,330509343,342451889,144863344,26251922,3842056,14824264
1,0900,食料品製造業,729,29610,14951,29603,14957,57,9435778,42881713,72258490,65521662,1134329,-,6108,5596391,25898544,27391859,17525878,2264907,499153,1562607
2,0910,畜産食料品製造業,49,2093,1321,2093,1321,-,816181,9693372,14718849,14157303,322575,-,3137,235834,4187330,4707544,4822481,860940,76904,577428
3,0911,部分肉・冷凍肉製造業,14,413,252,413,252,-,134627,1122533,1579620,1081800,298045,-,-,199775,418934,423618,183192,5209,-,5752
3,0912,肉加工品製造業,14,371,225,371,225,-,114902,378831,633281,598207,18023,-,-,17051,231949,235835,97685,3653,26,3144
3,0913,処理牛乳・乳飲料製造業,5,936,695,936,695,-,478096,7754348,11877126,11873989,-,-,3137,-,3362611,3870795,4518246,848590,76876,564825
3,0914,乳製品製造業（処理牛乳、乳飲料を除く）,4,89,46,89,46,-,25756,154383,210685,204178,6507,-,-,-,50864,52162,7407,1676,2,1178
3,0919,その他の畜産食料品製造業,12,284,103,284,103,-,62800,283277,418137,399129,-,-,-,19008,122972,125134,15951,1812,-,2529
2,0920,水産食料品製造業,73,1625,773,1608,761,17,562523,2791083,3903102,3752359,54672,-,-,96071,947750,1035780,571988,128202,4819,81654
3,0921,水産缶詰・瓶詰製造業,1,5,2,5,2,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,0922,海藻加工業,23,298,117,297,116,1,90325,461593,643504,633245,9259,-,-,1000,167462,168585,4240,877,1172,1123
3,0923,水産練製品製造業,4,662,344,662,344,-,266140,1289036,1808277,1808245,32,-,-,-,409503,484204,498824,91102,1506,73622
3,0924,塩干・塩蔵品製造業,12,82,19,66,8,16,7158,18769,37143,31353,2130,-,-,3660,17015,17015,-,-,-,-
3,0925,冷凍水産物製造業,6,130,65,130,65,-,35574,260716,351385,312707,12051,-,-,26627,84381,83981,648,400,-,300
3,0926,冷凍水産食品製造業,3,42,32,42,32,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0929,その他の水産食料品製造業,24,406,194,406,194,-,143489,666461,924144,857752,31200,-,-,35192,228518,241124,68276,35823,2141,6609
2,0930,野菜缶詰・果実缶詰・農産保存食料品製造業,25,587,280,588,281,-,158032,991840,1328224,585570,3332,-,-,739322,302934,311890,232325,6544,4125,9335
3,0931,野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）,6,165,130,166,131,-,60947,670050,794319,181958,30,-,-,612331,110494,115130,112753,521,-,5084
3,0932,野菜漬物製造業（缶詰、瓶詰、つぼ詰を除く）,19,422,150,422,150,-,97085,321790,533905,403612,3302,-,-,126991,192440,196760,119572,6023,4125,4251
2,0940,調味料製造業,26,871,443,874,444,1,304934,1537902,2488228,2205766,34662,-,-,247800,826277,886556,678215,51145,4030,62166
3,0941,味そ製造業,4,51,23,54,24,1,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,0942,しょう油・食用アミノ酸製造業,1,20,6,20,6,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0943,ソース製造業,7,343,178,343,178,-,111124,899941,1225137,1225137,-,-,-,-,273117,306055,591780,40428,175,33044
3,0949,その他の調味料製造業,14,457,236,457,236,-,174800,576227,1149396,952925,34530,-,-,161941,505049,532390,86435,10717,3855,29122
2,0950,糖類製造業,4,110,86,113,89,-,80842,1092035,1475548,1441878,33670,-,-,-,342708,371862,1042670,162708,23513,35866
3,0951,砂糖製造業（砂糖精製業を除く）,1,9,3,9,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,0952,砂糖精製業,3,101,83,104,86,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,0960,精穀・製粉業,22,423,331,429,337,-,182822,4325008,5013196,4788324,61541,-,70,163261,616761,647861,437279,83032,3368,32157
3,0961,精米・精麦業,8,136,101,142,107,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,0962,小麦粉製造業,2,120,104,120,104,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,0969,その他の精穀・製粉業,12,167,126,167,126,-,61400,191262,347467,249476,61088,-,70,36833,144636,144636,-,-,-,-
2,0970,パン・菓子製造業,216,9888,5258,9867,5243,21,3605428,8222826,18242613,17059500,170015,-,-,1013098,8964162,9314644,4777313,416650,50169,348085
3,0971,パン製造業,44,5365,3271,5365,3271,-,2266010,5231382,11819593,10884880,120235,-,-,814478,5882237,6123093,3113149,312901,23467,237925
3,0972,生菓子製造業,81,2468,1039,2462,1034,6,706938,1111455,3108666,3061121,4170,-,-,43375,1792410,1861026,1042962,76654,5819,59293
3,0973,ビスケット類・干菓子製造業,28,730,331,723,327,7,245524,523915,1009983,948288,9280,-,-,52415,436344,450721,154515,7656,20030,9726
3,0974,米菓製造業,31,392,192,385,187,7,105319,167120,454388,447422,1500,-,-,5466,262177,266471,49396,6186,-,6340
3,0979,その他のパン・菓子製造業,32,933,425,932,424,1,281637,1188954,1849983,1717789,34830,-,-,97364,590994,613333,417291,13253,853,34801
2,0980,動植物油脂製造業,19,622,460,644,482,-,386189,2541092,3570790,2378908,173457,-,2901,1015524,876704,960640,728518,64941,1020,84021
3,0981,動植物油脂製造業（食用油脂加工業を除く）,16,220,174,220,174,-,114337,770379,979271,783515,173457,-,2901,19398,176770,194127,227054,9588,-,18567
3,0982,食用油脂加工業,3,402,286,424,308,-,271852,1770713,2591519,1595393,-,-,-,996126,699934,766513,501464,55353,1020,65454
2,0990,その他の食料品製造業,295,13391,5999,13387,5999,18,3338827,11686555,21517940,19152054,280405,-,-,2085481,8833918,9155082,4235089,490745,331205,331895
3,0992,めん類製造業,82,1770,1042,1762,1037,9,501707,1010565,2224862,2151276,12207,-,-,61379,1096339,1127054,395584,34915,2219,32736
3,0993,豆腐・油揚製造業,23,279,146,276,143,3,64322,236671,448450,265841,-,-,-,182609,184063,196612,152338,7657,-,13256
3,0994,あん類製造業,16,120,83,117,81,3,36922,104766,179024,173262,947,-,-,4815,68956,68956,-,-,-,-
3,0995,冷凍調理食品製造業,8,230,91,230,91,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,0996,そう（惣）菜製造業,34,3031,1355,3036,1360,-,816898,3203441,5194010,5041481,1356,-,-,151173,1807238,1861921,490697,246876,6479,57551
3,0997,すし・弁当・調理パン製造業,44,4970,1865,4977,1872,1,1121590,4138580,7040278,6938479,28829,-,-,72970,2617146,2704811,1299554,84931,121141,89619
3,0998,レトルト食品製造業,1,21,5,21,5,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,0999,他に分類されない食料品製造業,87,2970,1412,2968,1410,2,733528,2830822,6070172,4248064,233013,-,-,1589095,2881951,3011038,1870852,115914,200740,135397
1,1000,飲料・たばこ・飼料製造業,45,1198,881,1198,881,2,538386,5612908,11064513,10542775,469374,x,-,x,2406783,2721133,2668712,1747334,x,293128
2,1010,清涼飲料製造業,11,508,409,507,408,1,236187,3792830,4972158,4531217,439941,-,-,1000,936034,1125133,1321013,1674760,118564,165582
3,1011,清涼飲料製造業,11,508,409,507,408,1,236187,3792830,4972158,4531217,439941,-,-,1000,936034,1125133,1321013,1674760,118564,165582
2,1020,酒類製造業,12,374,267,375,268,1,194075,1605617,5521606,5475725,305,-,-,45576,1145589,1266766,1269542,69168,x,124167
3,1022,ビール類製造業,1,151,132,151,132,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1023,清酒製造業,6,182,113,183,114,1,65491,65639,242791,212297,305,-,-,30189,124595,126337,78302,9118,-,4260
3,1024,蒸留酒・混成酒製造業,5,41,22,41,22,-,x,x,x,x,-,-,-,x,x,x,x,x,-,x
2,1030,茶・コーヒー製造業（清涼飲料を除く）,10,128,65,128,65,-,33857,118430,313689,291263,19126,x,-,x,175790,179864,78157,3406,-,3379
3,1031,製茶業,5,47,15,47,15,-,7959,33432,54706,32280,19126,x,-,x,19698,19698,-,-,-,-
3,1032,コーヒー製造業,5,81,50,81,50,-,25898,84998,258983,258983,-,-,-,-,156092,160166,78157,3406,-,3379
2,1040,製氷業,4,79,70,79,70,-,38829,40015,127738,126450,-,-,-,1288,81224,81224,-,-,-,-
3,1041,製氷業,4,79,70,79,70,-,38829,40015,127738,126450,-,-,-,1288,81224,81224,-,-,-,-
2,1060,飼料・有機質肥料製造業,8,109,70,109,70,-,35438,56016,129322,118120,10002,-,-,1200,68146,68146,-,-,-,-
3,1061,配合飼料製造業,5,81,50,81,50,-,29301,47895,108430,97228,10002,-,-,1200,56321,56321,-,-,-,-
3,1063,有機質肥料製造業,3,28,20,28,20,-,6137,8121,20892,20892,-,-,-,-,11825,11825,-,-,-,-
1,1100,繊維工業,416,4610,1766,4570,1735,48,1280332,2691965,5275372,3410044,1562284,x,x,300866,2385018,2398017,553552,75011,428,22464
2,1110,製糸業、紡績業、化学繊維・ねん糸等製造業,2,20,12,20,12,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1112,化学繊維製造業,1,11,5,11,5,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1114,綿紡績業,1,9,7,9,7,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1120,織物業,13,147,42,144,41,3,32574,76844,131049,111208,18476,-,-,1365,50190,50190,-,-,-,-
3,1121,綿・スフ織物業,1,5,3,5,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1122,絹・人絹織物業,7,90,22,89,22,1,17850,27690,55379,45274,8740,-,-,1365,25638,25638,-,-,-,-
3,1123,毛織物業,1,4,3,4,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1124,麻織物業,2,23,2,21,1,2,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1125,細幅織物業,2,25,12,25,12,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1130,ニット生地製造業,5,33,21,33,21,-,11320,42858,66497,65622,-,-,-,875,21888,21888,-,-,-,-
3,1131,丸編ニット生地製造業,2,14,11,14,11,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1133,横編ニット生地製造業,3,19,10,19,10,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1140,染色整理業,31,336,200,331,196,5,101419,84395,276018,43700,216494,x,x,x,177475,177475,-,-,-,-
3,1141,綿・スフ・麻織物機械染色業,1,9,4,9,4,-,x,x,x,x,x,x,x,-,x,x,-,-,-,-
3,1142,絹・人絹織物機械染色業,3,20,16,20,16,-,5064,4666,13348,11992,1200,-,-,156,8038,8038,-,-,-,-
3,1144,織物整理業,2,13,5,13,5,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1145,織物手加工染色整理業,16,137,69,132,65,5,36478,27745,83619,15097,67762,-,-,760,51734,51734,-,-,-,-
3,1146,綿状繊維・糸染色整理業,2,25,17,25,17,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1147,ニット・レース染色整理業,3,72,52,72,52,-,24891,24097,86432,15866,55731,-,-,14835,57766,57766,-,-,-,-
3,1148,繊維雑品染色整理業,4,60,37,60,37,-,22667,15994,57473,-,57473,-,-,-,38407,38407,-,-,-,-
2,1150,綱・網・レース・繊維粗製品製造業,10,123,61,119,59,4,x,x,x,x,x,857,-,x,x,x,41069,17330,-,4598
3,1151,綱製造業,2,17,5,17,5,-,x,x,x,x,x,x,-,-,x,x,-,-,-,-
3,1155,組ひも製造業,2,20,9,20,9,-,x,x,x,x,-,x,-,x,x,x,-,-,-,-
3,1157,フェルト・不織布製造業,3,58,35,58,35,-,21248,54206,97412,64733,26134,-,-,6545,33471,40902,41069,17330,-,4598
3,1159,その他の繊維粗製品製造業,3,28,12,24,10,4,6291,9651,27852,27816,36,-,-,-,16854,16854,-,-,-,-
