産業分類階層,産業コード,産業小分類,事業所数,生産額（万円）,在庫額／製造品／年初（万円）,在庫額／製造品／年末（万円）,在庫額／半製品及び仕掛品／年初（万円）,在庫額／半製品及び仕掛品／年末（万円）,在庫額／原材料及び燃料／年初（万円）,在庫額／原材料及び燃料／年末（万円）,有形固定資産額／年初現在高／土地（万円）,有形固定資産額／年初現在高／土地以外（万円）,有形固定資産額／取得額／土地（万円）,有形固定資産額／取得額／土地以外／計（万円）,有形固定資産額／取得額／土地以外／建物等（万円）,有形固定資産額／取得額／土地以外／機械等（万円）,有形固定資産額／取得額／土地以外／備品等（万円）,有形固定資産額／除却額／土地（万円）,有形固定資産額／除却額／土地以外（万円）,有形固定資産額／減価償却額（万円）,有形固定資産額／建設仮勘定／増（万円）,有形固定資産額／建設仮勘定／減（万円）,有形固定資産額／建設仮勘定／差引増減（万円）,有形固定資産額／投資総額（万円）
0,000,総数,1347,575097890,17608927,17633367,44018267,46875545,21151094,21032484,52816970,92046374,3796641,22455281,7894987,10046612,4513682,1403836,2438220,14824264,10936561,10932355,4206,26256128
1,090,食料品製造業,173,56241729,729005,773673,242172,266796,1281328,1363174,6071149,11454729,45664,2219243,765417,1315680,138146,320320,178833,1562607,999079,948617,50462,2315369
2,091,畜産食料品製造業,16,13758164,121943,155030,101395,125522,148300,133637,1704429,3118052,-,860940,259988,585076,15876,-,76904,577428,489985,604104,-114119,746821
2,092,水産食料品製造業,6,2197189,12168,6292,25663,25163,233426,186996,73082,498906,-,128202,59077,61687,7438,-,4819,81654,-,-,-,128202
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,7,400341,3954,4484,3026,2875,41879,41064,118123,114202,-,6544,585,4740,1219,-,4125,9335,-,-,-,6544
2,094,調味料製造業,4,1645302,29190,31090,1372,1359,93234,92038,8155,670060,-,51145,14205,33570,3370,-,4030,62166,68684,40658,28026,79171
2,095,糖類製造業,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,096,精穀・製粉業,3,3132120,93690,91560,7232,10419,211454,270537,52467,384812,-,83032,5816,76175,1041,-,3368,32157,61512,61330,182,83214
2,097,パン・菓子製造業,58,15234334,120662,127837,28409,18837,174846,176007,1767857,3009456,35791,380859,121348,216968,42543,19639,30530,348085,128645,15252,113393,530043
2,098,動植物油脂製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,099,その他の食料品製造業,75,16652142,140698,147367,47672,51734,217279,196753,1404048,2831041,-,490745,178556,271290,40899,300681,30524,331895,93473,69867,23606,514351
1,100,飲料・たばこ・飼料製造業,7,10359495,x,x,x,x,436212,442505,458873,2209839,x,x,x,x,x,24506,x,293128,114733,84886,29847,1777181
2,101,清涼飲料製造業,4,4857246,84903,61244,937,1079,62613,79892,224364,1096649,1254134,420626,152746,257442,10438,-,118564,165582,47297,24836,22461,1697221
2,102,酒類製造業,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
