産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
0,000,総数,1347,153740,113027,156360,115387,-,81259936,329843638,246657309,1757956,4144395,51835289,616180804,553756356,18459816,1880641,44375,42039616,256150239,268092785
1,090,食料品製造業,173,22981,11577,23020,11615,-,7515932,36406704,29895042,520705,656269,627886,61015002,55663655,508782,-,3137,4839428,21482012,22975327
2,091,畜産食料品製造業,16,1687,1105,1687,1105,-,696603,9115955,8142921,115522,131604,2348,13884966,13396614,304336,-,3137,180879,3949861,4470075
2,092,水産食料品製造業,6,811,396,811,396,-,304407,1614856,1534433,26158,42979,5714,2203565,2187679,15886,-,-,-,463127,551157
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,7,370,179,370,179,-,105723,877532,198767,2069,5840,6280,1119893,398903,1059,-,-,719931,215878,224834
2,094,調味料製造業,4,541,270,541,270,-,197561,1213122,1064568,4364,11114,6898,1799600,1631365,12050,-,-,156185,488981,549260
2,095,糖類製造業,1,72,62,75,65,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,096,精穀・製粉業,3,169,147,169,147,-,89575,2802652,2721977,2051,48830,-,3147777,3130875,188,-,-,16714,299109,330209
2,097,パン・菓子製造業,58,7848,4334,7848,4334,-,3045848,7330571,6104082,125749,173112,50851,16164744,15205884,30847,-,-,928013,7866081,8216563
2,098,動植物油脂製造業,3,414,295,436,317,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,099,その他の食料品製造業,75,11069,4789,11083,4802,-,2709478,10335289,8186319,157534,213857,399427,18542991,16530232,111179,-,-,1901580,7329998,7651162
1,100,飲料・たばこ・飼料製造業,7,717,560,719,562,-,379528,5342943,4983683,68667,87160,20354,10400217,9947916,432801,x,-,x,2068412,2382762
2,101,清涼飲料製造業,4,441,358,441,358,-,215080,3751622,3550124,48877,45490,20354,4880763,4447962,432801,-,-,-,889564,1078663
2,102,酒類製造業,2,238,184,240,186,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
2,103,茶・コーヒー製造業（清涼飲料を除く）,1,38,18,38,18,-,x,x,x,x,x,-,x,x,-,x,-,-,x,x
