地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,個人業主及び無給家族従業者／総数（人）,個人業主及び無給家族従業者／うち男（人）,常用労働者／常用雇用者／正社員・正職員等／総数（人）,常用労働者／常用雇用者／正社員・正職員等／うち男（人）,常用労働者／常用雇用者／ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等／総数（人）,常用労働者／常用雇用者／ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等／うち男（人）,常用労働者／出向・派遣受入者／総数（人）,常用労働者／出向・派遣受入者／うち男（人）,臨時雇用者／総数（人）,臨時雇用者／うち男（人）,現金給与総額（万円）,原材料使用額等／総額（万円）,原材料使用額等／うち原材料使用額（万円）,原材料使用額等／うち燃料使用額（万円）,原材料使用額等／うち電力使用額（万円）,原材料使用額等／うち委託生産費（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（万円）,粗付加価値額（万円）
0,13000,東京都,0,00,総数,1347,153740,113027,-,-,113756,94269,30639,12722,11965,8396,961,541,81259936,329843638,246657309,1757956,4144395,51835289,616180804,553756356,18459816,1880641,44375,42039616,256150239,268092785
0,13000,東京都,1,09,食料品製造業,173,22981,11577,-,-,8665,6481,13175,4549,1180,585,316,122,7515932,36406704,29895042,520705,656269,627886,61015002,55663655,508782,-,3137,4839428,21482012,22975327
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,7,717,560,-,-,472,407,113,42,134,113,2,2,379528,5342943,4983683,68667,87160,20354,10400217,9947916,432801,x,-,x,2068412,2382762
0,13000,東京都,1,11,繊維工業,16,948,325,-,-,655,298,290,26,3,1,-,-,275408,602611,376957,5900,9565,206138,1083506,855403,207337,x,x,x,437160,450159
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,1,51,42,-,-,50,42,-,-,1,-,-,-,x,x,x,x,x,-,x,x,-,-,x,-,x,x
0,13000,東京都,1,13,家具・装備品製造業,15,1687,1288,-,-,1388,1153,177,80,209,118,-,-,955215,5806681,1760286,5491,12246,3737964,8376805,7678795,145817,x,x,410042,3049493,2796236
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,34,2154,1557,-,-,1721,1404,382,130,71,41,2,-,1040524,5533948,3267261,111090,137304,328049,7870882,5707495,144602,15228,5921,1997636,1957863,2202580
0,13000,東京都,1,15,印刷・同関連業,276,25903,19086,-,-,21450,17105,3393,1532,1483,812,116,65,13503648,24292010,7905127,90786,731719,13589658,53674081,44185661,8508422,x,x,948672,25149955,27348106
0,13000,東京都,1,16,化学工業,59,8757,5295,-,-,6623,4579,1177,307,1119,553,20,4,5103273,14779738,11258588,47830,176466,817301,31595246,28399628,405619,-,2,2789997,14683267,15809894
0,13000,東京都,1,17,石油製品・石炭製品製造業,2,98,86,-,-,91,82,5,2,2,2,-,-,x,x,x,x,x,-,x,x,x,-,x,x,x,x
0,13000,東京都,1,18,プラスチック製品製造業（別掲を除く）,39,1982,1262,-,-,1294,1041,607,177,93,55,7,1,835779,1806931,1044081,11371,63435,302140,3733977,3136843,15000,-,x,x,1707197,1800123
0,13000,東京都,1,19,ゴム製品製造業,11,742,579,-,-,602,528,124,37,16,14,-,-,471265,851792,658009,27054,39733,78733,1635927,1581634,-,-,-,54293,679961,757093
0,13000,東京都,1,20,なめし革・同製品・毛皮製造業,21,1111,683,-,-,844,599,266,83,1,1,1,-,426714,1605553,875040,3169,8673,312377,2895484,2351290,31809,210,-,512175,1161553,1206989
0,13000,東京都,1,21,窯業・土石製品製造業,23,1623,1299,-,-,1375,1140,165,96,89,69,21,21,936131,3106408,1874426,230306,165963,134145,6591386,5820724,x,x,49,649215,3172057,3351946
0,13000,東京都,1,22,鉄鋼業,16,1627,1506,-,-,1463,1367,118,102,46,37,-,-,847219,7112486,5937077,204834,264630,419779,9739501,9134278,519470,-,-,85753,2017586,2543750
0,13000,東京都,1,23,非鉄金属製造業,17,1416,1054,-,-,1144,961,221,47,53,48,-,-,642200,3091136,2716266,32401,60148,172247,4685662,4447667,62107,-,-,175888,1425302,1500604
0,13000,東京都,1,24,金属製品製造業,85,4993,3793,-,-,4043,3325,787,373,192,123,13,12,2265509,4498017,2643090,73789,159102,1259191,9489116,6294785,2858137,8600,1051,326543,4387802,4660171
0,13000,東京都,1,25,はん用機械器具製造業,48,4293,3536,-,-,3574,3120,478,289,267,151,1,1,2217397,6544882,4448733,26919,109199,1827869,11614167,10522050,208939,732536,596,150046,4585289,4761236
0,13000,東京都,1,26,生産用機械器具製造業,103,7357,6083,-,-,6282,5474,726,345,432,345,27,18,3917666,13397546,9269585,17057,161916,2363350,22945722,20421400,390721,x,x,1874895,8987618,9699834
0,13000,東京都,1,27,業務用機械器具製造業,90,8054,6169,-,-,6618,5522,1178,486,476,353,62,35,4535288,13389217,10670557,9725,83394,1622946,22228987,20310979,123344,398337,-,1396327,8549999,8359858
0,13000,東京都,1,28,電子部品・デバイス・電子回路製造業,57,7887,5744,-,-,5973,5013,1397,505,930,589,18,11,4540513,21312943,15484105,40281,294768,2051548,30640937,26874448,411485,-,-,3355004,7507468,9750889
