産業分類階層,産業コード,産業中分類,付加価値率／平成28年（％）,付加価値率／平成26年（％）,付加価値率／増減（ポイント）,原材料率／平成28年（％）,原材料率／平成26年（％）,原材料率／増減（ポイント）,在庫率／平成28年（％）,在庫率／平成26年（％）,在庫率／増減（ポイント）
0,00,総数,42.6,38.1,4.5,54.9,59.6,-4.7,11.6,10.6,1
1,09,食料品,36.1,35.9,0.2,61.2,61.4,-0.2,1.9,1.7,0.2
1,10,飲料・飼料等,x,40.5,x,x,53.3,x,x,2.6,x
1,11,繊維工業,41.2,37.7,3.5,56.7,60,-3.3,9.7,9.5,0.2
1,12,木材・木製品,x,x,x,x,x,x,x,x,x
1,13,家具・装備品,33.7,32.1,1.6,64.2,66.7,-2.5,24.4,18.7,5.7
1,14,紙・紙加工品,25.4,28.7,-3.3,71.7,68,3.7,6.1,5.2,0.9
1,15,印刷・同関連業,49,47,2,47.3,50.3,-3,3.2,2.4,0.8
1,16,化学工業,48.1,56.3,-8.2,48.4,39.6,8.8,8.8,9.5,-0.7
1,17,石油・石炭,x,x,x,x,x,x,x,x,x
1,18,プラスチック,47.2,43.4,3.8,49.9,54.3,-4.4,7.4,6.2,1.2
1,19,ゴム製品,40.6,41.1,-0.5,50.9,52.1,-1.2,11.2,4.5,6.7
1,20,皮革・同製品,41.3,36.8,4.5,57.1,62.2,-5.1,11.3,11.8,-0.5
1,21,窯業・土石,49.1,49.9,-0.8,48,47.3,0.7,10.1,8,2.1
1,22,鉄鋼業,21.1,19.1,2,74.3,78,-3.7,10.3,10.3,-
1,23,非鉄金属,31,30,1,67.2,68.4,-1.2,14,13.5,0.5
1,24,金属製品,47.7,42.1,5.6,48.9,55.3,-6.4,9.1,9,0.1
1,25,はん用機械,40.2,32.4,7.8,57.4,64.5,-7.1,11.9,13.8,-1.9
1,26,生産用機械,38.8,38.8,-,57.8,58.8,-1,13.7,14.4,-0.7
1,27,業務用機械,38.2,44.3,-6.1,59.9,53.6,6.3,20.8,10.1,10.7
1,28,電子・デバイス,24.2,18.4,5.8,68.7,75.5,-6.8,7.9,6.8,1.1
1,29,電気機械,38.9,41.9,-3,59.2,56.7,2.5,23.5,23.1,0.4
1,30,情報通信機械,44.1,16.6,27.5,54.2,82,-27.8,14.3,11.2,3.1
1,31,輸送用機械,51,46.3,4.7,47.8,52.2,-4.4,12.4,13.3,-0.9
1,32,その他,37.6,25.2,12.4,60.5,72.3,-11.8,11.4,5.9,5.5
,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,
付表7　産業中分類別付加価値率、原材料率及び在庫率（従業者30人以上）,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,
