従業者規模,現金給与総額／平成28年／実数（万円）,現金給与総額／平成28年／構成比（％）,現金給与総額／平成28年／増減数（万円）,現金給与総額／平成28年／増減率（％）,現金給与総額／平成26年／実数（万円）,現金給与総額／平成26年／構成比（％）,原材料使用額等／平成28年／実数（万円）,原材料使用額等／平成28年／構成比（％）,原材料使用額等／平成28年／増減数（万円）,原材料使用額等／平成28年／増減率（％）,原材料使用額等／平成26年／実数（万円）,原材料使用額等／平成26年／構成比（％）
総数,118607886,100,-10680234,-8.3,129288120,100,412015690,100,-52070848,-11.2,464086538,100
4～9人,11256384,9.5,-2106900,-15.8,13363284,10.3,18984768,4.6,-4345076,-18.6,23329844,5
10～19人,14572510,12.3,-682514,-4.5,15255024,11.8,34244601,8.3,-747242,-2.1,34991843,7.5
20～29人,11519056,9.7,-336667,-2.8,11855723,9.2,28942683,7,-1235581,-4.1,30178264,6.5
30～49人,10665105,9,658218,6.6,10006887,7.7,27265356,6.6,-1097418,-3.9,28362774,6.1
50～99人,13181948,11.1,-487116,-3.6,13669064,10.6,41261377,10,-14772643,-26.4,56034020,12.1
100～199人,12456453,10.5,835566,7.2,11620887,9,45014886,10.9,3021196,7.2,41993690,9
200～299人,4354713,3.7,-1107854,-20.3,5462567,4.2,16714273,4.1,-10131373,-37.7,26845646,5.8
300～499人,6783026,5.7,-97278,-1.4,6880304,5.3,26793410,6.5,-1435222,-5.1,28228632,6.1
500～999人,8154277,6.9,-601954,-6.9,8756231,6.8,26725535,6.5,1805884,7.2,24919651,5.4
1000人以上,25664414,21.6,-6753735,-20.8,32418149,25.1,146068801,35.5,-23133373,-13.7,169202174,36.5
,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,
付表5　従業者規模別現金給与総額及び原材料使用額等（従業者4人以上）,,,,,,,,,,,,
