産業分類階層,産業コード,産業中分類,在庫額／年初（万円）,在庫額／年末／実数（万円）,在庫額／年末／構成比（％）,在庫額／年末／年初比（％）,製造品在庫額／年初（万円）,製造品在庫額／年末（万円）,半製品・仕掛品在庫額／年初（万円）,半製品・仕掛品在庫額／年末（万円）
0,00,総数,61627194,64508912,100,104.7,17608927,17633367,44018267,46875545
1,09,食料品,971177,1040469,1.6,107.1,729005,773673,242172,266796
1,10,飲料・飼料等,x,x,x,x,x,x,x,x
1,11,繊維工業,91396,100861,0.2,110.4,59439,63411,31957,37450
1,12,木材・木製品,-,-,-,-,-,-,-,-
1,13,家具・装備品,1629826,2067161,3.2,126.8,110639,91913,1519187,1975248
1,14,紙・紙加工品,362966,346486,0.5,95.5,292642,277028,70324,69458
1,15,印刷・同関連業,1889938,1598892,2.5,84.6,543557,495331,1346381,1103561
1,16,化学工業,2504862,2428162,3.8,96.9,1145439,1122070,1359423,1306092
1,17,石油・石炭,x,x,x,x,x,x,x,x
1,18,プラスチック,212645,225206,0.3,105.9,138855,141625,73790,83581
1,19,ゴム製品,115103,180692,0.3,157,63465,142097,51638,38595
1,20,皮革・同製品,262086,258969,0.4,98.8,183284,184447,78802,74522
1,21,窯業・土石,582275,590423,0.9,101.4,472251,485852,110024,104571
1,22,鉄鋼業,1062763,974964,1.5,91.7,453448,401541,609315,573423
1,23,非鉄金属,608655,620094,1,101.9,322836,285677,285819,334417
1,24,金属製品,763824,802490,1.2,105.1,446961,452199,316863,350291
1,25,はん用機械,1151019,1254466,1.9,109,220477,258504,930542,995962
1,26,生産用機械,2803949,2878340,4.5,102.7,740205,616021,2063744,2262319
1,27,業務用機械,3656778,4277828,6.6,117,1836579,2301486,1820199,1976342
1,28,電子・デバイス,2205495,2176192,3.4,98.7,831922,838448,1373573,1337744
1,29,電気機械,15606925,13511875,20.9,86.6,3559096,2686993,12047829,10824882
1,30,情報通信機械,4451583,6959865,10.8,156.3,715498,632096,3736085,6327769
1,31,輸送用機械,19356439,20946962,32.5,108.2,3932522,4630781,15423917,16316181
1,32,その他,1133895,1084048,1.7,95.6,662041,621669,471854,462379
,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,
付表6　産業中分類別在庫額（従業者30人以上）,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,
