従業者規模,事業所数／平成28年／実数,事業所数／平成28年／構成比（％）,事業所数／平成28年／増減数,事業所数／平成28年／増減率（％）,事業所数／平成26年／実数,事業所数／平成26年／構成比（％）,従業者数／平成28年／実数（人）,従業者数／平成28年／構成比（％）,従業者数／平成28年／増減数（人）,従業者数／平成28年／増減率（％）,従業者数／平成26年／実数（人）,従業者数／平成26年／構成比（％）,製造品出荷額等／平成28年／実数（万円）,製造品出荷額等／平成28年／構成比（％）,製造品出荷額等／平成28年／増減数（万円）,製造品出荷額等／平成28年／増減率（％）,製造品出荷額等／平成26年／実数（万円）,製造品出荷額等／平成26年／構成比（％）,付加価値額／平成28年／実数（万円）,付加価値額／平成28年／構成比（％）,付加価値額／平成28年／増減数（万円）,付加価値額／平成28年／増減率（％）,付加価値額／平成26年／実数（万円）,付加価値額／平成26年／構成比（％）
総数,10789,100,-1367,-11.2,12156,100,252315,100,-17500,-6.5,269815,100,778488531,100,-37446535,-4.6,815935066,100,330509343,100,11191973,3.5,319317370,100
4～9人,5504,51,-1146,-17.2,6650,54.7,33104,13.1,-6451,-16.3,39555,14.7,40971399,5.3,-8111950,-16.5,49083349,6,20375066,6.2,-3657060,-15.2,24032126,7.5
10～19人,2796,25.9,-163,-5.5,2959,24.3,37875,15,-2031,-5.1,39906,14.8,65742407,8.4,-2591171,-3.8,68333578,8.4,29206811,8.8,-1953060,-6.3,31159871,9.8
20～29人,1142,10.6,-45,-3.8,1187,9.8,27596,10.9,-1170,-4.1,28766,10.7,55593921,7.1,-774623,-1.4,56368544,6.9,24777227,7.5,293331,1.2,24483896,7.7
30～49人,612,5.7,-2,-0.3,614,5.1,23756,9.4,163,0.7,23593,8.7,52108656,6.7,1157493,2.3,50951163,6.2,21973346,6.6,1711080,8.4,20262266,6.3
50～99人,433,4,-6,-1.4,439,3.6,29119,11.5,-650,-2.2,29769,11,73852519,9.5,-11558193,-13.5,85410712,10.5,28424133,8.6,2267118,8.7,26157015,8.2
100～199人,193,1.8,5,2.7,188,1.5,26166,10.4,1065,4.2,25101,9.3,79580292,10.2,2238920,2.9,77341372,9.5,28608659,8.7,185228,0.7,28423431,8.9
200～299人,38,0.4,-2,-5,40,0.3,9250,3.7,-615,-6.2,9865,3.7,25386564,3.3,-18631775,-42.3,44018339,5.4,7628836,2.3,-7070745,-48.1,14699581,4.6
300～499人,34,0.3,-4,-10.5,38,0.3,13205,5.2,-1296,-8.9,14501,5.4,48298603,6.2,2578114,5.6,45720489,5.6,18554972,5.6,2943266,18.9,15611706,4.9
500～999人,21,0.2,-1,-4.5,22,0.2,14081,5.6,-677,-4.6,14758,5.5,43613456,5.6,-3447841,-7.3,47061297,5.8,15342684,4.6,-5137608,-25.1,20480292,6.4
1000人以上,16,0.1,-3,-15.8,19,0.2,38163,15.1,-5838,-13.3,44001,16.3,293340714,37.7,1694491,0.6,291646223,35.7,135617609,41,21610423,19,114007186,35.7
（再掲）4～29人,9442,87.5,-1354,-12.5,10796,88.8,98575,39.1,-9652,-8.9,108227,40.1,162307727,20.8,-11477744,-6.6,173785471,21.3,74359104,22.5,-5316789,-6.7,79675893,25
（再掲）30～299人,1276,11.8,-5,-0.4,1281,10.5,88291,35,-37,-0.0,88328,32.7,230928031,29.7,-26793555,-10.4,257721586,31.6,86634974,26.2,-2907319,-3.2,89542293,28
（再掲）300～999人,55,0.5,-5,-8.3,60,0.5,27286,10.8,-1973,-6.7,29259,10.8,91912059,11.8,-869727,-0.9,92781786,11.4,33897656,10.3,-2194342,-6.1,36091998,11.3
（再掲）1000人以上,16,0.1,-3,-15.8,19,0.2,38163,15.1,-5838,-13.3,44001,16.3,293340714,37.7,1694491,0.6,291646223,35.7,135617609,41,21610423,19,114007186,35.7
,,,,,,,,,,,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,,,,,,,,,,,
付表2　従業者規模別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者4人以上）,,,,,,,,,,,,,,,,,,,,,,,,
