産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積（m2）,総用水量（m3／日）,淡水水源別用水量／公共水道／工業用水道（m3／日）,淡水水源別用水量／公共水道／上水道（m3／日）,淡水水源別用水量／井戸水（m3／日）,淡水水源別用水量／その他の淡水（m3／日）,海水用水量（m3／日）
0,00,総数,0,00,総数,1347,10045192,114072,13108,32150,44764,24050,-
0,00,総数,1,01,30～49人,612,1255405,12091,688,10150,1089,164,-
0,00,総数,1,02,50～99人,433,1854275,37381,3058,7390,3217,23716,-
0,00,総数,1,03,100～199人,193,2115611,23316,4080,5889,13342,5,-
0,00,総数,1,04,200～299人,38,452067,5372,233,1602,3524,13,-
0,00,総数,1,05,300～499人,34,844051,16183,1800,3189,11189,5,-
0,00,総数,1,06,500～999人,21,691928,7288,1996,2134,3011,147,-
0,00,総数,1,07,1000人以上,16,2831855,12441,1253,1796,9392,-,-
1,09,食料品製造業,0,00,総数,173,1048079,36146,4181,13593,18371,1,-
1,09,食料品製造業,1,01,30～49人,54,96446,3920,69,3511,340,-,-
1,09,食料品製造業,1,02,50～99人,56,195937,5208,1364,2529,1314,1,-
1,09,食料品製造業,1,03,100～199人,32,223111,7101,2472,2290,2339,-,-
1,09,食料品製造業,1,04,200～299人,10,149885,3809,138,619,3052,-,-
1,09,食料品製造業,1,05,300～499人,15,229915,11600,138,2353,9109,-,-
1,09,食料品製造業,1,06,500～999人,4,x,x,-,x,x,-,-
1,09,食料品製造業,1,07,1000人以上,2,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,0,00,総数,7,205591,9633,-,314,9319,-,-
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,1,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,x,x,-,x,x,-,-
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,3,190042,8879,-,35,8844,-,-
1,11,繊維工業,0,00,総数,16,34634,72,17,52,3,-,-
1,11,繊維工業,1,01,30～49人,7,x,x,x,x,x,-,-
1,11,繊維工業,1,02,50～99人,7,9300,12,-,12,-,-,-
1,11,繊維工業,1,03,100～199人,2,x,x,-,x,x,-,-
1,12,木材・木製品製造業（家具を除く）,0,00,総数,1,x,x,-,x,-,-,-
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,1,x,x,-,x,-,-,-
1,13,家具・装備品製造業,0,00,総数,15,81433,85,1,80,4,-,-
1,13,家具・装備品製造業,1,01,30～49人,8,17519,14,1,11,2,-,-
1,13,家具・装備品製造業,1,02,50～99人,5,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,-,x,x,-,-
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,-,x,-,-,-
1,14,パルプ・紙・紙加工品製造業,0,00,総数,34,275151,24543,26,754,91,23672,-
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,18,39722,542,-,515,27,-,-
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,11,167686,23879,-,157,50,23672,-
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,5,67743,122,26,82,14,-,-
