産業分類階層,産業コード,産業中分類,生産額／平成28年／実数（万円）,生産額／平成28年／構成比（％）,生産額／平成28年／増減数（万円）,生産額／平成28年／増減率（％）,生産額／平成26年／実数（万円）,生産額／平成26年／構成比（％）,有形固定資産投資総額／平成28年／実数（万円）,有形固定資産投資総額／平成28年／構成比（％）,有形固定資産投資総額／平成28年／増減数（万円）,有形固定資産投資総額／平成28年／増減率（％）,有形固定資産投資総額／平成26年／実数（万円）,有形固定資産投資総額／平成26年／構成比（％）,リース契約額／平成28年／実数（万円）,リース契約額／平成28年／構成比（％）,リース契約額／平成28年／増減数（万円）,リース契約額／平成28年／増減率（％）,リース契約額／平成26年／実数（万円）,リース契約額／平成26年／構成比（％）,リース支払額／平成28年／実数（万円）,リース支払額／平成28年／構成比（％）,リース支払額／平成28年／増減数（万円）,リース支払額／平成28年／増減率（％）,リース支払額／平成26年／実数（万円）,リース支払額／平成26年／構成比（％）
0,00,総数,575097890,100,-36113151,-5.9,611211041,100,26256128,100,2116507,8.8,24139621,100,…,…,…,…,1046720,100,…,…,…,…,1561166,100
1,09,食料品,56241729,9.8,1129772,2,55111957,9,2315369,8.8,489197,26.8,1826172,7.6,…,…,…,…,106155,10.1,…,…,…,…,160707,10.3
1,10,飲料・飼料等,10359495,1.8,-2847499,-21.6,13206994,2.2,1777181,6.8,-1824294,-50.7,3601475,14.9,…,…,…,…,8838,0.8,…,…,…,…,90007,5.8
1,11,繊維工業,1072205,0.2,-110484,-9.3,1182689,0.2,69184,0.3,16677,31.8,52507,0.2,…,…,…,…,1601,0.2,…,…,…,…,8015,0.5
1,12,木材・木製品,x,x,x,x,x,x,-,-,-,-,x,x,…,…,…,…,-,-,…,…,…,…,x,x
1,13,家具・装備品,8261947,1.4,1639202,24.8,6622745,1.1,234201,0.9,84288,56.2,149913,0.6,…,…,…,…,14403,1.4,…,…,…,…,10399,0.7
1,14,紙・紙加工品,5835617,1,-256231,-4.2,6091848,1,x,x,x,x,144863,0.6,…,…,…,…,4850,0.5,…,…,…,…,23704,1.5
1,15,印刷・同関連業,52403037,9.1,-18916162,-26.5,71319199,11.7,2222105,8.5,x,x,x,x,…,…,…,…,184633,17.6,…,…,…,…,382794,24.5
1,16,化学工業,28728547,5,-4950617,-14.7,33679164,5.5,1206074,4.6,-945740,-44,2151814,8.9,…,…,…,…,49344,4.7,…,…,…,…,74114,4.7
1,17,石油・石炭,x,x,x,x,x,x,x,x,x,x,x,x,…,…,…,…,-,-,…,…,…,…,x,x
1,18,プラスチック,3164404,0.6,-132165,-4,3296569,0.5,123562,0.5,-194688,-61.2,318250,1.3,…,…,…,…,15238,1.5,…,…,…,…,16736,1.1
1,19,ゴム製品,1647223,0.3,-1728055,-51.2,3375278,0.6,x,x,x,x,109724,0.5,…,…,…,…,125,-,…,…,…,…,694,-
1,20,皮革・同製品,2379982,0.4,361512,17.9,2018470,0.3,174238,0.7,137250,371.1,36988,0.2,…,…,…,…,3720,0.4,…,…,…,…,4401,0.3
1,21,窯業・土石,5950270,1,516291,9.5,5433979,0.9,328192,1.2,227848,227.1,100344,0.4,…,…,…,…,12457,1.2,…,…,…,…,10449,0.7
1,22,鉄鋼業,9565949,1.7,-1922683,-16.7,11488632,1.9,x,x,x,x,320735,1.3,…,…,…,…,5452,0.5,…,…,…,…,38686,2.5
1,23,非鉄金属,4521213,0.8,-70576,-1.5,4591789,0.8,152159,0.6,99743,190.3,52416,0.2,…,…,…,…,13848,1.3,…,…,…,…,33882,2.2
1,24,金属製品,9191588,1.6,407211,4.6,8784377,1.4,465190,1.8,92988,25,372202,1.5,…,…,…,…,26359,2.5,…,…,…,…,37674,2.4
1,25,はん用機械,10834436,1.9,3334848,44.5,7499588,1.2,518524,2,111089,27.3,407435,1.7,…,…,…,…,17583,1.7,…,…,…,…,42669,2.7
1,26,生産用機械,20886512,3.6,5462941,35.4,15423571,2.5,4802520,18.3,4054711,542.2,747809,3.1,…,…,…,…,37478,3.6,…,…,…,…,64288,4.1
1,27,業務用機械,21055373,3.7,-2842848,-11.9,23898221,3.9,642158,2.4,-787837,-55.1,1429995,5.9,…,…,…,…,38115,3.6,…,…,…,…,64760,4.1
1,28,電子・デバイス,27256630,4.7,3215095,13.4,24041535,3.9,3748077,14.3,2000049,114.4,1748028,7.2,…,…,…,…,6472,0.6,…,…,…,…,61852,4
1,29,電気機械,58702047,10.2,-6929069,-10.6,65631116,10.7,1405972,5.4,-345346,-19.7,1751318,7.3,…,…,…,…,233326,22.3,…,…,…,…,213883,13.7
1,30,情報通信機械,50447201,8.8,-28383411,-36,78830612,12.9,x,x,x,x,2567930,10.6,…,…,…,…,63613,6.1,…,…,…,…,78102,5
1,31,輸送用機械,176056115,30.6,22831160,14.9,153224955,25.1,3613091,13.8,1303039,56.4,2310052,9.6,…,…,…,…,186995,17.9,…,…,…,…,113289,7.3
1,32,その他,9805490,1.7,-5465228,-35.8,15270718,2.5,286540,1.1,45752,19,240788,1,…,…,…,…,16115,1.5,…,…,…,…,29457,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,
付表8　産業中分類別生産額、有形固定資産投資総額（従業者30人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,
注）「リース契約額」及び「リース支払額」の項目は、工業統計調査の平成26年の調査事項に含まれるものの、平成29年の調査事項には含まれていない。そのため、当該項目の平成28年値は、未集計の符号となっている。,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,
