産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）（人）,個人事業主及び無給家族従業者／実数（人）,個人事業主及び無給家族従業者／構成比（％）,常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／実数（人）,常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／構成比（％）,常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／実数（人）,常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／構成比（％）,常用労働者数（送出者を含む）／出向・派遣受入者／実数（人）,常用労働者数（送出者を含む）／出向・派遣受入者／構成比（％）,臨時雇用者（人）
0,00,総数,10789,252315,449,0.2,189563,74.3,52365,20.5,12789,5,2094
1,09,食料品,729,29610,57,0.2,12318,41.5,16058,54.1,1227,4.1,428
1,10,飲料・飼料等,45,1198,2,0.2,829,69.1,234,19.5,135,11.3,19
1,11,繊維工業,416,4610,48,1,2990,64.7,1560,33.8,20,0.4,105
1,12,木材・木製品,59,588,1,0.2,485,82.5,100,17,2,0.3,-
1,13,家具・装備品,235,3439,21,0.6,2869,81.4,422,12,214,6.1,40
1,14,紙・紙加工品,428,6231,28,0.4,4679,74.7,1464,23.4,91,1.5,81
1,15,印刷・同関連業,1890,42450,34,0.1,35415,82.5,5865,13.7,1592,3.7,317
1,16,化学工業,200,10696,2,-,8122,74.7,1572,14.5,1177,10.8,56
1,17,石油・石炭,17,337,-,-,282,83.7,20,5.9,35,10.4,1
1,18,プラスチック,619,8019,25,0.3,5547,69,2320,28.9,142,1.8,70
1,19,ゴム製品,205,2694,17,0.6,1972,73.2,660,24.5,45,1.7,10
1,20,皮革・同製品,259,3362,36,1.1,2390,70.9,945,28,1,-,29
1,21,窯業・土石,198,3883,9,0.2,3268,83.6,463,11.8,168,4.3,54
1,22,鉄鋼業,109,2578,2,0.1,2333,90.5,188,7.3,56,2.2,19
1,23,非鉄金属,128,2630,7,0.3,2100,79.8,466,17.7,59,2.2,13
1,24,金属製品,1491,18206,59,0.3,14572,79.8,3367,18.4,252,1.4,110
1,25,はん用機械,362,7597,7,0.1,6373,83.6,970,12.7,277,3.6,8
1,26,生産用機械,1000,16652,26,0.2,14105,84.2,2081,12.4,538,3.2,79
1,27,業務用機械,539,13266,14,0.1,10733,79.6,2232,16.5,509,3.8,99
1,28,電子・デバイス,270,10396,8,0.1,7678,70.9,2180,20.1,956,8.8,48
1,29,電気機械,597,24338,9,-,19679,79.2,3367,13.6,1789,7.2,64
1,30,情報通信機械,127,8295,5,0.1,6834,81.5,731,8.7,815,9.7,349
1,31,輸送用機械,283,22019,6,-,16872,74.9,3076,13.7,2561,11.4,21
1,32,その他,583,9221,26,0.3,7118,76.6,2024,21.8,128,1.4,74
,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,
付表10　産業中分類、従業者就業形態別従業者数（従業者4人以上）,,,,,,,,,,,,,
注）構成比は、「従業者数（送出者を除く）」からではなく、「個人事業主及び無給家族従業者」、「正社員・正職員等」、「パート・アルバイト等」及び「出向・派遣受入者等」の合計から計算している。,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,
