"年月日","答申番号","答申内容"
"20210604","3港個運審第1号","住民基本台帳に関する事務「全項目評価書」について、問題は認められません。"
"20210604","3港個運審第2号","みなと学びの循環事業「まなマルシェ」(前期)企画・運営等業務委託について、諮問どおり承認します。"
"20210604","3港個運審第3号","高輪情報局における取材及びコンテンツ作成支援業務の外部委託について、諮問どおり承認します。"
"20210604","3港個運審第4号","低所得の子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯分）支給管理業務の外部委託について、諮問どおり承認します。"
"20210604","3港個運審第5号","低所得の子育て世帯に対する子育て世帯生活支援特別給付金（その他の子育て世帯分）支給管理業務の外部委託について、諮問どおり承認します。"
"20210604","3港個運審第6号","里親支援育児家事援助業務委託について、諮問どおり承認します。"
"20210604","3港個運審第7号","児童相談所における通訳者派遣の業務委託について、諮問どおり承認します。"
"20210604","3港個運審第8号","水辺のまちサーキュラー LAB. 企画及び運営支援業務委託について、諮問どおり承認します。"
"20210819","3港個運審第9号","事業者向け防災セミナー運営業務の外部委託について、諮問どおり承認します。"
"20210819","3港個運審第10号","港区観光ボランティアガイド育成支援に関する企画・運営業務の外部委託について、諮問どおり承認します。"
"20210819","3港個運審第11号","みなと障害者支援アプリ運用保守・運用業務の外部委託について、諮問どおり承認します。"
"20210819","3港個運審第12号","保育業務支援システム導入及び保守業務の外部委託について、諮問どおり承認します。"
"20211104","3港個運審第13号","予防接種に関する事務「全項目評価書」について、問題は認められません。"
"20211104","3港個運審第14号","幼稚園の園務支援システム導入及び保守業務の外部委託について、諮問どおり承認します。"
"20211104","3港個運審第15号","児童の被害確認面接の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第16号","（仮称）文化芸術ホール整備に向けた気運醸成事業支援業務の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第17号","札の辻スクエア総合管理業務及び札の辻スクエア開設前建物維持管理業務の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第18号","「港区立産業振興センター」の指定管理者による管理及び「港区立産業振興センター」開設準備の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第19号","住民税非課税世帯等に対する臨時特別給付金事業の実施に係る業務の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第20号","被措置児童等虐待に係る意見聴取業務の外部委託について、諮問どおり承認します。"
"20220112","3港個運審第21号","学校プール開放事業の外部委託について、諮問どおり承認します。"
"20220222","3港個運審第22号","予防接種に関する事務「全項目評価書」について、問題は認められません。"
"20220222","3港個運審第23号","健康増進に関する事務「重点項目評価書」について、問題は認められません。"
"20220222","3港個運審第24号","（仮称）文化芸術ホール整備に係る市場構造把握調査業務の外部委託について、諮問どおり承認します。"
"20220222","3港個運審第25号","港区福祉総合窓口受付予約システム保守業務の外部委託について、諮問どおり承認します。"
"20220222","3港個運審第26号","水泳教室業務の外部委託について、諮問どおり承認します。"
"20220315","3港個運審第27号","地域事業活性化プロジェクト支援業務の外部委託について、諮問どおり承認します。"
"20220315","3港個運審第28号","港区立三田図書館等の指定管理者による管理について、諮問どおり承認します。"
"20220315","3港個運審第29号","部活動指導業務の外部委託について、諮問どおり承認します。"
"20220315","3港個運審第30号","港区立幼稚園保育補助業務の外部委託について、諮問どおり承認します。"
"20220315","3港個運審第31号","港区福祉のまちづくり整備費補助金交付事業に係るコーディネート事業の外部委託について、諮問どおり承認します。"
"20220315","3港個運審第32号","港区福祉総合窓口案内支援システム導入構築業務（設計・導入）の外部委託について、諮問どおり承認します。"

"令和4年度港区行政資料集　令和3年度港区個人情報保護運営審議会答申","Ver202203",
