分類/品目/銘柄/単位,2004年12月,2005年10月,2005年11月,2005年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2820,2804,2807,2773,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2471,2358,2358,2357,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2125,2004,1970,1960,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),743,617,631,601,
（穀類）/食パン/普通品/1kg(円),422,412,411,411,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),85,88,89,88,
（穀類）/カレーパン/揚げパン、普通品/100g(円),        -,94,90,92,平成17年1月から追加品目
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),78,79,78,78,
（穀類）/干しうどん/普通品/1kg(円),509,502,507,500,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),156,158,154,161,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),201,        -,        -,        -,平成17年1月調査から廃止
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),140,139,140,136,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),262,260,251,255,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),188,190,192,192,
（穀類）/もち/包装生もち/1kg(円),1030,1060,1051,1038,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),403,399,395,408,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),97,97,110,132,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),121,133,134,136,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,167,        -,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),139,179,156,139,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),206,219,216,216,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),114,98,109,113,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),79,71,68,65,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),223,203,194,193,
（魚介類）/ぶり/切り身/100g(円),268,237,234,229,
（魚介類）/いか/するめいか/100g(円),79,83,93,97,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),253,243,241,242,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),263,254,258,246,
（魚介類）/あさり/殻付き/100g(円),116,116,116,114,
（魚介類）/かき/まがき、むき身/100g(円),313,307,301,308,
