総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸 出 品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財 注),,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,
平成13年平均,2001,,98.4,97.8,102.5,103,98.5,97.4,99.5,102,99.8,97.6,95.6,98.7,95.3,100.2,103.1,99,96.9,,,,
平成14年平均,2002,,96.4,95.7,101,103.7,96.6,94.6,99.1,101.4,98.8,95.2,92.3,96.8,90.4,99.7,101.9,97.3,94.5,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.2,96.9,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.1,92.7,,,,
平成12年度平均,2001,,99.7,99.5,101,101.3,99.9,99.7,100,100.9,100.1,99.3,98.8,99.6,98.8,100,100.8,100,99.2,,,,
平成13年度平均,2001,,97.7,97.1,102,102.3,97.8,96.3,99.3,102,99.5,97,94.7,98.3,94.2,100.2,103.5,98.3,96.2,,,,
平成14年度平均,2002,,96.2,95.5,101.2,106.4,96.6,94.5,99.2,101.9,98.7,94.5,91.3,96.2,89.1,99.5,100.3,97.5,93.9,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,
平成15年12月,2003,12,95.3,94.9,97.3,108.1,96.2,93.8,100.9,100.3,98.3,92.4,87.4,95.1,84,100.2,93.8,97.3,91.9,,,,
平成16年１月,2004,1,95.5,95.1,98.1,108.7,96.6,94.3,101.4,100.4,98.5,92.4,87.3,95.1,84.1,100.2,94.3,97.8,91.9,,,,
平成16年２月,2004,2,95.8,95.3,99.1,111.3,97.1,94.8,102.4,100.7,98.5,92.2,87.1,95,83.9,100.1,95.3,98.5,92.1,,,,
平成16年３月,2004,3,96.3,95.5,101.4,112.7,97.9,95.8,103.9,101.2,98.6,92.1,87.1,94.8,83.8,99.8,96.5,99.4,92.6,,,,
平成16年４月,2004,4,96.5,95.7,102.2,115,98.4,96.3,104.6,101.4,99,91.8,86.8,94.5,83.3,99.6,94.6,100,92.7,,,,
平成16年５月,2004,5,97.1,95.7,106.2,119.3,98.9,96.8,105,102.1,99.3,92,86.9,94.8,83.4,100,97.9,100.9,92.9,,,,
平成16年６月,2004,6,97.3,96,105.7,120.8,99.1,96.7,105.3,104.1,99.2,92,86.7,94.8,83.1,100.1,96.4,101.2,92.9,,,,
平成16年７月,2004,7,97.6,96.4,105.6,120.8,99.9,97.1,105.7,108.4,99.4,91.8,86.6,94.6,82.9,100,97,101.9,93,,,,
平成16年８月,2004,8,97.8,96.5,106.8,122.4,100.2,97.5,105.9,108.6,99.5,91.7,86.5,94.6,82.8,100,97.9,102.3,92.9,,,,
平成16年９月,2004,9,98.2,96.6,108.3,125.3,100.5,97.7,106.2,110.3,99.1,91.7,86.2,94.7,82.6,100.3,97.8,102.9,92.8,,,,
平成16年10月,2004,10,98.1,96.6,107.4,122.9,100.7,98.5,106.9,107.6,99,91.5,86.2,94.4,82.2,100,97.9,102.9,93,,,,
平成16年11月,2004,11,98,96.7,106.1,122.7,100.8,98.4,106.9,108.7,99,91.2,85.8,94.2,81.5,100,96.1,102.9,92.8,,,,
平成16年12月,2004,12,97.7,96.7,104.5,119.9,100.7,98.5,106.9,107.7,99.1,91.1,85.6,94,81.3,99.9,95.5,102.6,92.7,,,,
対前月比(%),,,-0.3,0,-1.5,-2.3,-0.1,0.1,0,-0.9,0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.6,-,-,,,,
対前年同月比(%),,,2.5,1.9,7.4,10.9,4.7,5,5.9,7.4,0.8,-1.4,-2.1,-1.2,-3.2,-0.3,1.8,-,-,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
東京の物価／平成17年1月,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,
