分類/品目/銘柄/単位,2004年11月,2005年9月,2005年10月,2005年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2818,2909,2804,2807,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2430,2361,2358,2358,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2137,2037,2004,1970,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),859,619,617,631,
（穀類）/食パン/普通品/1kg(円),421,411,412,411,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),85,90,88,89,
（穀類）/カレーパン/揚げパン、普通品/100g(円),        -,93,94,90,平成17年1月から追加品目
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),78,79,79,78,
（穀類）/干しうどん/普通品/1kg(円),512,492,502,507,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),154,153,158,154,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),209,        -,        -,        -,平成17年1月調査から廃止
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),136,140,139,140,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),266,251,260,251,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),186,190,190,192,
（穀類）/もち/包装生もち/1kg(円),1025,1033,1060,1051,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),402,388,399,407,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),102,107,97,120,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),108,124,133,140,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,159,167,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),170,175,179,152,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),198,217,219,216,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),106,111,98,111,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),80,79,71,72,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),217,214,203,187,
（魚介類）/ぶり/切り身/100g(円),261,243,237,243,
