年月,西暦（年）,月,消費者物価指数（平成12年基準）/全国,消費者物価指数（平成12年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成12年=100）/全世帯,1)消費水準指数全国(平成12年=100）/勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/2)平均消費性向（％）,生計（東京都勤労者世帯）/3)公共的料金負担率（％）
昭和59年平均,1984,,84.4,83.7,1542,831.5,92.9,94,471885,312338,79.7,26.8
昭和60年平均,1985,,86.1,85.7,1578.8,822.4,93.7,94.7,501450,319891,77,26.4
昭和61年平均,1986,,86.7,86.5,1593,747.3,94.5,95.6,519227,328660,77,26.7
昭和62年平均,1987,,86.7,86.8,1599.3,719.3,96.5,96.6,534700,336659,76.2,25.4
昭和63年平均,1988,,87.3,87.7,1615.1,712.1,99.5,99.7,552315,344943,75.4,25.8
平成元年平均,1989,,89.3,90.1,1659.3,730.4,100.5,100.9,567395,350986,73.8,25.5
平成2年平均,1990,,92.1,92.8,1709.8,745.4,101.7,102.7,611320,373462,73.4,25.2
平成3年平均,1991,,95.1,95.9,1766.2,741.3,103.5,103.5,630856,389877,74.4,24.8
平成4年平均,1992,,96.7,97.7,1800.4,729.3,104.1,103.9,646147,392114,73.2,25.1
平成5年平均,1993,,98,98.9,1822.6,708.1,104.2,104.1,677044,397896,71.6,26.2
平成6年平均,1994,,98.6,99.6,1834.6,693.7,103.5,103.1,669665,395193,70.9,27
平成7年平均,1995,,98.5,99.3,1829.5,687.2,102.9,102.8,648892,380868,70.7,27.8
平成8年平均,1996,,98.6,99.3,1829.5,688,103.5,103.6,629627,379877,72.6,28.5
平成9年平均,1997,,100.4,100.6,1853.3,698.4,103.5,103.9,655940,386106,71.7,28.9
平成10年平均,1998,,101,101.4,1867.9,687.5,101.6,102.4,656646,377118,69.2,27.4
平成11年平均,1999,,100.7,101,1860.6,664.3,100.6,100.3,642848,366762,68.5,28.2
平成12年平均,2000,,100,100,1842.3,664.2,100,100,643946,372835,69.7,28.9
平成13年平均,2001,,99.3,98.9,1822.0347,658,98.8,99.4,628068,364721,69.8,29.5
平成14年平均,2002,,98.4,97.9,1803.6117,645.7,99.4,99.2,633711,361608,68.2,29.4
平成15年平均,2003,,98.1,97.5,1796.2425,637.3,98.4,97.9,583065,355982,73.2,29.8
平成16年平均,2004,,98.1,97.4,1794.4002,644.7,98.8,99.2,596372,362122,72.7,30.1
平成14年12月,2002,12,98.3,97.8,1801.7694,641,113.7,112.3,1095660,420245,43.8,24.8
平成15年１月,2003,1,98,97.5,1796.2425,639.6,95.4,94.6,485856,353740,87.5,29.4
平成15年２月,2003,2,97.7,97.2,1790.7156,642.9,96.2,96.5,514676,339560,79.5,33.2
平成15年３月,2003,3,98,97.4,1794.4002,642.9,102.3,103.3,515312,382650,90.2,29.4
平成15年４月,2003,4,98.3,97.7,1799.9271,642.3,103.6,104.1,533331,391017,88.9,36.1
平成15年５月,2003,5,98.5,97.8,1801.7694,637.6,91.5,90,481076,345799,88.6,28.3
平成15年６月,2003,6,98.2,97.7,1799.9271,637.6,96.4,95,776381,336046,52.7,27.6
平成15年７月,2003,7,98,97.3,1792.5579,639,96.9,96.6,707481,374844,63.5,26.6
平成15年８月,2003,8,98.2,97.5,1796.2425,639,96.2,96.8,501384,338341,79.8,26.2
平成15年９月,2003,9,98.3,97.6,1798.0848,635.6,95.7,96.2,477093,340675,85.2,33.7
平成15年10月,2003,10,98.3,97.6,1798.0848,629.7,96,94.8,509197,352352,82.1,32.3
平成15年11月,2003,11,97.8,97.2,1790.7156,630.3,95.7,94,467080,323293,82,29.1
平成15年12月,2003,12,97.9,97.4,1794.4002,631,114.2,113.3,1025817,393086,45,25.5
平成16年１月,2004,1,97.7,97,1787.031,633,97,97.7,503853,351507,83,31.9
平成16年２月,2004,2,97.7,97,1787.031,635.6,98,99.7,516246,322023,73.7,32.8
平成16年３月,2004,3,97.9,97.3,1792.5579,639.6,103,103,528819,354669,80.2,30.9
平成16年４月,2004,4,97.9,97.4,1794.4002,639.6,109,111.9,556209,404083,86.4,35.3
平成16年５月,2004,5,98,97.5,1796.2425,645.6,96.4,95.2,497165,352354,88.3,29.8
平成16年６月,2004,6,98.2,97.6,1798.0848,644.9,94.2,93.8,803072,344468,53.5,29.1
平成16年７月,2004,7,97.9,97.1,1788.8733,648.3,98.1,99.3,685748,383819,66.9,27.2
平成16年８月,2004,8,98,97.3,1792.5579,650.3,96.7,96.6,542264,377829,83,26.7
平成16年９月,2004,9,98.3,97.4,1794.4002,652.2,94.7,96.3,492816,363247,87.4,31.3
平成16年10月,2004,10,98.8,97.9,1803.6117,651.6,94.3,95,521292,368868,83.1,29.4
平成16年11月,2004,11,98.6,97.8,1801.7694,648.9,94.4,93.3,473493,332838,83.9,31.1
平成16年12月,2004,12,98.1,97.4,1794.4002,646.9,110.2,108.9,1035696,388817,44.4,25.7
平成17年１月,2005,1,97.6,96.7,1781.5041,644.3,97.4,100.2,487393,366735,89.1,32.3
平成17年２月,2005,2,97.4,96.6,1779.6618,648.3,97.9,99.3,521992,320178,72.4,34.6
平成17年３月,2005,3,97.7,96.9,1785.1887,651.6,103.3,104.9,　     …,　     …,　     …,　     …
平成17年４月,2005,4,97.9,97,1787.031,660.9,　     …,　     …,　     …,　     …,　     …,　     …
,,,,,,,,,,,,
東京の物価／平成17年5月,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,
注1)月々の１世帯当たりの消費支出額を４人世帯及び30.4日（365日÷12) の額に調整した後、これを平成12年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数。,,,,,,,,,,,,
注2)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,
注3)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,
注4)従来掲載していた実質賃金指数は、日本標準産業分類が平成14年3月に改訂されたことに伴い、平成19年1月分から平成17年を基準年としたものを掲載する予定である。,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,
