分類/品目/銘柄/単位,2004年3月,2005年1月,2005年2月,2005年3月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),3398,2815,2806,2790,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),3007,2424,2382,2372,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2412,2097,2071,2048,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),951,688,682,668,平成16年7月から基本銘柄改正
（穀類）/食パン/普通品/1kg(円),422,426,425,423,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),82,85,84,85,
（穀類）/カレーパン/揚げパン、普通品/100g(円),        -,94,92,93,平成17年1月から追加品目
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),76,77,79,78,
（穀類）/干しうどん/普通品/1kg(円),500,511,503,507,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),159,153,156,154,
（穀類）/スパゲッティ/輸入品、袋入り（450g入り）、「ブイトーニ」/1袋(円),225,        -,        -,        -,平成17年1月調査から廃止
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),143,144,143,140,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),261,261,256,259,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),188,186,183,187,
（穀類）/もち/包装生もち/1kg(円),1082,1019,1035,1032,
（魚介類）/まぐろ/めばち、切り身（刺身用）、赤身/100g(円),398,405,396,388,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),140,128,110,112,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),137,147,121,131,
（魚介類）/かつお/切り身（刺身用）/100g(円),294,        -,        -,272,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),222,163,179,188,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),217,209,214,210,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),154,142,125,119,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),74,77,76,74,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),275,249,241,225,
（魚介類）/ぶり/切り身/100g(円),248,259,254,250,
（魚介類）/いか/するめいか/100g(円),93,96,93,100,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),252,241,243,244,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),278,264,261,256,
（魚介類）/あさり/殻付き/100g(円),123,120,114,118,
（魚介類）/かき/まがき、むき身/100g(円),249,306,278,264,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),177,182,196,192,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),196,190,182,183,
（魚介類）/たらこ/並/100g(円),682,654,640,637,
（魚介類）/しらす干し/並/100g(円),396,455,462,469,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),169,169,165,165,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),122,128,128,130,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),299,290,292,295,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),168,194,192,185,
（魚介類）/さつま揚げ/並/100g(円),99,96,96,93,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),101,102,102,102,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),153,160,159,159,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),136,140,142,135,
（魚介類）/塩辛/いかの塩辛、並/100g(円),258,259,251,251,
（魚介類）/魚みそ漬/さわら/100g(円),227,241,251,241,
（魚介類）/あさりつくだ煮/並/100g(円),347,343,336,347,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り/1缶(円),162,164,164,162,
（肉類）/牛肉/ロース/100g(円),854,846,848,834,
（肉類）/牛肉/肩肉/100g(円),456,466,480,456,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),356,348,343,325,
（肉類）/豚肉/ロース/100g(円),239,240,243,237,
（肉類）/豚肉/肩肉/100g(円),158,158,158,157,
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),124,125,124,122,
（肉類）/羊肉/輸入品、ラム/100g(円),136,        -,        -,        -,平成17年1月調査から廃止
（肉類）/レバー/豚レバー/100g(円),104,105,104,106,
（肉類）/ハム/ロースハム、JAS規格品・標準/100g(円),290,286,290,290,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・上級/100g(円),187,191,193,190,
（肉類）/ベーコン/ベーコン、JAS規格品・標準/100g(円),254,263,266,269,
（乳卵類）/牛乳/瓶入り（200ml）配達、瓶代を除く、月極め/1本(円),99,99,99,100,
（乳卵類）/牛乳/紙容器入り（1000ml入り）、店頭売り/1本(円),205,209,208,207,
（乳卵類）/粉ミルク/調整粉乳、缶入り（980g入り）/1缶(円),2539,2598,2600,2600,
（乳卵類）/バター/カルトン入り（200g入り）/1箱(円),324,311,319,322,
（乳卵類）/チーズ/プロセスチーズ、スライスタイプ（10枚190g入り）/1袋(円),311,297,292,305,
（乳卵類）/チーズ/輸入品、ナチュラルチーズ缶入り（125g入り）「ジェラール」/1缶(円),493,471,462,476,
（乳卵類）/ヨーグルト/プレーンヨーグルト、500g入り/1個(円),209,214,222,213,
（乳卵類）/鶏卵/白色卵、Lサイズ、パック詰(10個入り）/1パック(円),177,219,253,269,
（野菜・海草）/キャベツ/1kg(円),194,234,278,261,
（野菜・海草）/ほうれんそう/1kg(円),693,755,640,643,
（野菜・海草）/はくさい/山東菜を除く/1kg(円),233,162,173,199,
（野菜・海草）/ねぎ/1kg(円),543,592,503,540,
（野菜・海草）/レタス/玉レタス/1kg(円),553,615,549,562,
（野菜・海草）/もやし/だいずもやしを除く/100g(円),17,17,17,17,
（野菜・海草）/ブロッコリー/1kg(円),555,697,634,673,
（野菜・海草）/アスパラガス/グリーンアスパラガス/100g(円),171,189,157,166,
（野菜・海草）/かんしょ/1kg(円),513,468,452,487,
（野菜・海草）/ばれいしょ/1kg(円),292,277,280,274,
（野菜・海草）/さといも/こいも、土付き/1kg(円),438,487,434,435,
（野菜・海草）/だいこん/1kg(円),178,143,158,168,
（野菜・海草）/にんじん/1kg(円),214,341,353,378,
（野菜・海草）/ごぼう/1kg(円),686,654,637,692,
（野菜・海草）/たまねぎ/1kg(円),217,211,228,235,
（野菜・海草）/れんこん/1kg(円),880,729,714,747,
（野菜・海草）/ながいも/1kg(円),685,637,624,609,
（野菜・海草）/えだまめ/100g(円),        -,        -,        -,        -,
（野菜・海草）/さやいんげん/100g(円),193,203,210,224,
（野菜・海草）/かぼちゃ/1kg(円),314,360,343,335,
（野菜・海草）/きゅうり/1kg(円),510,583,665,577,
（野菜・海草）/なす/1kg(円),617,676,744,718,
（野菜・海草）/トマト/1kg(円),694,744,674,632,
（野菜・海草）/ピーマン/100g(円),79,82,106,120,
（野菜・海草）/生しいたけ/100g(円),172,188,175,171,
（野菜・海草）/えのきだけ/100g(円),66,77,73,65,
（野菜・海草）/しめじ/ぶなしめじ/100g(円),87,95,89,88,
（野菜・海草）/あずき/大粒/100g(円),167,171,171,164,
（野菜・海草）/干ししいたけ/薄葉、並/100g(円),1295,1286,1297,1287,
（野菜・海草）/のり/焼きのり、中、1帖（10枚入り）/1帖(円),444,444,450,440,
（野菜・海草）/わかめ/養殖もの、塩蔵わかめ（湯通しもの）、並/100g(円),147,148,149,150,
（野菜・海草）/こんぶ/とろろこんぶ、並/100g(円),597,584,581,581,
（野菜・海草）/ひじき/乾燥もの、芽ひじき、国内産、並/100g(円),        -,549,547,539,平成17年1月から追加品目
（野菜・海草）/豆腐/絹ごしを除く/100g(円),33,33,33,32,
（野菜・海草）/油揚げ/薄揚げ/100g(円),149,146,148,146,
（野菜・海草）/納豆/丸大豆納豆、発泡スチロール容器入り（50g×3個）/1パック(円),139,135,128,136,
（野菜・海草）/こんにゃく/板こんにゃく/100g(円),47,50,49,50,
（野菜・海草）/梅干し/調味梅干し、中粒、並/100g(円),197,196,195,195,
（野菜・海草）/たくあん漬/本漬、中/100g(円),98,99,100,103,
（野菜・海草）/福神漬/並（瓶詰、缶詰を除く）/100g(円),96,97,98,98,
（野菜・海草）/こんぶつくだ煮/並/100g(円),213,212,212,216,
（野菜・海草）/はくさい漬/塩漬/100g(円),78,90,84,86,
（野菜・海草）/キムチ/はくさいキムチ（瓶詰を除く）/100g(円),132,143,141,142,
（野菜・海草）/スイートコーン缶詰/ホールカーネル（つぶ状）内容総量190g/1缶(円),132,130,127,135,
（果物）/りんご/つがる又はジョナゴールド、1個250～385g/1kg(円),524,611,634,607,平成17年1月から基本銘柄改正
（果物）/りんご/ふじ、1個250～385g/1kg(円),447,532,536,546,平成17年1月から基本銘柄改正
（果物）/みかん/1個100～120g/1kg(円),541,499,549,554,
（果物）/レモン/1個110～160g/1kg(円),470,460,473,480,
（果物）/グレープフルーツ/1個370～430g/1kg(円),315,431,405,387,
（果物）/オレンジ/輸入品、1個180～240g/1kg(円),337,421,372,379,
（果物）/いよかん/1個200～300g/1kg(円),376,462,403,395,
（果物）/なし/幸水又は豊水、1個300～350g/1kg(円),        -,        -,        -,        -,
（果物）/ぶどう/デラウェア/1kg(円),        -,        -,        -,        -,
