総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸 出 品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財 注),,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,
平成13年平均,2001,,98.4,97.8,102.5,103,98.5,97.4,99.5,102,99.8,97.6,95.6,98.7,95.3,100.2,103.1,99,96.9,,,,
平成14年平均,2002,,96.4,95.7,101,103.7,96.6,94.6,99.1,101.4,98.8,95.2,92.3,96.8,90.4,99.7,101.9,97.3,94.5,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.3,97,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.2,92.7,,,,
平成13年度平均,2001,,97.7,97.1,102,102.3,97.8,96.3,99.3,102,99.5,97,94.7,98.3,94.2,100.2,103.5,98.3,96.2,,,,
平成14年度平均,2002,,96.2,95.5,101.2,106.4,96.6,94.5,99.2,101.9,98.7,94.5,91.3,96.2,89.1,99.5,100.3,97.5,93.9,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,
平成16年度平均,2004,,97.7,96.4,106,121.5,100.2,98,106.3,106.5,99.1,91.4,86.1,94.3,82.2,99.9,96.6,102.3,92.8,,,,
平成16年６月,2004,6,97.3,96,105.8,120.8,99.1,96.7,105.3,104.1,99.2,92,86.7,94.8,83.1,100.1,96.3,101.2,92.9,,,,
平成16年７月,2004,7,97.7,96.5,105.6,120.8,100,97.3,105.7,108.4,99.4,91.8,86.6,94.6,82.9,100,97,102,93,,,,
平成16年８月,2004,8,97.9,96.5,106.8,122.5,100.3,97.7,105.9,108.6,99.5,91.7,86.5,94.6,82.8,100,97.9,102.4,92.9,,,,
平成16年９月,2004,9,98.2,96.7,108.4,125.4,100.5,97.8,106.1,110.3,99.1,91.8,86.3,94.7,82.6,100.3,97.9,102.9,92.9,,,,
平成16年10月,2004,10,98.2,96.7,107.5,123.1,100.9,98.8,106.8,107.5,99,91.6,86.2,94.4,82.2,100.1,98,103,93,,,,
平成16年11月,2004,11,98,96.8,106.1,122.8,100.9,98.6,106.9,108.7,99,91.2,85.8,94.2,81.5,100,96.1,103,92.8,,,,
平成16年12月,2004,12,97.7,96.7,104.5,120,100.8,98.6,106.9,107.7,99.1,91,85.5,94,81.3,99.8,95.5,102.7,92.6,,,,
平成17年１月,2005,1,97.3,96.4,103.7,118,100.6,98.6,107.2,105.5,98.9,90.6,85.2,93.6,81,99.3,94.9,102.3,92.5,,,,
平成17年２月,2005,2,97.9,96.5,106.6,123.8,100.8,98.9,107.3,105.8,99,90.8,85.2,93.9,81.2,99.7,96.3,103,92.5,,,,
平成17年３月,2005,3,98.4,96.8,108.5,127,101.3,99.3,107.6,107.5,99.1,90.9,85.2,94,81,100,96.9,103.8,92.6,,,,
平成17年４月,2005,4,99.9,97.5,116.1,141.5,102.5,100.3,108.4,111.6,99.5,91.2,85.3,94.5,81,100.6,97.9,106.3,93,,,,
平成17年５月,2005,5,99.8,97.4,115.7,142.2,102.4,99.9,108.5,112.4,99.5,91.1,85,94.4,80.9,100.6,96.6,106.2,92.7,,,,
平成17年６月,2005,6,99.7,97.3,115.7,141.2,102.4,99.9,108.7,111.7,99.7,91,84.9,94.3,80.7,100.5,97.1,106.2,92.7,,,,
対前月比(%),,,-0.1,-0.1,0,-0.7,0,0,0.2,-0.6,0.2,-0.1,-0.1,-0.1,-0.2,-0.1,0.5,-,-,,,,
対前年同月比(%),,,2.5,1.4,9.4,16.9,3.3,3.3,3.2,7.3,0.5,-1.1,-2.1,-0.5,-2.9,0.4,0.8,-,-,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
東京の物価／平成17年7月,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,
