区分,番号,事業種別,地域種別,交付対象,直接間接,事業者,省略工種,要素となる事業名（事業箇所）,事業内容（面積等）,港湾・地区名,市町村名,事業実施期間（年度）／H28,事業実施期間（年度）／H29,事業実施期間（年度）／H30,事業実施期間（年度）／H31,事業実施期間（年度）／H32,全体事業費（百万円）,全体事業費／効果促進事業費の割合｛Ｃ／（Ａ＋Ｂ＋Ｃ＋Ｄ）｝(%),費用便益比,個別施設計画策定状況,備考
A港湾事業,1-A-1,港湾,内地,東京都,直接,東京都,改良,辰巳内貿雑貨ターミナル（耐震改良）,延長L=160m／水深5m,東京港・東部地区,,○,,,,○,150 ,,－,－,
A港湾事業,1-A-2,港湾,内地,東京都,直接,東京都,改良,13号地ふ頭岸壁（改良）,延長L=140m／水深5m,東京港・中部地区,,○,○,○,○,,350 ,,－,－,
A港湾事業,1-A-3,港湾,内地,東京都,直接,東京都,改良,あけみ橋（耐震改良）,橋長L=289m,東京港・中部地区,,○,○,○,○,○,3900 ,,－,－,
A港湾事業,1-A-4,港湾,内地,東京都,直接,東京都,改良,城南野鳥橋（耐震改良）,橋長L=310m,東京港・南部地区,,○,○,○,○,○,3000 ,,－,－,
A港湾事業,1-A-5,港湾,内地,東京都,直接,東京都,改良,大井中央陸橋（耐震改良）,橋長L=886m,東京港・南部地区,,○,○,○,○,○,1900 ,,－,－,
A港湾事業,1-A-6,港湾,内地,東京都,直接,東京都,改良,臨港道路の無電柱化,"延長L=4,130m",東京港・中部地区、東部地区、中央防波堤外側地区,,○,○,○,○,,3900 ,,－,－,
A港湾事業,1-A-7,港湾,内地,東京都,直接,東京都,改良,大井中央陸橋（改良）,橋長L=886m,東京港・南部地区,,○,,,,,51 ,,－,未策定,
A港湾事業,1-A-8,港湾,内地,東京都,直接,東京都,改良,道路（改良）大井縦貫線,舗装打替えL=1.7km,東京港・南部地区,,○,○,,,,231 ,,－,未策定,
A港湾事業,1-A-9,港湾,内地,東京都,直接,東京都,改良,道路（改良）城南島・大井1号線,舗装打替えL=1.3km,東京港・南部地区,,○,○,,,,255 ,,－,未策定,
A港湾事業,1-A-10,港湾,内地,東京都,直接,東京都,改良,道路（改良）青海縦貫線,舗装打替えL=1.5km,東京港・中部地区,,○,○,○,,,315 ,,－,未策定,
A港湾事業,1-A-11,港湾,内地,東京都,直接,東京都,改良,道路（改良）品川1号線,舗装打替えL=1.3km,東京港・内港地区,,○,○,○,,,360 ,,－,未策定,
A港湾事業,1-A-12,港湾,内地,東京都,直接,東京都,改良,道路（改良）レインボーブリッジ,舗装打替えL=3.75km,東京港・内港地区,,○,○,○,○,○,495 ,,－,未策定,
A港湾事業,1-A-13,港湾,内地,東京都,直接,東京都,改良,岸壁（-12m）（改良）大井水産物ふ頭,水深D=-12.0m、延長L=450m,東京港・南部地区,,○,○,○,○,○,495 ,,－,策定済,
A港湾事業,1-A-14,港湾,内地,東京都,直接,東京都,改良,岸壁（-11m）（改良）大井食品ふ頭,水深D=-11.0m、延長L=380m,東京港・南部地区,,○,○,○,○,○,495 ,,－,策定済,
A港湾事業,1-A-15,港湾,内地,東京都,直接,東京都,改良,岸壁（-12m）（改良）大井食品ふ頭,水深D=-12.0m、延長L=230m,東京港・南部地区,,,,○,○,○,210 ,,－,策定済,
A港湾事業,1-A-16,港湾,内地,東京都,直接,東京都,改良,岸壁（-13m）（改良）青海ふ頭,水深D=-13.0m、延長L=520m,東京港・中部地区,,○,○,○,○,○,480 ,,－,策定済,
A港湾事業,1-A-17,港湾,内地,東京都,直接,東京都,改良,岸壁（-15m）（改良）青海ふ頭,水深D=-15.0m、延長L=350m,東京港・中部地区,,,○,○,○,○,390 ,,－,策定済,
A港湾事業,1-A-18,港湾,内地,東京都,直接,東京都,改良,岸壁（-10m）（改良）品川ふ頭,水深D=-10.0m、延長L=580m,東京港・内港地区,,○,○,○,○,○,210 ,,－,策定済,
A港湾事業,1-A-19,港湾,内地,東京都,直接,東京都,改良,道路（改良）レインボーブリッジ,塗装塗替えL=3.75km,東京港・内港地区,,,,○,○,○,495 ,,－,未策定,
A港湾事業／合計,,,,,,,,,,,,,,,,,17682 ,,,－,
Ｃ効果促進事業,,,,,,,,,,,,,,,,,,,,,
Ｄ社会資本整備円滑化地籍整備事業,,,,,,,,,,,,,,,,,,,,,
合計（Ａ＋Ｂ＋Ｃ＋Ｄ）,,,,,,,,,,,,,,,,,17682 ,0,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
