番号,種別,ふ頭名,水深（ｍ）,バース数,延長（ｍ）,10ｍ岸壁換算バース数,備考
1,既設,芝浦内貿雑貨,7.5,5,650,3.8,
2,既設・既定計画,品川ユニットロード,8.5,3,690,4.1,Ｓ1・Ｓ２：既設、Ｓ３：既定計画
3,既定計画,日の出貨客船,7.5,1,155,0.9,
4,既定計画,竹芝貨客船,7.5,1,155,0.9,
5,既設,大井食品,11,2,380,2.2,
6,既定計画の変更計画,晴海物資補給,10,1,240,1.4,
7,既設,１０号地その1西側多目的,7.5,1,180,1.1,
8,既定計画,１０号地その２フェリー,8.5,1,270,1.6,
9_1,既定計画,１０号地その２ユニットロード,9,4,920,5.4,
9_2,既定計画,１０号地その２ユニットロード,9,2,460,2.7,
10,既定計画,1０号地その１東側多目的,8.5,1,230,1.4,
11,既定計画,新客船,11.5,1,240,1.4,
12,既設,辰巳内貿雑貨,5,2,160,0.9,
13,既設,中央防波堤内側ユニットロード,9,1,230,1.4,
合計,,,-,26,4960,29.2,
