区分,番号,事業種別,地域種別,交付対象,直接間接,事業者,港湾種別,省略工種,要素となる事業名（事業箇所）,事業内容（面積等）,港湾・地区名（市町村名）,事業実施期間（年度）／H27,事業実施期間（年度）／H28,事業実施期間（年度）／H29,事業実施期間（年度）／H30,事業実施期間（年度）／H31,全体事業費（百万円）,全体事業費／効果促進事業費の割合｛Ｃ／（Ａ＋Ｂ＋Ｃ＋Ｄ）｝(%),個別施設計画策定状況,備考
A港湾事業,1-A1-1,港湾,離島,東京都,直接,-,地方,改良,岡田港／護岸(防波)(改良),延長445m,岡田港・岡田地区,○,○,○,○,○,384,,,
A港湾事業,1-A1-2,港湾,離島,東京都,直接,-,地方,建設,岡田港／津波避難施設,津波避難施設1棟,岡田港・岡田地区,,○,○,,,365,,,
A港湾事業,1-A1-3,港湾,離島,東京都,直接,-,地方,建設,波浮港／防波堤(東),延長50m,波浮港・波浮地区,○,○,○,○,○,"3,500",,,
A港湾事業,1-A1-4,港湾,離島,東京都,直接,-,地方,改良,波浮港／物揚場(-3.0m)(Ⅲ)(改良),水深-3.0m／延長140m,波浮港・波浮地区,○,○,○,,,205,,,
A港湾事業,1-A1-5,港湾,離島,東京都,直接,-,地方,改良,利島港／船揚場(改良),延長20m,利島港・前浜地区,,,,○,○,53,,,
A港湾事業,1-A1-6,港湾,離島,東京都,直接,-,地方,改良,神津島港／護岸(防波),延長85m,神津島港・前浜地区,○,,,,,16,,,
A港湾事業,1-A1-7,港湾,離島,東京都,直接,-,地方,改良,神津島港／船揚場(改良),延長50m,神津島港・前浜地区,○,,,,,234,,,
A港湾事業,1-A1-8,港湾,離島,東京都,直接,-,地方,改良,神津島港／物揚場(改良),延長24m,神津島港・前浜地区,,,,○,,50,,,
A港湾事業,1-A1-9,港湾,離島,東京都,直接,-,地方,改良,神津島港／防波堤(北)(改良),延長110m,神津島港・前浜地区,,○,,,,30,,,
A港湾事業,1-A1-10,港湾,離島,東京都,直接,-,地方,改良,三池港／岸壁(取付部)(改良),延長180m,三池港・沖ヶ平地区,○,○,○,○,○,280,,,
A港湾事業,1-A1-11,港湾,離島,東京都,直接,-,地方,改良,御蔵島港／防波堤(波除)(改良),延長40m,御蔵島港・里浜地区,,,,○,○,126,,,
A港湾事業,1-A1-12,港湾,離島,東京都,直接,-,地方,改良,御蔵島港／護岸(防波)(Ｂ)(改良),延長32m,御蔵島港・里浜地区,,,,○,○,220,,,
A港湾事業,1-A1-13,港湾,離島,東京都,直接,-,地方,改良,青ヶ島港／護岸(防波)(改良),延長130m,青ヶ島港・三宝地区,○,○,○,○,,395,,,
A港湾事業,1-A1-14,港湾,離島,東京都,直接,-,地方,建設,波浮港／津波避難施設,津波避難施設1棟,波浮港・波浮地区,,,,○,○,400,,,
A港湾事業,1-A1-15,港湾,離島,東京都,直接,-,地方,建設,新島港／津波避難施設,津波避難施設1棟,新島港・前浜地区,,○,○,,,400,,,
A港湾事業,1-A1-16,港湾,離島,東京都,直接,-,地方,建設,神津島港／津波避難施設,津波避難施設1棟,神津島港・前浜地区,,○,○,,,400,,,
A港湾事業,1-A1-17,港湾,離島,東京都,直接,-,地方,建設,三池港／津波避難施設,津波避難施設1棟,三池港・沖ヶ平地区,,,,○,○,400,,,
A港湾事業,1-A1-18,港湾,離島,東京都,直接,-,地方,建設,利島港／防波堤(波除)(東),延長30m,利島港・前浜地区,,,○,○,○,962,,,
A港湾事業,1-A2-1,海岸,離島,東京都,直接,-,侵食,-,新島港海岸,離岸堤(副堤)L=108m,新島村,○,○,○,○,○,1418,,,
A港湾事業,1-A2-2,海岸,離島,東京都,直接,-,高潮,-,神津島港海岸,離岸堤(潜堤)(改良)L=142m,神津島村,○,○,○,○,○,1132,,,
A港湾事業,1-A2-3,海岸,離島,東京都,直接,-,侵食,-,三池港海岸,離岸堤(潜堤)L=110m、堤防（改良）L=335m,三宅村,○,○,○,○,○,1220,,,
A港湾事業,1-A2-4,海岸,離島,東京都,直接,-,高潮,-,大久保港海岸,消波堤L=72m,三宅村,○,○,○,,,400,,,
A港湾事業,1-A2-5,海岸,離島,東京都,直接,-,環境,-,神湊港海岸,離岸堤(改良)L=375m,八丈町,○,○,○,○,○,1330,,,
A港湾事業／合計,,,,,,,,,,,,,,,,,13920,,-,
Ｃ効果促進事業,,,,,,,,,,,,,,,,,,,,
Ｄ社会資本整備円滑化地籍整備事業,,,,,,,,,,,,,,,,,,,,
合計（Ａ＋Ｂ＋Ｃ＋Ｄ）,,,,,,,,,,,,,,,,,13920,0,,
