"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","総務費","625543","3.6","633134","3.5"
"2022","保険給付費","15648933","90.5","15729307","87.7"
"2022","地域支援事業費","1011297","5.8","1012184","5.6"
"2022","基金積立金","563","0.0","380956","2.1"
"2022","諸支出金","8193","0.0","180984","1.0"
"2022","歳出合計","17294529","100.0","17936565","100.0"
"2023","総務費","716712","4.0",,
"2023","保険給付費","16331416","90.3",,
"2023","地域支援事業費","1023259","5.7",,
"2023","基金積立金","1414","0.0",,
"2023","諸支出金","8095","0.0",,
"2023","歳出合計","18080896","100.0",,

"令和5年度港区行政資料集　介護保険会計歳出予算","Ver202303",,,,
