NO.,業種名,職人氏名,屋号・会社名,工房住所,工房電話番号,緯度,経度
1,ガラスペン,良知　義浩,佐瀬工業所,東京都台東区入谷2-29-8,03-3873-1564,35.721642,139.78923
2,硯,青柳　貴史,株式会社宝研堂,東京都台東区寿4-1-11,03-3844-2976,35.707935,139.793915
3,皮革工芸,大久保　邦雄,大久保商店,東京都台東区清川1-5-4,03-3872-0181,35.723145,139.802032
4,東京桐たんす,片山　晴夫,片山桐箪笥店,東京都台東区竜泉1-18-3,090-4711-9813,35.723274,139.788925
5,手拭,川上　千尋,染絵手ぬぐい　ふじ屋,東京都台東区浅草2-2-15,03-3841-2283,35.713017,139.79718
6,手拭,川上　正洋,染絵手ぬぐい　ふじ屋,東京都台東区浅草2-2-15,03-3841-2283,35.713017,139.79718
7,看板彫刻,坂井　智雄,福善堂坂井看板店,東京都台東区松が谷3-4-1,03-3841-5801,35.714897,139.787048
8,看板彫刻,坂井　保之,福善堂坂井看板店,東京都台東区松が谷3-4-1,03-3841-5801,35.714897,139.787048
9,弓矢,杉山　新一,杉山正宗弓具店,東京都台東区東上野3-1-1,03-3841-9430,35.709541,139.782211
10,貴金属加工,田中　康司,錺職　匠和,東京都台東区元浅草4-7-8,03-3841-8291,35.710121,139.785126
11,金銀砂子絵,田部井　稔,深匠,東京都台東区松が谷4-22-1,03-5828-1130,35.717499,139.788452
12,東京彫金,平本　彌市,平本工房,東京都台東区台東4-7-8,03-3837-3889,35.7061,139.77739
13,袋物,藤井　直行,藤井袋物,東京都台東区鳥越1-17-5,03-5820-3987,35.702877,139.783463
14,銅器,星野　保,銅銀銅器店,東京都台東区浅草4-22-10,03-3872-7328,35.718758,139.794769
15,桐工芸,宮田　新司,株式会社箱長,東京都台東区寿1-4-5,03-3843-8719,35.706898,139.790085
16,桐工芸,宮田　健司,株式会社箱長,東京都台東区寿1-4-5,03-3843-8719,35.706898,139.790085
17,桐工芸,宮田　和彦,株式会社箱長,東京都台東区寿1-4-5,03-3843-8719,35.706898,139.790085
18,神仏具錺師,川島　利之,有限会社川島錺工芸,東京都台東区東上野6-5-2,090-1662-1951,35.711845,139.784729
19,印章彫刻,伊藤　睦子,伊藤印房,東京都台東区千束1-19-4,03-3873-0489,35.720139,139.791275
20,黄楊櫛（つげぐし）,竹内　敬一,十三や商店,東京都台東区上野2-12-21,03-3831-3238,35.709724,139.772583
21,江戸手描提灯,山田　記央,山?屋源七提灯店,東京都台東区雷門2-9-9,03-3841-8849,35.709751,139.795242
22,江戸手描提灯,櫻井　悠子,花藤,東京都台東区浅草2-25-6,03-3841-6411,35.71656,139.794037
23,江戸手描提灯,恩田　修,有限会社大嶋屋恩田,東京都台東区駒形2-6-6,03-3841-2691,35.70739,139.795364
24,江戸手描提灯,恩田　舜二,有限会社大嶋屋恩田,東京都台東区駒形2-6-6,03-3841-2691,35.70739,139.795364
25,江戸木版画（版画彫刻）,長尾　次朗,長尾版画匠,東京都台東区元浅草1-1-1,03-3847-0772,35.706844,139.784775
26,江戸木版画（摺り）,長尾　雄司,長尾版画匠,東京都台東区元浅草1-1-1,03-3847-0772,35.706844,139.784775
