固定資産台帳（H29.3.31現在）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財産番号,財産枝番,資産名称,所在地,地目名称,設置場所,補助科目名称,会計名称,目的別資産区分,資産区分,償却対象区分,リース・PFI区分,売却可能区分,資産用途,資産構造,耐用年数,稼働年数,単価,数量,単位,面積,取得年度,取得日,売却・除却年度,売却・除却日,摘要,取得価額,期首簿価,減価償却累計額,評価増減等累計,除売却累計,当期取得額,当期減価償却額,当期評価増減等,当期除売却,期末簿価,予備1,予備2,予備3,予備4,予備5
LED1,0,平成28年度LED道路照明灯,江東橋1-8先、八広1-1外,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,347,本,0,平成28年度,2017/3/31,,,伝票番号：0012073,"86,294,160",0,0,0,0,"86,294,160",0,0,0,"86,294,160",,,,,
ソフ1,0,期日前投票システム・当日投票システム,,,選挙管理委員会事務局,ソフトウェア,区一般会計,総務,普通財産,償却対象,一括,売却不可資産,,,5,3,0,1,式,,平成25年度,2013/5/31,,,,"3,958,489","2,375,095","2,375,091",0,0,0,"791,697",0,0,"1,583,398",,,,,
ソフ2,0,墨田区災害危険度判定調査及び建築行政情報システム,,,建築指導課,ソフトウェア,区一般会計,生活インフラ・国土保全,普通財産,償却対象,一括,売却不可資産,,,5,3,0,1,式,,平成25年度,2014/3/14,,,,"29,526,000","17,715,600","17,715,600",0,0,0,"5,905,200",0,0,"11,810,400",,,,,
ひいらぎ公園,0,道路敷（法定公共物）,墨田区八広1-83-15,,,道路（公共土地）,区一般会計,生活インフラ・国土保全,行政財産,償却対象でない,一括,売却不可資産,,,0,0,,0,平方メートル,0,平成28年度,2017/3/30,平成28年度,2017/3/30,,0,0,0,0,0,"5,124,000",0,0,"5,124,000",0,,,,道底5413,1
ひいらぎ公園,1,道路敷（法定公共物）,墨田区八広1-83-15,,,公園（公共土地）,区一般会計,生活インフラ・国土保全,行政財産,償却対象でない,一括,売却不可資産,,,0,0,,0,平方メートル,0,平成28年度,2017/3/30,,,,0,0,0,0,0,0,0,0,0,0,,,,道底5413,1
園そ1,0,旧中川水辺公園施設,東墨田1~2丁目外,,,河川（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,1,,1,式,,平成27年度,2016/3/31,,,,"28,996,920","28,996,920","2,899,692",0,0,0,"2,899,692",0,0,"26,097,228",,,,,道路公園課所管
園そ1,2,旧中川水辺公園（植栽）,立花3-5-6、外,,,公園（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,20,6,,170,本,,平成22年度,2011/3/31,,,,"2,679,000","2,009,250","803,700",0,0,0,"133,950",0,0,"1,875,300",,,,,
亀沢2001号面,0,亀沢2001号路線路面（アスファルト）,亀沢2-１から2-7,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,0,平方メートル,434,平成28年度,2016/10/11,,,伝票番号：0004354,"17,048,272",0,0,0,0,"17,048,272",0,0,0,"17,048,272",,,,,
亀沢2002号工,0,亀沢2002号路線工作物（防護柵・道路照明灯）,亀沢2-7から2-8,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2016/11/24,,,伝票番号：0004067,"999,682",0,0,0,0,"999,682",0,0,0,"999,682",,,,,
亀沢2018号面,0,亀沢2018号路線路面（アスファルト）,亀沢2-6から2-7,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,0,平方メートル,214,平成28年度,2016/10/11,,,伝票番号：0004354,"9,613,688",0,0,0,0,"9,613,688",0,0,0,"9,613,688",,,,,
亀沢3010号底,0,道路敷（法定公共物）,墨田区亀沢3-10-11,,,道路（公共土地）,区一般会計,生活インフラ・国土保全,行政財産,償却対象でない,一括,売却不可資産,,,0,0,"344,519",7.54,平方メートル,7.54,平成28年度,2017/1/25,,,,"2,597,673",0,0,0,0,"2,597,673",0,0,0,"2,597,673",,,,道底5404,0
京島1,0,H28京島地区道路整備工事（アスファルト）,,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/3/31,,,伝票番号：0003912,"13,910,193",0,0,0,0,"13,910,193",0,0,0,"13,910,193",,,,,
京島1005号工,0,京島1005号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"1,017,226",0,0,0,0,"1,017,226",0,0,0,"1,017,226",,,,,
京島1005号工,2,京島1005号　道路工作物（照明灯）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"3,020,507",0,0,0,0,"3,020,507",0,0,0,"3,020,507",,,,,
京島1005号工,3,京島1005号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013337,"309,027",0,0,0,0,"309,027",0,0,0,"309,027",,,,,
京島1005号工,4,京島1005号　道路工作物（照明灯）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013337,"940,137",0,0,0,0,"940,137",0,0,0,"940,137",,,,,
京島1005号工,5,京島1005号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013338,"570,003",0,0,0,0,"570,003",0,0,0,"570,003",,,,,
京島1005号工,6,京島1005号　道路工作物（ガードパイプ）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013338,"139,337",0,0,0,0,"139,337",0,0,0,"139,337",,,,,
京島1005号底,0,道路敷（法定公共物）,墨田区京島1-237-7,,,道路（公共土地）,区一般会計,生活インフラ・国土保全,行政財産,償却対象でない,一括,売却不可資産,,,0,0,,6.95,平方メートル,6.95,平成28年度,2017/3/30,,,,"667,200",0,0,0,0,"667,200",0,0,0,"667,200",,,,道底5414,0
京島1019号工,0,京島1019号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"1,144,380",0,0,0,0,"1,144,380",0,0,0,"1,144,380",,,,,
京島1019号工,2,京島1019号　道路工作物（照明灯）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"3,398,071",0,0,0,0,"3,398,071",0,0,0,"3,398,071",,,,,
京島1019号工,3,京島1019号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013337,"347,655",0,0,0,0,"347,655",0,0,0,"347,655",,,,,
京島1019号工,4,京島1019号　道路工作物（照明灯）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013337,"1,057,655",0,0,0,0,"1,057,655",0,0,0,"1,057,655",,,,,
京島1019号工,5,京島1019号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013338,"641,253",0,0,0,0,"641,253",0,0,0,"641,253",,,,,
京島1019号工,6,京島1019号　道路工作物（ガードパイプ）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013338,"156,754",0,0,0,0,"156,754",0,0,0,"156,754",,,,,
京島1019号底　外,0,道路敷（法定公共物）（京島１０１９、１０２０、１０２１号）,墨田区京島1-237-8,,,道路（公共土地）,区一般会計,生活インフラ・国土保全,行政財産,償却対象でない,一括,売却不可資産,,,0,0,,68.33,平方メートル,68.33,平成28年度,2017/3/30,,,,"10,932,800",0,0,0,0,"10,932,800",0,0,0,"10,932,800",,,,道底5410,0
京島1020号工,0,京島1020号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"11,189,491",0,0,0,0,"11,189,491",0,0,0,"11,189,491",,,,,
京島1020号工,2,京島1020号　道路工作物（照明灯）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013334,"33,225,583",0,0,0,0,"33,225,583",0,0,0,"33,225,583",,,,,
京島1020号工,3,京島1020号　道路路面（アスファルト）,京島1-1地先から1-2地先,,,道路（公共工作物）,区一般会計,生活インフラ・国土保全,行政財産,償却対象,一括,売却不可資産,,,10,0,,1,式,0,平成28年度,2017/2/6,,,伝票番号：0013337,"3,399,294",0,0,0,0,"3,399,294",0,0,0,"3,399,294",,,,,
