大分類,中分類,小分類,2011年度（件数）,2012年度（件数）,2013年度（件数）,2014年度（件数）,2015年度（件数）,2016年度（件数）,2017年度（件数）,2018年度（件数）,2019年度（件数）
居宅介護サービス費,居宅介護サービス費,居宅介護サービス費総計,"179,071 ","196,337 ","206,275 ","221,579 ","231,894 ","233,774 ","238,439 ","250,843 ","259,992 "
居宅介護サービス費,訪問通所サービス,訪問通所サービス合計,"130,208 ","139,101 ","145,687 ","154,715 ","159,194 ","141,489 ","137,386 ","142,261 ","145,428 "
居宅介護サービス費,訪問通所サービス,訪問介護,"38,478 ","39,185 ","40,047 ","40,570 ","39,749 ","36,638 ","31,666 ","32,211 ","32,117 "
居宅介護サービス費,訪問通所サービス,訪問入浴介護,"3,158 ","4,208 ","2,980 ","2,669 ","2,525 ","2,404 ","2,243 ","2,103 ","1,978 "
居宅介護サービス費,訪問通所サービス,訪問看護,"16,993 ","17,965 ","18,599 ","20,397 ","21,796 ","22,112 ","25,946 ","27,831 ","29,528 "
居宅介護サービス費,訪問通所サービス,訪問リハビリテーション,"2,048 ","1,914 ","1,934 ","1,942 ","1,849 ","2,045 ","2,028 ","2,236 ","2,388 "
居宅介護サービス費,訪問通所サービス,通所介護,"32,270 ","35,944 ","39,770 ","43,875 ","45,970 ","28,473 ","23,227 ","23,220 ","22,958 "
居宅介護サービス費,訪問通所サービス,通所リハビリテーション,"3,268 ","3,397 ","3,784 ","4,051 ","4,276 ","4,352 ","4,422 ","4,421 ","4,587 "
居宅介護サービス費,訪問通所サービス,福祉用具貸与,"33,993 ","36,488 ","38,573 ","41,211 ","43,029 ","45,465 ","47,854 ","50,239 ","51,872 "
居宅介護サービス費,短期入所サービス,短期入所サービス合計,"5,621 ","5,502 ","5,514 ","5,544 ","5,208 ","5,128 ","5,300 ","5,349 ","4,742 "
居宅介護サービス費,短期入所サービス,短期入所生活介護,"5,261 ","5,218 ","5,273 ","5,323 ","4,990 ","4,945 ","5,058 ","5,027 ","4,548 "
居宅介護サービス費,短期入所サービス,短期入所療養介護（老人保健施設）,352 ,268 ,226 ,213 ,218 ,182 ,240 ,322 ,194 
居宅介護サービス費,短期入所サービス,短期入所療養介護（療養型医療施設）,8 ,16 ,15 ,8 ,0 ,1 ,2 ,0 ,0 
居宅介護サービス費,地域密着型サービス,地域密着型サービス合計,"2,995 ","5,218 ","4,178 ","4,746 ","5,216 ","19,109 ","20,870 ","21,289 ","21,696 "
居宅介護サービス費,地域密着型サービス,認知症対応型通所介護,"1,134 ",997 ,734 ,846 ,994 ,"1,080 ","1,134 ","1,119 ","1,044 "
居宅介護サービス費,地域密着型サービス,認知症対応型共同生活介護,"1,060 ","1,356 ","1,970 ","2,198 ","2,349 ","2,465 ","2,473 ","2,517 ","2,898 "
居宅介護サービス費,地域密着型サービス,小規模多機能型居宅介護,265 ,266 ,287 ,533 ,686 ,780 ,987 ,"1,219 ","1,283 "
居宅介護サービス費,地域密着型サービス,夜間対応型訪問介護,530 ,659 ,865 ,705 ,723 ,718 ,620 ,581 ,264 
居宅介護サービス費,地域密着型サービス,地域密着型特定施設入居者生活介護,6 ,2 ,0 ,10 ,12 ,12 ,18 ,23 ,35 
居宅介護サービス費,地域密着型サービス,地域密着型通所介護,-,-,-,-,-,"13,562 ","15,072 ","15,211 ","15,643 "
居宅介護サービス費,地域密着型サービス,定期巡回・随時対応型訪問介護看護,-,10 ,322 ,"4,746 ",452 ,433 ,375 ,388 ,304 
居宅介護サービス費,地域密着型サービス,看護小規模多機能型居宅介護,-,-,-,-,-,59 ,191 ,231 ,225 
居宅介護サービス費,その他のサービス,その他のサービス合計,"40,247 ","48,444 ","50,896 ","56,574 ","62,276 ","68,048 ","74,883 ","81,944 ","88,126 "
居宅介護サービス費,その他のサービス,居宅療養管理指導,"28,423 ","34,357 ","38,142 ","43,180 ","48,177 ","53,645 ","59,551 ","65,799 ","71,616 "
居宅介護サービス費,その他のサービス,特定施設入居者生活介護,"11,824 ","14,087 ","12,754 ","13,394 ","14,099 ","14,403 ","15,332 ","16,145 ","16,510 "
居宅介護(予防）サービス計画費,居宅介護(予防）サービス計画費,居宅介護(予防）サービス計画費総計,"61,627 ","64,903 ","68,338 ","72,363 ","74,949 ","72,258 ","68,911 ","71,031 ","72,390 "
施設介護サービス費,施設介護サービス費,施設介護サービス費総計,"15,996 ","16,150 ","16,625 ","16,174 ","15,707 ","16,134 ","15,937 ","15,301 ","15,336 "
施設介護サービス費,施設介護サービス費,介護老人福祉施設,"10,619 ","10,778 ","10,986 ","10,909 ","10,724 ","11,199 ","10,939 ","10,477 ","10,546 "
施設介護サービス費,施設介護サービス費,介護老人保健施設,"3,750 ","3,935 ","4,298 ","3,985 ","3,845 ","3,828 ","3,977 ","4,010 ","4,005 "
施設介護サービス費,施設介護サービス費,介護療養型医療施設,"1,627 ","1,437 ","1,341 ","1,280 ","1,138 ","1,107 ","1,021 ",797 ,729 
施設介護サービス費,施設介護サービス費,介護医療院,-,-,-,-,-,-,-,17 ,56 
特定入所者介護サービス費,特定入所者介護サービス費,特定入所者介護サービス費,"11,150 ","11,266 ","11,730 ","11,481 ","10,068 ","8,937 ","8,737 ","8,348 ","7,940 "
高額介護サービス費,高額介護サービス費,高額介護サービス費,"22,845 ","23,872 ","27,925 ","28,050 ","32,221 ","33,576 ","34,721 ","35,287 ","37,406 "
高額医療合算介護サービス費,高額医療合算介護サービス費,高額医療合算介護サービス費,"1,310 ","1,997 ",594 ,"1,854 ","1,956 ","1,964 ","2,468 ","2,451 ","2,648 "
福祉用具購入費,福祉用具購入費,福祉用具購入費,"1,130 ","1,084 ","1,098 ","1,083 ","1,006 ",981 ,969 ,894 ,893 
住宅改修費,住宅改修費,住宅改修費,927 ,972 ,"1,001 ","1,020 ",978 ,890 ,792 ,810 ,781 
合計,合計,合計,"294,056 ","316,581 ","333,586 ","353,604 ","368,779 ","368,514 ","370,974 ","384,965 ","397,386 "
,,,,,,,,,,,
