（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,103,741",111.2%,"10,607,051",99.1%,100.0%
1,中国,"313,073",112.1%,"2,987,757",89.3%,28.2%
,(香港),"39,888",69.3%,"394,159",80.5%,3.7%
2,アメリカ,"263,100",134.7%,"2,329,172",100.6%,22.0%
3,タイ,"60,226",74.7%,"756,252",104.3%,7.1%
4,台湾,"55,566",77.9%,"520,028",91.8%,4.9%
5,ベトナム,"45,657",83.7%,"472,125",95.0%,4.5%
6,オランダ,"49,968",112.5%,"451,089",106.2%,4.3%
7,マレーシア,"45,761",152.5%,"439,105",144.5%,4.1%
8,韓国,"41,993",94.3%,"419,574",101.9%,4.0%
9,インドネシア,"40,411",130.7%,"365,009",131.4%,3.4%
10,インド,"36,487",124.8%,"291,015",100.4%,2.7%
11,フィリピン,"19,104",96.6%,"204,314",108.3%,1.9%
12,ドイツ,"23,986",168.8%,"203,913",116.1%,1.9%
13,シンガポール,"18,258",92.7%,"199,401",99.7%,1.9%
14,イギリス,"14,313",108.3%,"146,998",104.3%,1.4%
15,カナダ,"10,869",89.7%,"127,531",86.3%,1.2%
16,ロシア,"5,262",187.1%,"73,604",102.1%,0.7%
17,ブラジル,"6,269",121.6%,"61,030",98.0%,0.6%
18,アラブ首長国,"4,187",79.7%,"57,543",92.2%,0.5%
19,フランス,"5,722",126.5%,"57,474",101.9%,0.5%
20,オーストラリア,"5,292",102.1%,"43,346",86.6%,0.4%
,その他,"38,237",124.0%,"400,771",101.6%,3.8%
,,,,,,
