 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,135 ","15,718,971 ","20,142 ","151,158,240 ",451 ,"11,479,796 ","4,540 ","112,538,562 ","1,684 ","4,239,175 ","15,602 ","38,619,678 "
公共計,"1,066 ","5,920,216 ","9,911 ","55,030,563 ",176 ,"2,610,592 ","1,816 ","25,517,945 ",890 ,"3,309,624 ","8,095 ","29,512,618 "
ドルフィン,6 ,"4,236 ",38 ,"25,659 ",-,-,-,-,6 ,"4,236 ",38 ,"25,659 "
芝浦ふ頭,36 ,"69,036 ",336 ,"797,672 ",-,-,-,-,36 ,"69,036 ",336 ,"797,672 "
芝浦物揚場,33 ,"14,829 ",233 ,"102,609 ",-,-,-,-,33 ,"14,829 ",233 ,"102,609 "
日の出ふ頭,8 ,"5,578 ",75 ,"54,677 ",-,-,-,-,8 ,"5,578 ",75 ,"54,677 "
竹芝ふ頭,150 ,"376,468 ","1,611 ","3,547,944 ",-,-,-,-,150 ,"376,468 ","1,611 ","3,547,944 "
品川岸壁,150 ,"1,619,525 ","1,468 ","15,835,516 ",73 ,"734,714 ",777 ,"7,721,395 ",77 ,"884,811 ",691 ,"8,114,121 "
 品川コンテナ,79 ,"727,620 ",772 ,"7,095,811 ",72 ,"721,032 ",728 ,"7,050,997 ",7 ,"6,588 ",44 ,"44,814 "
 品川外貿,1 ,"13,682 ",49 ,"670,398 ",1 ,"13,682 ",49 ,"670,398 ",-,-,-,-
 品川内貿,70 ,"878,223 ",647 ,"8,069,307 ",-,-,-,-,70 ,"878,223 ",647 ,"8,069,307 "
晴海ふ頭,12 ,"254,451 ",80 ,"1,627,846 ",1 ,"56,769 ",11 ,"536,193 ",11 ,"197,682 ",69 ,"1,091,653 "
月島ふ頭,5 ,"1,637 ",37 ,"12,041 ",-,-,-,-,5 ,"1,637 ",37 ,"12,041 "
漁業基地,1 ,"1,886 ",21 ,"29,878 ",-,-,-,-,1 ,"1,886 ",21 ,"29,878 "
10号西岸壁,64 ,"661,890 ",622 ,"6,380,090 ",-,-,-,-,64 ,"661,890 ",622 ,"6,380,090 "
10号東岸壁,42 ,"17,417 ",331 ,"143,627 ",-,-,-,-,42 ,"17,417 ",331 ,"143,627 "
東京港フェリーふ頭,32 ,"404,352 ",292 ,"3,689,712 ",-,-,-,-,32 ,"404,352 ",292 ,"3,689,712 "
多目的ふ頭,3 ,"10,863 ",24 ,"58,863 ",-,-,-,-,3 ,"10,863 ",24 ,"58,863 "
辰巳ふ頭,87 ,"30,861 ",778 ,"274,361 ",-,-,-,-,87 ,"30,861 ",778 ,"274,361 "
青海コンテナふ頭（公共）,135 ,"1,612,359 ","1,310 ","15,391,260 ",83 ,"1,566,737 ",871 ,"15,028,133 ",52 ,"45,622 ",439 ,"363,127 "
有明ふ頭,6 ,"5,122 ",55 ,"45,943 ",-,-,-,-,6 ,"5,122 ",55 ,"45,943 "
大井水産物ふ頭,4 ,"61,362 ",14 ,"143,679 ",1 ,"3,835 ",6 ,"70,818 ",3 ,"57,527 ",8 ,"72,861 "
大井食品ふ頭（OL）,33 ,"99,238 ",151 ,"754,879 ",4 ,"94,066 ",31 ,"731,587 ",29 ,"5,172 ",120 ,"23,292 "
大井食品ふ頭（OM）,9 ,"80,794 ",85 ,"763,541 ",9 ,"80,794 ",85 ,"763,541 ",-,-,-,-
大井食品ふ頭（ON）,-,-,6 ,"69,261 ",-,-,5 ,"58,742 ",-,-,1 ,"10,519 "
若洲内貿ふ頭,12 ,"120,408 ",115 ,"1,153,910 ",-,-,-,-,12 ,"120,408 ",115 ,"1,153,910 "
15号地木材ふ頭,4 ,"32,921 ",30 ,"346,917 ",1 ,"32,520 ",11 ,"343,152 ",3 ,401 ,19 ,"3,765 "
若洲建材ふ頭,44 ,"24,802 ",302 ,"178,107 ",-,-,-,-,44 ,"24,802 ",302 ,"178,107 "
大井建材ふ頭,102 ,"58,465 ",885 ,"508,213 ",-,-,-,-,102 ,"58,465 ",885 ,"508,213 "
城南島建設発生土ふ頭,37 ,"27,072 ",599 ,"403,799 ",-,-,-,-,37 ,"27,072 ",599 ,"403,799 "
中央防波堤内側ばら物ふ頭,4 ,"41,157 ",46 ,"278,060 ",4 ,"41,157 ",19 ,"264,384 ",-,-,27 ,"13,676 "
中央防波堤内側建設発生土ふ頭,11 ,"13,942 ",76 ,"92,782 ",-,-,-,-,11 ,"13,942 ",76 ,"92,782 "
中央防波堤内側内貿ふ頭,24 ,"253,992 ",211 ,"2,223,573 ",-,-,-,-,24 ,"253,992 ",211 ,"2,223,573 "
官公庁（晴海）,3 ,"9,176 ",19 ,"58,781 ",-,-,-,-,3 ,"9,176 ",19 ,"58,781 "
官公庁（月島）,7 ,"1,383 ",49 ,"9,697 ",-,-,-,-,7 ,"1,383 ",49 ,"9,697 "
官公庁（有明）,2 ,"4,994 ",11 ,"27,467 ",-,-,-,-,2 ,"4,994 ",11 ,"27,467 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,382 ,"8,828,602 ","3,689 ","86,536,582 ",251 ,"8,615,248 ","2,488 ","84,491,433 ",131 ,"213,354 ","1,201 ","2,045,149 "
青海コンテナふ頭(埠頭㈱),78 ,"2,007,625 ",764 ,"19,948,571 ",68 ,"1,988,518 ",660 ,"19,812,280 ",10 ,"19,107 ",104 ,"136,291 "
お台場ライナーふ頭,40 ,"311,955 ",359 ,"3,198,948 ",15 ,"242,139 ",138 ,"2,445,126 ",25 ,"69,816 ",221 ,"753,822 "
大井コンテナふ頭,264 ,"6,509,022 ","2,566 ","63,389,063 ",168 ,"6,384,591 ","1,690 ","62,234,027 ",96 ,"124,431 ",876 ,"1,155,036 "
民間計,687 ,"970,153 ","6,542 ","9,591,095 ",24 ,"253,956 ",236 ,"2,529,184 ",663 ,"716,197 ","6,306 ","7,061,911 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
