 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,平成30年(2018年),,,,,,平成29年(2017年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,835","14,433,124",438,"10,716,551","1,397","3,716,573","1,818","13,499,840",421,"10,125,135","1,397","3,374,705"
,100.9%,106.9%,104.0%,105.8%,100.0%,110.1%,,,,,,
２月　,"1,983","13,924,842",421,"10,359,544","1,562","3,565,298","1,806","12,661,957",372,"9,304,989","1,434","3,356,968"
,109.8%,110.0%,113.2%,111.3%,108.9%,106.2%,,,,,,
３月　,"2,105","14,753,593",450,"10,811,631","1,655","3,941,962","2,103","14,774,581",461,"10,923,935","1,642","3,850,646"
,100.1%,99.9%,97.6%,99.0%,100.8%,102.4%,,,,,,
４月　,"2,021","15,131,346",460,"11,352,932","1,561","3,778,414","1,980","14,240,220",431,"10,667,022","1,549","3,573,198"
,102.1%,106.3%,106.7%,106.4%,100.8%,105.7%,,,,,,
５月　,"2,069","15,293,599",475,"11,464,613","1,594","3,828,986","1,968","14,958,933",463,"11,350,917","1,505","3,608,016"
,105.1%,102.2%,102.6%,101.0%,105.9%,106.1%,,,,,,
６月　,"2,033","15,526,232",472,"11,539,042","1,561","3,987,190","2,021","14,816,732",465,"11,272,140","1,556","3,544,592"
,100.6%,104.8%,101.5%,102.4%,100.3%,112.5%,,,,,,
７月　,"2,092","16,001,396",466,"11,998,742","1,626","4,002,654","2,087","15,194,722",463,"11,223,283","1,624","3,971,439"
,100.2%,105.3%,100.6%,106.9%,100.1%,100.8%,,,,,,
８月　,"1,947","15,349,486",461,"11,665,960","1,486","3,683,526","1,916","14,842,206",456,"11,144,715","1,460","3,697,491"
,101.6%,103.4%,101.1%,104.7%,101.8%,99.6%,,,,,,
９月　,"1,922","15,025,651",446,"11,149,751","1,476","3,875,900","1,952","14,626,820",455,"10,967,752","1,497","3,659,068"
,98.5%,102.7%,98.0%,101.7%,98.6%,105.9%,,,,,,
１０月　,"2,135","15,718,971",451,"11,479,796","1,684","4,239,175","1,802","14,278,373",414,"10,681,810","1,388","3,596,563"
,118.5%,110.1%,108.9%,107.5%,121.3%,117.9%,,,,,,
１１月　,-,-,-,-,-,-,"2,077","15,632,910",486,"11,817,620","1,591","3,815,290"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"2,074","15,218,406",468,"11,297,344","1,606","3,921,062"
,-,-,-,-,-,-,,,,,,
累計,"20,142","151,158,240","4,540","112,538,562","15,602","38,619,678","23,604","174,745,700","5,355","130,776,662","18,249","43,969,038"
,103.5%,105.0%,103.2%,104.5%,103.7%,106.6%,,,,,,
前年累計,"19,453","143,894,384","4,401","107,661,698","15,052","36,232,686",,,,,,
増(－)減,689,"7,263,856",139,"4,876,864",550,"2,386,992",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
3,446","504,190",182,-,12,-,12,-,10,-,26,8,-,"3,951",905,金属機械工業品,,,,,,
28,鉄鋼,154,-,17,-,-,"1,075",340,-,-,-,-,-,-,-,-,-,-,-,-,-,28,鉄鋼,,,,,
29,鋼材,"2,210",15,22,-,-,"7,443","14,412",-,-,-,-,-,-,7,-,-,-,-,35,73,29,鋼材,,,,,
30,非鉄金属,"2,849",254,"5,434",-,-,"3,276","2,763",2,-,-,-,-,-,-,-,-,8,-,-,69,30,非鉄金属,,,,,
31,金属製品,"13,887",15,459,1,-,"18,924","20,639",-,-,2,-,-,-,-,-,-,-,-,34,1,31,金属製品,,,,,
32,鉄道車両,-,-,-,-,-,54,270,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両,,,,,
33,完成自動車,554,-,74,-,-,358,580,-,-,-,-,-,-,-,-,-,-,-,-,-,33,完成自動車,,,,,
34,その他輸送用車両,75,-,-,-,-,216,183,-,-,-,-,-,-,-,-,-,-,-,-,-,34,その他輸送用車両,,,,,
35,二輪自動車,6,-,5,-,-,121,124,-,-,-,-,-,-,-,-,-,-,-,-,-,35,二輪自動車,,,,,
36,自動車部品,"266,532",-,36,15,-,"199,530","296,926",2,-,-,-,-,-,-,-,-,-,-,-,-,36,自動車部品,,,,,
37,その他輸送機械,"10,802",-,-,-,-,"1,121","1,560",-,-,-,-,-,-,-,-,-,-,-,-,-,37,その他輸送機械,,,,,
38,産業機械,"66,191",287,"12,946",136,-,"155,192","118,941",58,-,2,-,12,-,-,-,-,-,-,922,81,38,産業機械,,,,,
39,電気機械,"30,171","1,571","5,947",379,6,"39,675","34,709",78,-,8,-,-,-,3,-,26,-,-,"2,566",621,39,電気機械,,,,,
40,測量・光学・医療用機械,"8,706",3,793,8,-,"23,032","10,825",42,-,-,-,-,-,-,-,-,-,-,394,60,40,測量・光学・医療用機械,,,,,
41,事務用機器,21,-,190,-,-,"2,884","1,297",-,-,-,-,-,-,-,-,-,-,-,-,-,41,事務用機器,,,,,
42,その他機械,-,-,32,-,-,545,621,-,-,-,-,-,-,-,-,-,-,-,-,-,42,その他機械,,,,,
化学工業品,,"25,676",497,"37,799",1,-,"61,653","57,871",151,-,-,60,-,7,46,3,-,1,2,"2,356",15,化学工業品,,,,,,
43,陶磁器,56,-,411,-,-,268,379,-,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器,,,,,
44,セメント,-,-,-,-,-,20,27,-,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,,,
45,ガラス類,"7,685",-,715,-,-,"3,543","3,329",-,-,-,-,-,-,-,-,-,-,-,120,-,45,ガラス類,,,,,
46,窯業品,217,-,"17,689",-,-,"1,165","2,674",-,-,-,-,-,7,-,-,-,-,-,750,-,46,窯業品,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,-,30,-,-,-,279,213,-,-,-,-,-,-,-,-,-,-,-,-,-,49,その他の石油,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,,,
