（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,199,935",107.6%,"30,214,527",100.7%,100.0%
1,中国,"1,350,762",110.4%,"12,686,094",100.4%,42.0%
,(香港),"163,439",94.4%,"1,601,051",105.4%,5.3%
2,アメリカ,"375,447",104.4%,"3,622,590",100.5%,12.0%
3,タイ,"205,975",97.1%,"1,991,650",103.1%,6.6%
4,ベトナム,"193,923",117.2%,"1,654,149",106.1%,5.5%
5,カナダ,"119,523",91.2%,"1,261,637",104.3%,4.2%
6,台湾,"127,261",144.0%,"1,204,294",132.0%,4.0%
7,韓国,"116,464",118.6%,"1,167,783",100.3%,3.9%
8,フィリピン,"102,182",68.4%,"975,205",90.8%,3.2%
9,シンガポール,"107,195",107.6%,"919,701",97.3%,3.0%
10,マレーシア,"91,584",120.9%,"785,318",94.5%,2.6%
11,インドネシア,"83,627",106.3%,"734,429",103.8%,2.4%
12,ドイツ,"48,575",108.1%,"467,911",97.5%,1.5%
13,オランダ,"37,668",86.7%,"421,784",97.0%,1.4%
14,チリ,"19,605",48.9%,"304,794",75.6%,1.0%
15,ニュージーランド,"22,794",100.5%,"268,304",102.1%,0.9%
16,フランス,"26,019",98.0%,"266,568",104.6%,0.9%
17,メキシコ,"7,301",41.2%,"155,169",95.5%,0.5%
18,イタリア,"13,557",134.5%,"141,174",87.3%,0.5%
19,イギリス,"12,652",109.8%,"135,741",93.1%,0.4%
20,ロシア,"5,876",92.1%,"128,930",135.7%,0.4%
,その他,"131,945",190.8%,"921,302",89.6%,3.0%
