行,EPSGコード,経度,緯度,施設名,郵便番号　,所在地,電話番号,FAX番号,業務時間,休業日,貸出施設開館時間,貸出施設休館日,貸出施設受付時間　,駐車場,駐輪場,URL
1,EPSG:6668,139.4161491,35.57833575,忠生市民センター,194-0035,東京都町田市忠生3-14-2,042-791-2802,042-791-8461,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第1月曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/01/index.html
2,EPSG:6668,139.4673705,35.58888653,鶴川市民センター,195-0062,東京都町田市大蔵町1981-4,042-735-5704,042-735-7942,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第3月曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/02/index.html
3,EPSG:6668,139.4667958,35.52364719,南市民センター,194-0012,東京都町田市金森4-5-6,042-795-3165,042-795-1749,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第3月曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/03/index.html
4,EPSG:6668,139.4729389,35.53682331,なるせ駅前市民センター,194-0045,東京都町田市南成瀬1-2-5,042-724-2511,042-724-8482,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第1月曜日、年末年始,08:30-17:00,無,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/04/index.html
5,EPSG:6668,139.3333728,35.60424683,堺市民センター,194-0211,東京都町田市相原町795-1,042-774-0003,042-774-3963,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第3月曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/05/index.html
6,EPSG:6668,139.3689945,35.59714842,小山市民センター,194-0212,東京都町田市小山町2507-1,042-798-1927,042-798-1402,08:30-17:00,土曜日、第1・3・5日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第2火曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/06/index.html
7,EPSG:6668,139.4452819,35.54421258,町田駅前連絡所,194-0013,東京都町田市原町田6-12-20 小田急百貨店町田店3階,042-732-0777,042-732-1331,平日：08:30-19:00土曜日・日曜日：10:00-17:00,祝日及びその振替休日、年末年始、小田急百貨店の全館休館日・設備点検日,-,-,-,無,無,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/matidaekimae.html
8,EPSG:6668,139.4367346,35.56859619,木曽山崎コミュニティセンター（木曽山崎連絡所）,195-0074,東京都町田市山崎町2160-4,042-793-3030,042-793-4808,08:30-17:00,土曜日、日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第2月曜日、年末年始,08:30-17:00,有,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/com08.html
9,EPSG:6668,139.4626306,35.56370672,玉川学園コミュニティセンター（玉川学園駅前連絡所）,194-0041,東京都町田市玉川学園2-19-12,042-732-9372,042-725-1996,08:30-17:00,土曜日、日曜日、祝日及びその振替休日、年末年始,09:00-22:00,第3月曜日、年末年始,08:30-17:00,無,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/com07.html
10,EPSG:6668,139.4788655,35.58272153,鶴川駅前連絡所,195-0053,東京都町田市能ヶ谷1-2-1 和光大学ポプリホール鶴川内,042-737-0217,042-737-0218,平日：08:30-19:00土曜日・日曜日：10:00-17:00,第1・3月曜日、祝日及びその振替休日、年末年始,-,-,-,無,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/turueki.html
11,EPSG:6668,139.4732748,35.50987194,南町田駅前連絡所,194-0004,東京都町田市鶴間3-10-2,042-799-7766,042-799-7766,平日：08:30-19:00土曜日・日曜日：10:00-17:00,祝日及びその振替休日、年末年始,-,-,-,無,有,https://www.city.machida.tokyo.jp/kurashi/touroku/shisetsu/minamimachida_.html
