"年月[西暦]","調査項目","設問","港区の環境","選択肢","回答数[人]","構成比[%]"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","そう思う","14","2.7"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","ややそう思う","90","17.5"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","どちらともいえない","186","36.1"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","あまり思わない","164","31.8"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","思わない","61","11.8"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","空気がきれい","無回答","0","0.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","そう思う","11","2.1"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","ややそう思う","47","9.1"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","どちらともいえない","175","34.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","あまり思わない","171","33.2"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","思わない","111","21.6"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","川や運河、海の水がきれい","無回答","0","0.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","そう思う","15","2.9"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","ややそう思う","70","13.6"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","どちらともいえない","143","27.8"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","あまり思わない","161","31.3"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","思わない","126","24.5"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","自動車や店舗などからの騒音が少ない","無回答","0","0.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","そう思う","56","10.9"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","ややそう思う","150","29.1"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","どちらともいえない","137","26.6"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","あまり思わない","110","21.4"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","思わない","62","12.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","下水などの嫌なにおいがない","無回答","0","0.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","ごみやたばこの吸い殻のポイ捨てが少ない","そう思う","44","8.5"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","ごみやたばこの吸い殻のポイ捨てが少ない","ややそう思う","165","32.0"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","ごみやたばこの吸い殻のポイ捨てが少ない","どちらともいえない","113","21.9"
"202003","港区の環境","Q5. あなたは、日常の暮らしの中で港区の環境をどのように感じていますか。次の中から、港区の環境に当てはまると思うものを選んでください。（○はそれぞれ１つ）","ごみやたばこの吸い殻のポイ捨てが少ない","あまり思わない","107","20.8"
